,uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode
0,1,2015-01-02T00:00:00.000,DOG,"Poodle, Standard",3,M,True,Brooklyn,11238.0
1,2,2015-01-02T00:00:00.000,DOG,HUSKY,,U,False,Brooklyn,11249.0
2,3,2015-01-02T00:00:00.000,DOG,,,U,False,Brooklyn,
3,4,2015-01-01T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,6,M,False,Brooklyn,11221.0
4,5,2015-01-03T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,1,M,False,Brooklyn,11207.0
5,6,2015-01-05T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,1,F,False,Brooklyn,11209.0
6,7,2015-01-04T00:00:00.000,DOG,MORKIE,1,M,False,Brooklyn,11220.0
7,8,2015-01-05T00:00:00.000,DOG,Chihuahua,1,M,False,Brooklyn,11237.0
8,9,2015-01-04T00:00:00.000,DOG,PIT BULL MIXED,,M,False,Brooklyn,11215.0
9,10,2015-01-04T00:00:00.000,DOG,,,U,False,Brooklyn,11221.0
10,11,2015-01-02T00:00:00.000,DOG,,,U,False,Brooklyn,
11,12,2015-01-02T00:00:00.000,DOG,Cocker Spaniel Crossbreed,,U,False,Brooklyn,11220.0
12,13,2015-01-05T00:00:00.000,DOG,Shih Tzu,4,F,False,Brooklyn,11205.0
13,14,2015-01-01T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11220.0
14,15,2015-01-07T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,
15,16,2015-01-05T00:00:00.000,DOG,Shih Tzu,3,M,True,Brooklyn,11224.0
16,17,2015-01-09T00:00:00.000,DOG,Pit Bull,2,M,True,Brooklyn,11213.0
17,18,2015-01-10T00:00:00.000,DOG,Mixed/Other,7,M,True,Brooklyn,
18,19,2015-01-10T00:00:00.000,DOG,Yorkshire Terrier,1,F,False,Brooklyn,11237.0
19,20,2015-01-13T00:00:00.000,DOG,Dachshund Smooth Coat,12,M,True,Brooklyn,11217.0
20,21,2015-01-12T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11208.0
21,22,2015-01-16T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,False,Brooklyn,11235.0
22,23,2015-01-12T00:00:00.000,DOG,Shih Tzu,2,M,False,Brooklyn,11207.0
23,24,2015-01-17T00:00:00.000,DOG,Chihuahua,7M,M,False,Brooklyn,11213.0
24,25,2015-01-21T00:00:00.000,DOG,Yorkshire Terrier,8M,M,False,Brooklyn,11206.0
25,26,2015-01-22T00:00:00.000,DOG,Labrador Retriever,5,M,True,Brooklyn,11229.0
26,27,2015-01-24T00:00:00.000,DOG,"Jindo Dog,",,U,False,Brooklyn,11226.0
27,28,2015-01-27T00:00:00.000,DOG,Jack Russ,11,M,False,Brooklyn,11217.0
28,29,2015-01-25T00:00:00.000,DOG,Chow Chow,,U,False,Brooklyn,11209.0
29,30,2015-01-25T00:00:00.000,DOG,Chihuahua,1,F,False,Brooklyn,11213.0
30,31,2015-01-25T00:00:00.000,DOG,"Mastiff, Bull",,U,False,Brooklyn,
31,32,2015-01-20T00:00:00.000,DOG,PIT BULL/GOLDEN RETRIVE X,,U,False,Brooklyn,11236.0
32,33,2015-01-29T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,
33,34,2015-01-31T00:00:00.000,DOG,Chihuahua Crossbreed,3,M,False,Brooklyn,
34,35,2015-01-31T00:00:00.000,DOG,German Shepherd Crossbreed,,F,False,Brooklyn,11220.0
35,36,2015-01-31T00:00:00.000,DOG,,,U,False,Brooklyn,
36,37,2015-01-23T00:00:00.000,DOG,German Shepherd,4,M,False,Brooklyn,11229.0
37,38,2015-01-31T00:00:00.000,DOG,,,U,False,Brooklyn,
38,39,2015-02-04T00:00:00.000,DOG,Pomeranian,1,F,False,Brooklyn,11216.0
39,40,2015-02-05T00:00:00.000,DOG,Dalmatian,10,M,True,Brooklyn,11214.0
40,41,2015-02-01T00:00:00.000,DOG,Rottweiler,,U,False,Brooklyn,11204.0
41,42,2015-02-04T00:00:00.000,DOG,Rottweiler,,U,False,Brooklyn,11220.0
42,43,2015-02-06T00:00:00.000,DOG,Shiba Inu,3,M,False,Brooklyn,11252.0
43,44,2015-02-07T00:00:00.000,DOG,Maltese,,U,False,Brooklyn,11215.0
44,45,2015-02-07T00:00:00.000,DOG,Pit Bull,5,M,True,Brooklyn,11214.0
45,46,2015-01-27T00:00:00.000,DOG,,,U,False,Brooklyn,11205.0
46,47,2015-02-06T00:00:00.000,DOG,Dachshund Smooth Coat,,U,False,Brooklyn,
47,48,2015-01-27T00:00:00.000,DOG,"Poodle, Standard",,U,False,Brooklyn,11214.0
48,49,2015-02-10T00:00:00.000,DOG,"Welsh Corgi, Pembroke",,U,False,Brooklyn,11204.0
49,50,2015-02-07T00:00:00.000,DOG,Shiba Inu,,M,False,Brooklyn,11206.0
50,51,2015-02-07T00:00:00.000,DOG,RAT TERRIER,5,M,True,Brooklyn,11208.0
51,52,2015-01-27T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,2,M,False,Brooklyn,11228.0
52,53,2015-02-11T00:00:00.000,DOG,Staffordshire Bull Terrier,4,M,False,Brooklyn,11235.0
53,54,2015-02-11T00:00:00.000,DOG,RAT TERRIER,13,F,True,Brooklyn,11209.0
