,camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,critical_flag,grade,grade_date
0,41543275,EL CACTO,Manhattan,54,EAST   13 STREET,10003.0,2124775577,Mexican,2017-05-15T00:00:00.000,No violations were recorded at the time of this inspection.,0.0,2019-11-28T06:01:07.000,Cycle Inspection / Compliance Inspection,40.734188972305,-73.991484372907,102.0,2.0,6100.0,1080129.0,1005640011,MN23,,,,,
1,41308287,BUTTERMILK CHANNEL,Brooklyn,524,COURT STREET,11231.0,7188528490,American,2019-06-07T00:00:00.000,Violations were cited in the following area(s).,21.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.675934275197,-73.999001372737,306.0,39.0,6500.0,3005643.0,3003790038,BK33,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,,
2,50053957,MARY WORLD FIT,Queens,10248,43RD AVE,11368.0,9172427688,Other,2019-11-12T00:00:00.000,Violations were cited in the following area(s).,11.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.747262491494,-73.862452691325,404.0,21.0,40500.0,4048609.0,4019780023,QN26,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,A,2019-11-12T00:00:00.000
3,41552928,JACK THE HORSE TAVERN,Brooklyn,66,HICKS STREET,11201.0,7188525084,American,2016-12-15T00:00:00.000,Violations were cited in the following area(s).,23.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.699928916028,-73.993638213162,302.0,33.0,100.0,3250374.0,3002157501,BK09,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
4,40394761,E & L BAKERY & COFFEE SHOP,Bronx,4202,WHITE PLAINS ROAD,10466.0,7183248152,Bakery,2017-11-29T00:00:00.000,Violations were cited in the following area(s).,9.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.893564795235,-73.857262215439,212.0,11.0,43400.0,2068166.0,2049970058,BX62,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,A,2017-11-29T00:00:00.000
5,40424972,JACKIE'S WEST INDIAN BAKERY,Bronx,1203,EAST  233 STREET,10466.0,7189942541,Caribbean,2018-02-08T00:00:00.000,Violations were cited in the following area(s).,11.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.888739910551,-73.842791175995,212.0,12.0,42600.0,2066569.0,2049540008,BX62,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,A,2018-02-08T00:00:00.000
6,50087332,ETROG KOSHER RESTAURANT & CATERING,Manhattan,122,E 58TH ST,10022.0,9179953510,Jewish/Kosher,2019-05-29T00:00:00.000,No violations were recorded at the time of this inspection.,0.0,2019-11-28T06:01:07.000,Pre-permit (Operational) / Re-inspection,40.761857860533,-73.969280420196,105.0,4.0,11203.0,1036920.0,1013120063,MN19,,,,A,2019-05-29T00:00:00.000
7,40947038,POPEYES,Queens,10413,LEFFERTS BOULEVARD,11419.0,7183222127,Chicken,2018-08-25T00:00:00.000,Violations were cited in the following area(s).,35.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.685943893083,-73.824023895688,410.0,28.0,16600.0,4204235.0,4095730001,QN55,02B,Hot food item not held at or above 140º F.,Y,C,2018-08-25T00:00:00.000
8,50075178,COMPADRES 77 MEXICAN RESTAURANT,Queens,11518,QUEENS BLVD,11375.0,9294993139,Mexican,2019-08-22T00:00:00.000,Violations were cited in the following area(s).,11.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.716296489697,-73.833795124058,406.0,29.0,76902.0,4079940.0,4033420037,QN17,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,A,2019-08-22T00:00:00.000
9,50044951,DEUCE & BAM GOOD DINE RESTAURANT,Bronx,3922,WHITE PLAINS RD,10466.0,7183253463,Caribbean,2017-06-12T00:00:00.000,Violations were cited in the following area(s).,22.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.886241346462,-73.861317749102,212.0,12.0,39600.0,2063324.0,2048360051,BX44,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,,
10,50075050,SMILE TO GO,Manhattan,23,LEXINGTON AVE,10010.0,6463079600,American,2018-09-12T00:00:00.000,Violations were cited in the following area(s).,31.0,2019-11-28T06:01:01.000,Pre-permit (Operational) / Initial Inspection,40.739691505171,-73.984591210857,106.0,2.0,6800.0,1018041.0,1008790023,MN21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
