,material,aggregate_percent,refuse_percent,mgp_percent,paper_percent,organic_percent,material_group,dsny_diversion_summary,loacation
0,Newspaper,0.019,0.011,0.005,0.098,0.0,Paper,Designated Paper,Citywide
1,Plain OCC/Kraft Paper,0.057,0.014,0.01,0.472,0.002,Paper,Designated Paper,Citywide
2,High Grade Paper,0.007,0.005,0.001,0.026,0.0,Paper,Designated Paper,Citywide
3,Mixed Low Grade Paper,0.087,0.068,0.024,0.314,0.009,Paper,Designated Paper,Citywide
4,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.081,0.098,0.007,0.014,0.02,Paper,Organics Suitable for Composting,Citywide
5,Other Nonrecyclable Paper,0.01,0.011,0.007,0.006,0.004,Paper,Other,Citywide
6,Paper Beverage Cartons/Aseptic Boxes,0.004,0.003,0.014,0.003,0.0,Paper,Designated MGP,Citywide
7,#1 PET Bottles,0.013,0.009,0.062,0.002,0.001,Plastic,Designated MGP,Citywide
8,#2 HDPE Natural Bottles,0.005,0.002,0.033,0.0,0.0,Plastic,Designated MGP,Citywide
9,#2 HDPE Pigmented Bottles,0.005,0.003,0.034,0.0,0.001,Plastic,Designated MGP,Citywide
10,Other Plastic Bottles,0.001,0.001,0.005,0.0,0.0,Plastic,Designated MGP,Citywide
11,Rigid Plastic Containers/Packaging,0.019,0.016,0.066,0.004,0.002,Plastic,Designated MGP,Citywide
12,#6 EPS Containers/Packaging (including Single Use),0.007,0.008,0.002,0.002,0.001,Plastic,Other,Citywide
13,Film Plastic: Retail Bags/Sleeves,0.019,0.022,0.008,0.003,0.007,Plastic,Plastic Bags,Citywide
14,Film Plastic: Garbage Bags,0.025,0.026,0.028,0.012,0.008,Plastic,Other,Citywide
15,Film Plastic: Food/Drink Pouches,0.0,0.0,0.0,0.0,0.0,Plastic,Other,Citywide
16,Film Plastic: All Other Film,0.024,0.028,0.012,0.004,0.007,Plastic,Other,Citywide
17,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.006,0.007,0.008,0.001,0.0,Plastic,Designated MGP,Citywide
18,Appliances: Plastic,0.001,0.001,0.003,0.0,0.0,Plastic,Designated MGP,Citywide
19,Bulk/Rigid Plastic,0.011,0.007,0.05,0.004,0.002,Plastic,Designated MGP,Citywide
20,Other Plastics,0.013,0.013,0.026,0.002,0.001,Plastic,Designated MGP,Citywide
21,Clear Container Glass,0.017,0.01,0.093,0.002,0.001,Glass,Designated MGP,Citywide
22,Green Container Glass,0.006,0.003,0.045,0.001,0.0,Glass,Designated MGP,Citywide
23,Brown Container Glass,0.004,0.002,0.018,0.001,0.0,Glass,Designated MGP,Citywide
24,Other Color Container Glass,0.001,0.0,0.002,0.0,0.0,Glass,Designated MGP,Citywide
25,Mixed Cullet,0.015,0.003,0.132,0.001,0.0,Glass,Designated MGP,Citywide
26,Other Glass,0.003,0.003,0.008,0.001,0.001,Glass,Other,Citywide
27,Aluminum Cans,0.003,0.002,0.009,0.0,0.0,Metal,Designated MGP,Citywide
28,Aluminum Foil/Containers,0.007,0.008,0.012,0.0,0.001,Metal,Designated MGP,Citywide
29,Other Aluminum,0.001,0.0,0.002,0.0,0.0,Metal,Designated MGP,Citywide
30,Other Non-Ferrous,0.003,0.002,0.01,0.0,0.0,Metal,Designated MGP,Citywide
31,Steel/Tin Food Cans,0.008,0.005,0.044,0.001,0.0,Metal,Designated MGP,Citywide
