,providertype,dfta_id,contractyear,sponsorname,programname,lineitem,lineitemname,reportedmonth,reportedamount
0,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,18,Other Expenses,Sep 2019,314.86
1,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,83,Rent Usage Charges,Jul 2019,0.0
2,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,6,Equipment Rental,Jul 2019,0.0
3,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,14,Program Insurance,Jul 2019,57.18
4,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,10,Printing/Supplies,Aug 2019,94.0
5,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,4,Consultants,Jul 2019,0.0
6,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,5,Vehicles,Aug 2019,0.0
7,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,3,Personnel,Sep 2019,22750.33
8,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,18,Other Expenses,Jul 2019,0.0
9,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,83,Rent Usage Charges,Sep 2019,0.0
10,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,83,Rent Usage Charges,Sep 2019,0.0
11,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,8,Other Occupancy,Jul 2019,0.0
12,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,3,Personnel,Jul 2019,47439.56
13,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,7,Travel,Jul 2019,0.0
14,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,7,Travel,Jul 2019,0.0
15,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,4,Consultants,Sep 2019,0.0
16,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,82,Utilities,Jul 2019,150.0
17,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,83,Rent Usage Charges,Aug 2019,0.0
18,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,5,Vehicles,Jul 2019,0.0
19,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,83,Rent Usage Charges,Jul 2019,0.0
20,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,10,Printing/Supplies,Aug 2019,812.6
21,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,8,Other Occupancy,Jul 2019,235.58
22,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,3,Personnel,Aug 2019,25310.58
23,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,9,Communications,Jul 2019,130.18
24,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,12,Catered Food/Disposables,Aug 2019,0.0
25,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,5,Vehicles,Aug 2019,0.0
26,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,18,Other Expenses,Aug 2019,308.53
27,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,3,Personnel,Aug 2019,57178.39
28,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,3,Personnel,Jul 2019,16403.91
29,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,14,Program Insurance,Sep 2019,0.0
30,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,9,Communications,Jul 2019,67.73
31,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,10,Printing/Supplies,Sep 2019,227.36
32,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,11,Raw Food/Disposables,Sep 2019,0.0
33,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,82,Utilities,Aug 2019,0.0
34,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,11,Raw Food/Disposables,Jul 2019,0.0
35,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,18,Other Expenses,Aug 2019,234.73
36,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,82,Utilities,Jul 2019,0.0
37,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,11,Raw Food/Disposables,Sep 2019,0.0
38,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,4,Consultants,Sep 2019,0.0
39,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,18,Other Expenses,Jul 2019,4103.84
40,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,11,Raw Food/Disposables,Jul 2019,0.0
41,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,83,Rent Usage Charges,Aug 2019,0.0
42,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,5,Vehicles,Sep 2019,0.0
43,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,3,Personnel,Jul 2019,22563.7
44,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,6,Equipment Rental,Aug 2019,0.0
45,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,11,Raw Food/Disposables,Aug 2019,0.0
46,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,10,Printing/Supplies,Sep 2019,395.41
47,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,81,Rent,Sep 2019,0.0
