providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,reportedmonth,reportedunits
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Nov 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Nov 2019,9
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Nov 2019,47
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Nov 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Nov 2019,280
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Nov 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,1
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,366
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,7
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Oct 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Oct 2019,55
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Sep 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Sep 2019,77
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,1
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Aug 2019,59
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,7
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,296
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,367
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,5
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,4
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Jul 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,326
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,0
ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Jul 2019,61
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Nov 2019,5
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Nov 2019,244
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Nov 2019,3
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Nov 2019,2
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Nov 2019,322
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Nov 2019,21
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Nov 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Nov 2019,141
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,12
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,2
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,387
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Oct 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,191
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Oct 2019,66
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Oct 2019,218
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Sep 2019,134
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,2
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Aug 2019,224
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,43
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,5
