,providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,reportedmonth,reportedunits
0,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Aug 2019,0
1,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Jul 2019,6
2,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHCL,MH THERA CLINICAL,Aug 2019,203
3,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Aug 2019,0
4,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Aug 2019,0
5,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHSC,MH SCREENINGS,Sep 2019,0
6,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHCL,MH THERA CLINICAL,Sep 2019,35
7,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Aug 2019,5
8,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Jul 2019,0
9,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Sep 2019,0
10,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Aug 2019,54
11,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Jul 2019,0
12,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Jul 2019,0
13,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHCL,MH THERA CLINICAL,Sep 2019,108
14,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHSC,MH SCREENINGS,Jul 2019,3
15,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHCL,MH THERA CLINICAL,Aug 2019,14
16,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Sep 2019,0
