project_id,project_name,project_start_date,extended_affordability_status,prevailing_wage_status,planned_tax_benefit,extremely_low_income_units,very_low_income,low_income_units,moderate_income,middle_income,other,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,senior_units,project_completion_date
69096,141 METROPOLITAN AVENUE,2019-09-30T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
69097,3470 FORT INDEPENDENCE STREET,2019-09-30T00:00:00.000,No,Non Prevailing Wage,421a,0,0,12,0,24,0,36,0,36,120,0,
69109,CONFIDENTIAL,2019-09-30T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,1,
69124,CONFIDENTIAL,2019-09-30T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-09-30T00:00:00.000
69126,CONFIDENTIAL,2019-09-30T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-09-30T00:00:00.000
69123,CONFIDENTIAL,2019-09-26T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-09-26T00:00:00.000
69177,BAY TOWERS,2019-09-26T00:00:00.000,No,Non Prevailing Wage,,0,0,94,0,278,0,372,0,372,374,0,
69120,CONFIDENTIAL,2019-09-25T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-09-25T00:00:00.000
66137,HP W53 HDFC.HUDMF.FY 19,2019-09-23T00:00:00.000,No,Non Prevailing Wage,Article XI,27,10,2,1,0,1,41,0,41,41,0,2019-09-23T00:00:00.000
69113,CONFIDENTIAL,2019-09-23T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-09-23T00:00:00.000
69094,1507 NEW YORK AVENUE,2019-09-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69095,1509 NEW YORK AVENUE,2019-09-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69014,CONFIDENTIAL,2019-09-17T00:00:00.000,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,1,
68958,CONFIDENTIAL,2019-09-11T00:00:00.000,No,Non Prevailing Wage,,1,0,0,0,0,0,0,1,1,1,1,
69092,219 SOUTH 3RD STREET,2019-09-09T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,9,0,
69093,3613 BARNES AVENUE APARTMENTS,2019-09-09T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0,
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,No,Non Prevailing Wage,Article XI,11,36,39,1,0,3,90,0,90,90,6,
69089,3 WEST 128TH STREET,2019-09-06T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,20,0,
69091,1424 VYSE AVENUE APARTMENTS,2019-09-06T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
69122,CONFIDENTIAL,2019-09-06T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-09-06T00:00:00.000
69088,340 NEPTUNE AVENUE APARTMENTS,2019-09-03T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,20,0,
67504,HP W 48 HDFC.HUDMF.FY19,2019-08-30T00:00:00.000,No,Non Prevailing Wage,Article XI,40,10,2,0,0,2,54,0,54,54,0,
67575,LANGSAM 11 - 2816 JEROME AVENUE.HPO.FY19,2019-08-30T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,2,40,0,0,1,43,0,43,43,0,
68920,CONFIDENTIAL,2019-08-30T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-08-30T00:00:00.000
69086,173 MORNINGSIDE AVENUE APARTMENTS,2019-08-30T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69087,54 THROOP AVENUE APARTMENTS,2019-08-30T00:00:00.000,No,Non Prevailing Wage,421a,0,0,5,0,0,0,5,0,5,24,0,
69084,1610 NEW YORK AVENUE,2019-08-29T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69085,1612 NEW YORK AVENUE,2019-08-29T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
68934,CONFIDENTIAL,2019-08-28T00:00:00.000,No,Non Prevailing Wage,,0,0,0,4,0,0,0,4,4,4,1,
69082,111 TROUTMAN STREET APARTMENTS,2019-08-28T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69083,"ORCHARD, THE",2019-08-28T00:00:00.000,No,Non Prevailing Wage,421a,0,0,3,0,6,0,9,0,9,29,0,
69081,52-22 ROOSEVELT AVENUE APARTMENTS,2019-08-27T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
68932,CONFIDENTIAL,2019-08-23T00:00:00.000,No,Non Prevailing Wage,,0,3,0,0,0,0,0,3,3,3,1,
69079,1248 NEW YORK AVENUE APARTMENTS,2019-08-23T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
69080,1250 NEW YORK AVENUE APARTMENTS,2019-08-23T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
67572,LANGSAM 9 - 1630 MACOMBS ROAD.HPO.FY20,2019-08-19T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,18,33,0,0,1,52,0,52,52,0,2019-08-19T00:00:00.000
68918,CONFIDENTIAL,2019-08-19T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-08-19T00:00:00.000
69077,133-135 MESEROLE AVENUE APARTMENTS,2019-08-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,2,0,0,0,2,0,2,10,0,
69078,418 EAST 153RD STREET,2019-08-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69075,223 MANHATTAN AVENUE,2019-08-16T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
69076,260 KNICKERBOCKER AVENUE,2019-08-16T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,16,0,16,0,16,53,0,
64829,RB.63-85 E 233RD ST.WOODLAWN SENIOR HOUSES,2019-08-15T00:00:00.000,No,Prevailing Wage,420c,79,0,0,0,0,1,80,0,80,80,79,
69074,969 57TH STREET,2019-08-15T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
69073,WEX18 APARTMENTS,2019-08-14T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,17,0,
69071,2807 SNYDER AVENUE,2019-08-13T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69072,2809 SNYDER AVENUE,2019-08-13T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
68906,CONFIDENTIAL,2019-08-12T00:00:00.000,No,Non Prevailing Wage,,0,2,0,0,0,0,0,2,2,2,1,
68917,CONFIDENTIAL,2019-08-09T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-08-09T00:00:00.000
69070,236 STAGG STREET APARTMENTS,2019-08-09T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,18,0,
69069,366 STOCKTON STREET APARTMENTS,2019-08-07T00:00:00.000,No,Non Prevailing Wage,421a,0,0,3,0,0,0,3,0,3,15,0,
68914,CONFIDENTIAL,2019-08-02T00:00:00.000,No,Non Prevailing Wage,,0,1,0,0,0,0,0,1,1,1,1,
69068,79-81 STANHOPE STREET APARTMENTS,2019-08-02T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,16,0,
69067,RESIDENCES AT THE GEMINI WEST,2019-08-01T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,9,0,9,0,9,27,0,
68837,CONFIDENTIAL,2019-07-31T00:00:00.000,No,Non Prevailing Wage,,2,0,0,0,0,0,0,2,2,2,2,
68850,CONFIDENTIAL,2019-07-31T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-07-31T00:00:00.000
69065,301 EAST 117TH STREET,2019-07-31T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,4,0,4,0,4,12,0,
69066,RESIDENCES AT THE GEMINI EAST,2019-07-31T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,9,0,9,0,9,27,0,
68172,AUSTIN 147,2019-07-30T00:00:00.000,No,Non Prevailing Wage,420c,0,55,24,0,0,0,79,0,79,80,0,
69064,1032 DEKALB AVENUE,2019-07-29T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
69062,127 TROUTMAN STREET APARTMENTS,2019-07-26T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69063,129 TROUTMAN STREET APARTMENTS,2019-07-26T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
67522,HSI. 213 EAST 203RD STREET,2019-07-25T00:00:00.000,No,Non Prevailing Wage,420c,66,21,20,0,0,1,108,0,108,108,21,
69061,170-19 89TH AVENUE,2019-07-25T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
68849,CONFIDENTIAL,2019-07-24T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-07-24T00:00:00.000
69060,20-52 49TH STREET APARTMENTS,2019-07-23T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,2,0,0,2,0,2,6,0,
67891,EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,2019-07-22T00:00:00.000,Yes,Non Prevailing Wage,Article XI,150,42,18,12,2,5,229,0,229,229,0,2019-07-22T00:00:00.000
68824,CONFIDENTIAL,2019-07-19T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-07-19T00:00:00.000
68844,CONFIDENTIAL,2019-07-19T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-07-19T00:00:00.000
69058,14 HAVENS PLACE APARTMENTS,2019-07-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
69059,183 COVERT STREET APARTMENTS,2019-07-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69056,229 WEST 136 STREET,2019-07-17T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69057,924 DEKALB AVENUE,2019-07-17T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
69054,860 EAST 35TH STREET APARTMENTS,2019-07-16T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0,
69055,862 EAST 35TH STREET APARTMENTS,2019-07-16T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0,
69053,850 FLATBUSH AVENUE,2019-07-15T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,21,0,
69051,142 MANHATTAN AVENUE APARTMENTS,2019-07-12T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
69052,150 MESEROLE STREET,2019-07-12T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,25,0,
69050,152 WEST 140TH STREET,2019-07-11T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,18,0,18,0,18,58,0,
68843,CONFIDENTIAL,2019-07-10T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-07-10T00:00:00.000
69049,381 EAST 166TH STREET APARTMENTS,2019-07-08T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,4,0,4,0,4,12,0,
69047,22-22 STEINWAY STREET APARTMENTS,2019-07-03T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,4,0,4,0,4,13,0,
69048,846 QUINCY STREET APARTMENTS,2019-07-03T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
61587,601 WEST 148TH STREET PROJECT,2019-07-02T00:00:00.000,No,Non Prevailing Wage,Article XI,0,0,0,20,0,0,0,20,20,20,0,
69045,171 LINDEN BOULEVARD APARTMENTS,2019-07-02T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,10,0,10,0,10,31,0,
69046,ROGERS TOWER APARTMENTS,2019-07-02T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,25,0,
61875,1199 HOUSING CORP.PLP.FY19,2019-06-28T00:00:00.000,No,Non Prevailing Wage,J-51 Enriched,277,1315,0,0,0,2,0,1594,1594,1594,0,
62299,DUNN. 82-41 PARSONS BLVD. T BUILDING,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,75,0,124,0,0,1,200,0,200,200,0,
65349,BPR HDFC.HPO.FY19,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,13,17,0,0,1,31,0,31,31,1,2019-06-28T00:00:00.000
65378,JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,2019-06-28T00:00:00.000,No,Non Prevailing Wage,420c,27,142,26,0,0,2,197,0,197,197,20,
66563,7TH AVENUE HDFC.FY19.PLP,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,2,9,7,0,0,18,0,18,18,0,2019-06-28T00:00:00.000
67129,TSINY. 161-01 89TH AVENUE. MONICA HOUSE,2019-06-28T00:00:00.000,No,Non Prevailing Wage,420c,50,19,0,0,0,1,70,0,70,70,27,
67287,WIN. 14-35 MOTT AVENUE. GREENPORT II - SOUTH,2019-06-28T00:00:00.000,No,Non Prevailing Wage,420c,63,0,0,0,0,0,63,0,63,63,0,
67398,55 EAST MOSHOLU PKWY NORTH.HPO.FY19,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,10,3,31,0,0,1,45,0,45,45,0,2019-06-28T00:00:00.000
67576,LANGSAM 12 - 3510 DECATUR AVENUE.HPO.FY19,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,9,39,0,0,1,49,0,49,49,0,2019-06-28T00:00:00.000
67619,2316-2322 ANDREWS AVENUE NORTH HDFC.HPO.FY19,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,1,12,28,0,0,1,42,0,42,42,0,2019-06-28T00:00:00.000
67699,GLENDALE APARTMENTS.PILLARS.FY19,2019-06-28T00:00:00.000,No,Non Prevailing Wage,Article XI,0,14,15,42,0,1,72,0,72,72,0,
67705,RODNEY DRIGGS AND SOUTH THIRD STREET HDFC.YR15.FY19,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,420c,5,62,3,0,0,1,71,0,71,71,0,2019-06-28T00:00:00.000
68076,MANHATTANVILLE (PHASE III),2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,0,3,0,12,1,1,15,16,43,0,2019-06-28T00:00:00.000
68177,CAPITOL APARTMENTS HDFC.HUDMF,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,Article XI,239,6,2,3,27,1,278,0,278,278,249,2019-06-28T00:00:00.000
68189,PHELPS HOUSE LP.YR15.FY19,2019-06-28T00:00:00.000,Yes,Non Prevailing Wage,420c,157,8,2,0,0,1,168,0,168,168,0,2019-06-28T00:00:00.000
68663,410 TOMPKINS AVENUE,2019-06-28T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,11,0,11,0,11,35,0,
68664,412 EVERGREEN AVENUE,2019-06-28T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,21,0,
68692,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,0,0,3,0,0,0,3,3,3,0,
