,im_incident_key,fire_box,incident_type_desc,incident_date_time,arrival_date_time,units_onscene,last_unit_cleared_date_time,highest_level_desc,total_incident_duration,action_taken1_desc,action_taken2_desc,action_taken3_desc,property_use_desc,street_highway,zip_code,borough_desc,floor,co_detector_present_desc,story_fire_origin_count,fire_spread_desc,detector_presence_desc,aes_presence_desc,standpipe_sys_present_flag
0,63476768,2928,"746 - Carbon monoxide detector activation, no CO",2018-06-30 23:55:29,2018-07-01 00:00:32,2.0,2018-07-01 00:22:57,11 - First Alarm,1648,"42 - HazMat detection, monitoring, sampling, & analysis",51 - Ventilate,86 - Investigate,429 - Multifamily dwelling,UNDERCLIFF AVE,10453,2 - Bronx,1,Yes,,,,,
1,63476763,1021,"300 - Rescue, EMS incident, other",2018-06-30 23:54:44,2018-06-30 23:58:59,1.0,2018-07-01 00:09:29,11 - First Alarm,885,"00 - Action taken, other",,,UUU - Undetermined,RUTLAND RD,11203,4 - Brooklyn,,,,,,,
2,63476761,2745,"651 - Smoke scare, odor of smoke",2018-06-30 23:54:13,2018-06-30 23:58:29,3.0,2018-07-01 00:07:50,11 - First Alarm,817,"00 - Action taken, other",,,UUU - Undetermined,PROSPECT AVE,10456,2 - Bronx,,,,,,,
3,63476762,2135,"117 - Commercial Compactor fire, confined to rubbish",2018-06-30 23:54:08,2018-06-30 23:58:53,5.0,2018-07-01 00:19:16,11 - First Alarm,1508,11 - Extinguishment by fire service personnel,51 - Ventilate,,429 - Multifamily dwelling,BROWN PL,10454,2 - Bronx,basement,,,,,,
4,63476759,1877,"710 - Malicious, mischievous false call, other",2018-06-30 23:53:33,2018-06-30 23:56:50,1.0,2018-06-30 23:57:11,11 - First Alarm,218,"00 - Action taken, other",,,UUU - Undetermined,DEFAULT RECORD FOR SF,11208,4 - Brooklyn,,,,,,,
5,63476758,1765,"300 - Rescue, EMS incident, other",2018-06-30 23:53:30,2018-06-30 23:57:48,1.0,2018-07-01 00:10:41,11 - First Alarm,1031,"00 - Action taken, other",,,UUU - Undetermined,W 186 ST,10040,1 - Manhattan,,,,,,,
6,63476760,5535,412 - Gas leak (natural gas or LPG),2018-06-30 23:52:35,,,2018-07-01 00:11:36,11 - First Alarm,1141,44 - Hazardous materials leak control & containment,64 - Shut down system,82 - Notify other agencies.,429 - Multifamily dwelling,214 ST,11427,5 - Queens,2,,,,,,
7,63476745,5110,131 - Passenger vehicle fire,2018-06-30 23:49:05,2018-06-30 23:55:33,2.0,2018-07-01 00:18:03,11 - First Alarm,1738,11 - Extinguishment by fire service personnel,12 - Salvage & overhaul,,"960 - Street, other",75 PL,11379,5 - Queens,,,,,,,
8,63476743,4790,522 - Water or steam leak,2018-06-30 23:48:39,2018-06-30 23:56:26,1.0,2018-06-30 23:59:20,11 - First Alarm,641,64 - Shut down system,,,"962 - Residential street, road or residential driveway",DEFAULT RECORD FOR SF,10457,2 - Bronx,,,,,,,
9,63476742,3165,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 23:47:37,2018-06-30 23:53:16,3.0,2018-07-01 00:05:59,11 - First Alarm,1102,86 - Investigate,,,UUU - Undetermined,BEVERLY RD,11415,5 - Queens,,,,,,,
10,63476741,7998,"710 - Malicious, mischievous false call, other",2018-06-30 23:47:33,2018-06-30 23:51:00,1.0,2018-06-30 23:51:58,11 - First Alarm,265,"00 - Action taken, other",,,UUU - Undetermined,DEFAULT RECORD FOR SF,11368,5 - Queens,,,,,,,
11,63476734,797,"300 - Rescue, EMS incident, other",2018-06-30 23:46:29,2018-06-30 23:51:00,1.0,2018-06-30 23:53:20,11 - First Alarm,411,"00 - Action taken, other",,,UUU - Undetermined,W 43 ST,10036,1 - Manhattan,,,,,,,
12,63476735,1412,4002 - Explosive Escort,2018-06-30 23:45:50,2018-06-30 23:56:02,1.0,2018-07-01 05:20:01,11 - First Alarm,20051,"70 - Assistance, other",78 - Control traffic,86 - Investigate,"960 - Street, other",39 ST,11232,4 - Brooklyn,,,,,,,
13,63476730,9576,"300 - Rescue, EMS incident, other",2018-06-30 23:45:07,2018-06-30 23:48:46,1.0,2018-07-01 00:01:16,11 - First Alarm,969,"00 - Action taken, other",,,UUU - Undetermined,CONTINENTAL AVE,11375,5 - Queens,,,,,,,
14,63476729,199,"300 - Rescue, EMS incident, other",2018-06-30 23:44:08,2018-06-30 23:48:41,1.0,2018-07-01 00:11:44,11 - First Alarm,1656,"00 - Action taken, other",,,UUU - Undetermined,N 6 ST,11211,4 - Brooklyn,,,,,,,
15,63476727,1862,"300 - Rescue, EMS incident, other",2018-06-30 23:42:55,2018-06-30 23:45:47,1.0,2018-07-01 00:00:43,11 - First Alarm,1068,"00 - Action taken, other",,,UUU - Undetermined,EUCLID AVE,11208,4 - Brooklyn,,,,,,,
16,63476725,3136,"555 - Defective elevator, no occupants",2018-06-30 23:42:10,2018-06-30 23:47:11,1.0,2018-06-30 23:51:33,11 - First Alarm,563,45 - Remove hazard,,,429 - Multifamily dwelling,E 179 ST,10457,2 - Bronx,1,,,,,,
17,63476719,3555,"300 - Rescue, EMS incident, other",2018-06-30 23:40:47,2018-06-30 23:45:08,1.0,2018-07-01 00:19:34,11 - First Alarm,2327,"00 - Action taken, other",,,UUU - Undetermined,GILES PL,10463,2 - Bronx,,,,,,,
18,63476717,1516,"555 - Defective elevator, no occupants",2018-06-30 23:39:55,2018-06-30 23:45:19,1.0,2018-06-30 23:50:34,11 - First Alarm,639,45 - Remove hazard,,,429 - Multifamily dwelling,E 129 ST,10035,1 - Manhattan,1,,,,,,
19,63476716,921,"710 - Malicious, mischievous false call, other",2018-06-30 23:39:44,2018-06-30 23:44:12,6.0,2018-06-30 23:47:53,11 - First Alarm,489,"00 - Action taken, other",,,UUU - Undetermined,E 57 ST,10022,1 - Manhattan,,,,,,,
20,63476705,1781,"710 - Malicious, mischievous false call, other",2018-06-30 23:37:54,2018-06-30 23:42:53,1.0,2018-06-30 23:43:42,11 - First Alarm,348,"00 - Action taken, other",,,UUU - Undetermined,DEFAULT RECORD FOR SF,11207,4 - Brooklyn,,,,,,,
21,63476701,2258,"710 - Malicious, mischievous false call, other",2018-06-30 23:37:37,2018-06-30 23:42:16,1.0,2018-06-30 23:43:16,11 - First Alarm,339,"00 - Action taken, other",,,UUU - Undetermined,DEFAULT RECORD FOR SF,10455,2 - Bronx,,,,,,,
22,63476697,618,353 - Removal of victim(s) from stalled elevator,2018-06-30 23:35:45,2018-06-30 23:41:09,1.0,2018-06-30 23:57:38,11 - First Alarm,1313,64 - Shut down system,,,429 - Multifamily dwelling,W 23 ST,10011,1 - Manhattan,6,,,,,,
23,63476693,2870,412 - Gas leak (natural gas or LPG),2018-06-30 23:35:27,2018-06-30 23:40:19,3.0,2018-06-30 23:50:45,11 - First Alarm,918,216 - Checked exposures,,,"960 - Street, other",GLEASON AVE,10462,2 - Bronx,,,,,,,
24,63476677,105,"300 - Rescue, EMS incident, other",2018-06-30 23:33:00,2018-06-30 23:39:03,1.0,2018-06-30 23:46:18,11 - First Alarm,798,"00 - Action taken, other",,,UUU - Undetermined,BROADWAY,10007,1 - Manhattan,,,,,,,
25,63476679,2920,353 - Removal of victim(s) from stalled elevator,2018-06-30 23:32:58,2018-06-30 23:40:00,1.0,2018-06-30 23:49:03,11 - First Alarm,965,64 - Shut down system,,,419 - 1 or 2 family dwelling,TOPPING AVE,10457,2 - Bronx,1,,,,,,
26,63476672,9806,"710 - Malicious, mischievous false call, other",2018-06-30 23:32:32,2018-06-30 23:37:35,1.0,2018-06-30 23:38:09,11 - First Alarm,337,"00 - Action taken, other",,,UUU - Undetermined,DEFAULT RECORD FOR SF,11419,5 - Queens,,,,,,,
27,63476659,1483,522 - Water or steam leak,2018-06-30 23:31:03,2018-06-30 23:37:57,1.0,2018-06-30 23:47:47,11 - First Alarm,1004,64 - Shut down system,,,429 - Multifamily dwelling,E 126 ST,10035,1 - Manhattan,5,,,,,,
