,id,survey_number,survey_instance_id,survey_status,survey_language,dt_submitted,question,answer,answer_is_optional,data_source,create_dt
0,86483,55,90002903,Complete,English,2019-01-23T00:00:00.000,How would you describe your gender?,Female,False,Paper,2019-01-23T00:00:00.000
1,128139,50003666,3472,Complete,English,2019-02-22T00:00:00.000,Are you intersex?,No,False,OnLine,2019-03-08T00:00:00.000
2,25111,29,90000338,Complete,English,,Do you want to answer the questions?,Yes,False,Paper,2018-12-18T00:00:00.000
3,93101,50003666,2401,Complete,English,2019-01-21T00:00:00.000,What sex were you given at birth?,Female,False,OnLine,2019-02-07T00:00:00.000
4,85443,52,90002821,Complete,Spanish,2018-12-18T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
5,120237,50003666,3024,Complete,English,2019-02-07T00:00:00.000,What other languages do you speak?,English,False,OnLine,2019-02-19T00:00:00.000
6,23872,24,90000239,Complete,English,,Are you intersex?,No,False,Paper,2018-12-18T00:00:00.000
7,118957,64,90005023,Complete,Spanish,2018-12-13T00:00:00.000,What other languages do you speak?,Spanish,False,Paper,2019-02-07T00:00:00.000
8,88407,54,90003054,Complete,English,2019-01-23T00:00:00.000,How would you describe your gender?,Female,False,Paper,2019-01-23T00:00:00.000
9,78066,51,90002258,Complete,Spanish,2018-11-14T00:00:00.000,What other languages do you speak?,English,False,Paper,2019-01-23T00:00:00.000
10,66783,50003666,1951,Complete,English,2018-11-20T00:00:00.000,What NYC agency did you apply for services with today?,DOE - Department of Education,False,OnLine,2019-01-11T00:00:00.000
11,106792,59,90004075,Complete,English,2019-02-07T00:00:00.000,Are you intersex?,No,False,Paper,2019-02-07T00:00:00.000
12,30873,33,90000792,Complete,English,,What other languages do you speak?,None,False,Paper,2018-12-18T00:00:00.000
13,216661,50003666,8764,Complete,English,2019-08-08T00:00:00.000,What ancestries or heritages do you identify with?,Hispanic or Latino not listed Write-in: Spaniard,True,OnLine,2019-09-10T00:00:00.000
14,223751,108,90011082,Complete,Spanish,2019-09-10T00:00:00.000,What service did you apply for?,Temporary emergency shelter,False,Paper,2019-09-10T00:00:00.000
15,83009,55,90002639,Complete,English,2019-01-23T00:00:00.000,What other languages do you speak?,French,False,Paper,2019-01-23T00:00:00.000
16,123922,73,90005397,Complete,Spanish,2019-02-19T00:00:00.000,How well do you speak English?,Not well,False,Paper,2019-02-19T00:00:00.000
17,121340,73,90005165,Complete,Spanish,2019-01-24T00:00:00.000,What other languages do you speak?,English,False,Paper,2019-02-19T00:00:00.000
18,117035,64,90004872,Complete,English,2018-11-09T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-02-07T00:00:00.000
19,112038,64,90004488,Complete,English,2018-10-24T00:00:00.000,What other languages do you speak?,English,False,Paper,2019-02-07T00:00:00.000
20,72285,50003666,2333,Complete,English,2018-12-11T00:00:00.000,What other languages do you speak?,Spanish,False,OnLine,2019-01-11T00:00:00.000
21,110510,63,90004367,Complete,English,2019-01-08T00:00:00.000,Has anyone in your household served Write in:,none,True,Paper,2019-02-07T00:00:00.000
22,108245,61,90004187,Complete,English,2019-02-07T00:00:00.000,What ancestries or heritages do you identify with?,Native American,False,Paper,2019-02-07T00:00:00.000
23,21608,21,90000059,Complete,English,,How well do you speak English?,Fluently/Very well,False,Paper,2018-12-18T00:00:00.000
24,72923,51,90001857,Complete,English,2019-01-23T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
25,85465,54,90002823,Complete,English,2019-01-23T00:00:00.000,What sex were you given at birth?,Female,False,Paper,2019-01-23T00:00:00.000
26,79689,53,90002387,Complete,English,2019-01-23T00:00:00.000,What other languages do you speak?,French,False,Paper,2019-01-23T00:00:00.000
27,70394,50003666,2200,Complete,English,2018-11-29T00:00:00.000,What sex were you given at birth?,Male,False,OnLine,2019-01-11T00:00:00.000
28,217010,50003666,8816,Complete,English,2019-08-10T00:00:00.000,How well do you speak English?,Fluently/Very well,False,OnLine,2019-09-10T00:00:00.000
29,23456,26,90000205,Complete,English,,What other languages do you speak?,Italian,False,Paper,2018-12-18T00:00:00.000
30,66376,50003666,1920,Complete,English,2018-11-13T00:00:00.000,How well do you speak English?,Fluently/Very well,False,OnLine,2019-01-11T00:00:00.000
31,41348,24,90001626,Complete,English,,What ancestries or heritages do you identify with?,American,False,Paper,2018-12-18T00:00:00.000
32,61438,50003666,1566,Complete,English,2018-10-14T00:00:00.000,What other languages do you speak?,Chinese Cantonese,False,OnLine,2019-01-11T00:00:00.000
33,114981,62,90004716,Complete,English,2019-02-07T00:00:00.000,How would you describe your gender?,Female,False,Paper,2019-02-07T00:00:00.000
34,127709,50003666,3398,Complete,English,2019-02-20T00:00:00.000,Are you intersex?,No,False,OnLine,2019-03-08T00:00:00.000
35,38709,27,90001422,Complete,Chinese,,What service did you apply for?,Preventive Services,False,Paper,2018-12-18T00:00:00.000
36,89457,52,90003132,Complete,Russian,2019-01-23T00:00:00.000,What other languages do you speak?,Russian,False,Paper,2019-01-23T00:00:00.000
37,27238,34,90000504,Complete,English,,Do you want to answer the questions?,Yes,False,Paper,2018-12-18T00:00:00.000
38,133920,50003666,4262,Complete,Spanish,2019-03-21T00:00:00.000,Has anyone in your household served Write in:,Other - Write-in: Sobrino,True,OnLine,2019-03-22T00:00:00.000
39,116966,64,90004867,Complete,Chinese,2019-02-07T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-02-07T00:00:00.000
40,110163,63,90004340,Complete,English,2018-12-14T00:00:00.000,What service did you apply for?,Senior Center,False,Paper,2019-02-07T00:00:00.000
41,36686,34,90001263,Complete,English,,What ancestries or heritages do you identify with?,Chinese,False,Paper,2018-12-18T00:00:00.000
42,120934,50003666,3117,Complete,English,2019-02-11T00:00:00.000,What service did you apply for?,Supplemental Nutrition Assistance Program (SNAP) alone,False,OnLine,2019-02-19T00:00:00.000
43,78339,54,90002279,Complete,Spanish,2018-12-17T00:00:00.000,What ancestries or heritages do you identify with?,Puerto Rican,False,Paper,2019-01-23T00:00:00.000
44,66842,50003666,1955,Complete,English,2018-11-20T00:00:00.000,What ancestries or heritages do you identify with?,Italian,False,OnLine,2019-01-11T00:00:00.000
45,25219,19,90000348,Complete,Chinese,,What ancestries or heritages do you identify with?,Ecuadorian,False,Paper,2018-12-18T00:00:00.000
46,89232,50,90003115,Complete,English,2018-11-13T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
47,127079,76,90005683,Complete,English,2019-02-19T00:00:00.000,What ancestries or heritages do you identify with?,African American,False,Paper,2019-02-19T00:00:00.000
48,128699,50003666,3550,Complete,English,2019-02-25T00:00:00.000,Do you want to answer the questions?,No,False,OnLine,2019-03-08T00:00:00.000
49,73757,50,90001922,Complete,English,2019-01-23T00:00:00.000,What ancestries or heritages do you identify with?,Asian Pacific Islander,False,Paper,2019-01-23T00:00:00.000
50,26294,21,90000433,Complete,English,,What service did you apply for?,Senior Center,False,Paper,2018-12-18T00:00:00.000
51,128783,50003666,3558,Complete,Spanish,2019-02-26T00:00:00.000,What NYC agency did you apply for services with today?,HRA - Human Resources Administration / Social Services,False,OnLine,2019-03-08T00:00:00.000
52,67618,50003666,2005,Complete,English,2018-11-20T00:00:00.000,What races or ethnicities do you identify with?,White,False,OnLine,2019-01-11T00:00:00.000
53,71527,50003666,2280,Complete,English,2018-12-11T00:00:00.000,What is your sexual orientation?,Heterosexual (straight),False,OnLine,2019-01-11T00:00:00.000
54,90457,55,90003207,Complete,Spanish,2018-12-12T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-01-23T00:00:00.000
55,88385,53,90003053,Complete,English,2018-11-01T00:00:00.000,How would you describe your gender?,Male,False,Paper,2019-01-23T00:00:00.000
56,6746,16,3,Complete,English,2018-09-28T00:00:00.000,What sex were you given at birth?,Male,False,Paper,2018-11-15T00:00:00.000
57,129772,50003666,3692,Complete,English,2019-03-02T00:00:00.000,What service did you apply for?,Supplemental Nutrition Assistance Program (SNAP) alone,False,OnLine,2019-03-08T00:00:00.000
58,102105,59,90003711,Complete,English,2018-10-17T00:00:00.000,How well do you speak English?,Fluently/Very well,False,Paper,2019-02-07T00:00:00.000
59,65821,50003666,1879,Complete,English,2018-11-08T00:00:00.000,What NYC agency did you apply for services with today?,DOHMH - Department of Health and Mental Hygiene,False,OnLine,2019-01-11T00:00:00.000
60,121383,50003666,3192,Complete,English,2019-02-12T00:00:00.000,Has anyone in your household served Write in:,English,False,OnLine,2019-02-19T00:00:00.000
61,127934,50003666,3432,Complete,Spanish,2019-02-20T00:00:00.000,What service did you apply for?,Supplemental Nutrition Assistance Program (SNAP) alone,False,OnLine,2019-03-08T00:00:00.000
62,68577,50003666,2073,Complete,English,2018-11-20T00:00:00.000,What NYC agency did you apply for services with today?,DOE - Department of Education,False,OnLine,2019-01-11T00:00:00.000
63,60848,50003666,1526,Complete,English,2018-10-13T00:00:00.000,Do you want to answer the questions?,Yes,False,OnLine,2019-01-11T00:00:00.000
64,7133,16,45,Complete,English,,What is the language you speak most at home?,English,False,Paper,2018-11-15T00:00:00.000
65,63322,50003666,1698,Complete,English,2018-10-19T00:00:00.000,How well do you speak English?,Well,False,OnLine,2019-01-11T00:00:00.000
66,67543,50003666,2000,Complete,English,2018-11-20T00:00:00.000,What ancestries or heritages do you identify with?,Unknown/unsure,False,OnLine,2019-01-11T00:00:00.000
67,78820,50,90002319,Complete,English,2005-06-22T00:00:00.000,What service did you apply for?,Public school,False,Paper,2019-01-23T00:00:00.000
68,93436,50003666,2438,Complete,English,2019-01-22T00:00:00.000,What races or ethnicities do you identify with?,Hispanic or Latino,False,OnLine,2019-02-07T00:00:00.000
69,223483,108,90011057,Complete,English,2019-07-24T00:00:00.000,How would you describe your gender?,Female,False,Paper,2019-09-10T00:00:00.000
70,65738,50003666,1872,Complete,English,2018-11-08T00:00:00.000,How would you describe your gender?,Female,False,OnLine,2019-01-11T00:00:00.000
71,113925,62,90004635,Complete,English,2019-02-07T00:00:00.000,How well do you speak English?,Fluently/Very well,False,Paper,2019-02-07T00:00:00.000
72,227361,105,90011375,Complete,English,2019-09-10T00:00:00.000,What ancestries or heritages do you identify with?,American,False,Paper,2019-09-10T00:00:00.000
73,39232,19,90001462,Complete,English,,How well do you speak English?,Not well,False,Paper,2018-12-18T00:00:00.000
74,61900,50003666,1598,Complete,English,2018-10-16T00:00:00.000,What ancestries or heritages do you identify with?,American,False,OnLine,2019-01-11T00:00:00.000
75,35541,21,90001169,Complete,English,,How would you describe your gender?,Male,False,Paper,2018-12-18T00:00:00.000
76,89347,54,90003123,Complete,Russian,2018-10-22T00:00:00.000,What other languages do you speak?,Russian,False,Paper,2019-01-23T00:00:00.000
