,row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
0,1114,Food Other,Pumpkin seeds,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-29T00:00:00.000,No
1,1234,Toys/Children's Products,Doll,Lead,-1.0,ppm,MGA Entertainment UK Ltd,CHINA,2014-11-20T00:00:00.000,No
2,908,Dietary Supplement/Medications/Remedy,Herbal remedy for reproductive health (grayish pellets),Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2013-09-24T00:00:00.000,No
3,1534,Toys/Children's Products,Wooden block,Lead,7.7,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-09-21T00:00:00.000,No
4,774,Food-Spice,Turmeric,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2013-03-29T00:00:00.000,No
5,183,Dietary Supplement/Medications/Remedy,Bal Sathi Children's Capillary (Ayurvedic),Mercury,0.1,ppm,M/S. Vaidya Jagannath G. Dwivedi,INDIA,2011-05-17T00:00:00.000,No
6,67,Food Other,Fruit preserved mangoes cooked in clay pot,Lead,350.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-03-28T00:00:00.000,No
7,560,Food-Spice,Unlabeled spice,Lead,0.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-08-13T00:00:00.000,No
8,812,Dietary Supplement/Medications/Remedy,Balance & Comfort II (Yan Hu Suo Capsules),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2013-06-12T00:00:00.000,No
9,1042,Food-Spice,Mixed seven spice powder,Lead,1.5,ppm,UNKNOWN OR NOT STATED,IRAN (ISLAMIC REPUBLIC OF),2014-01-17T00:00:00.000,No
10,941,Food-Spice,Spice,Lead,4.1,ppm,UNKNOWN OR NOT STATED,INDIA,2013-10-31T00:00:00.000,No
11,277,Dietary Supplement/Medications/Remedy,Ovarin (Ayurvedic),Lead,12000.0,ppm,Ban Labs Ltd.,INDIA,2011-08-25T00:00:00.000,No
12,882,Toys/Children's Products,Toy,Lead,4.6,ppm,Learning Curve Brand,UNITED STATES,2013-08-08T00:00:00.000,No
13,1366,Dietary Supplement/Medications/Remedy,Arogyawardhini Bati (Shilajeet&Kutki) (Ayurvedic),Arsenic,2.7,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,2015-02-25T00:00:00.000,No
14,1449,Food-Spice,Cumin,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-03-17T00:00:00.000,No
15,1269,Food-Spice,Red pepper powder,Lead,90.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-02-06T00:00:00.000,No
16,177,Dietary Supplement/Medications/Remedy,Mahasudarshan (Ayurvedic),Mercury,2.2,ppm,Shree Baidyanath Ayurved,INDIA,2011-05-17T00:00:00.000,No
17,312,Food-Spice,Chili Pepper,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2011-10-20T00:00:00.000,No
18,73,Dietary Supplement/Medications/Remedy,Mahashakti Rasayan (Ayurvedic),Arsenic,1700.0,ppm,Vyas Pharmaceuticals,INDIA,2011-03-30T00:00:00.000,No
19,1299,Dietary Supplement/Medications/Remedy,Gaisantak Bati (Ayurvedic),Arsenic,4.8,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
