,family_size,income_more_than,income_less_than,hhc_options_reduced_fee_level
0,1,0,16335.0,1
1,2,0,22065.0,1
2,3,0,27795.0,1
3,4,0,33525.0,1
4,5,0,39255.0,1
5,6,0,44985.0,1
6,7,0,50715.0,1
7,1,16336,21780.0,2
8,2,22066,29420.0,2
9,3,27796,37060.0,2
10,4,33526,44700.0,2
11,5,39256,52340.0,2
12,6,44986,59980.0,2
13,7,50716,67620.0,2
14,1,21781,27225.0,3
15,2,29421,36775.0,3
16,3,37061,46325.0,3
17,4,44701,55875.0,3
18,5,52341,65425.0,3
19,6,59981,74975.0,3
20,7,67621,84525.0,3
21,1,27226,32670.0,4
22,2,36776,44130.0,4
23,3,46326,55590.0,4
24,4,55876,67050.0,4
25,5,65426,78510.0,4
26,6,74976,89970.0,4
27,7,84526,101430.0,4
28,1,32671,38115.0,5
29,2,44131,51485.0,5
30,3,55591,64855.0,5
31,4,67051,78225.0,5
32,5,78511,91595.0,5
33,6,89971,104965.0,5
34,7,101431,118335.0,5
35,1,38116,43560.0,6
36,2,51486,58840.0,6
37,3,64856,74120.0,6
38,4,78226,89400.0,6
39,5,91596,104680.0,6
40,6,104966,119960.0,6
41,7,118336,135240.0,6
42,1,43561,,7
43,2,58841,,7
44,3,74121,,7
45,4,89401,,7
46,5,104681,,7
47,6,119961,,7
48,7,135241,,7
