cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,susp_race,susp_sex,susp_age_group,transit_district,station_name,hadevelopt
876525802,2008-04-10T00:00:00.000,19:10:00,73.0,2008-04-10T00:00:00.000,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1008495.0,183171.0,40.669413836,-73.91260308,"{'latitude': '40.669413836', 'longitude': '-73.91260308'}",PATROL BORO BKLYN NORTH,18-24,BLACK,M,17614.0,55.0,2.0,17.0,46.0,,,,,,,,,
402693528,2007-06-03T00:00:00.000,15:23:00,28.0,2007-06-03T00:00:00.000,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,MANHATTAN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,999336.0,231461.0,40.801978284,-73.945511151,"{'latitude': '40.801978284', 'longitude': '-73.945511151'}",PATROL BORO MAN NORTH,,UNKNOWN,E,13093.0,18.0,4.0,36.0,18.0,,,,,,,,,
832030069,2010-02-16T00:00:00.000,20:50:00,102.0,2010-02-16T00:00:00.000,105,ROBBERY,375.0,"ROBBERY,PHARMACY",COMPLETED,FELONY,QUEENS,GROCERY/BODEGA,N.Y. POLICE DEPT,0.0,NA,NA,1031117.0,194344.0,40.699990268,-73.830977746,"{'latitude': '40.699990268', 'longitude': '-73.830977746'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,D,24014.0,46.0,3.0,28.0,60.0,2010-02-16T00:00:00.000,20:50:00,INSIDE,,,,,,
538308771,2009-11-10T00:00:00.000,16:35:00,79.0,2009-11-10T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,FOOD SUPERMARKET,N.Y. POLICE DEPT,0.0,NA,NA,996722.0,187385.0,40.681004729,-73.955034577,"{'latitude': '40.681004729', 'longitude': '-73.955034577'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,17618.0,69.0,2.0,49.0,51.0,2009-11-10T00:00:00.000,16:45:00,INSIDE,,,,,,
965693192,2006-04-11T00:00:00.000,09:30:00,123.0,2006-04-25T00:00:00.000,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,STATEN ISLAND,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO STATEN ISLAND,25-44,WHITE,M,,,,,,2006-04-11T00:00:00.000,10:00:00,,,,,,,
141085517,2011-06-23T00:00:00.000,20:30:00,81.0,2011-06-24T00:00:00.000,118,DANGEROUS WEAPONS,792.0,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1004893.0,186419.0,40.678337995,-73.925577614,"{'latitude': '40.678337995', 'longitude': '-73.925577614'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,13516.0,69.0,2.0,49.0,52.0,,,FRONT OF,,,,,,
484433797,2007-11-24T00:00:00.000,11:55:00,45.0,2007-11-24T00:00:00.000,232,POSSESSION OF STOLEN PROPERTY,490.0,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,BRONX,DEPARTMENT STORE,N.Y. POLICE DEPT,0.0,NA,NA,1033597.0,255731.0,40.868467378,-73.821582846,"{'latitude': '40.868467378', 'longitude': '-73.821582846'}",PATROL BORO BRONX,,UNKNOWN,D,12344.0,43.0,5.0,2.0,28.0,,,INSIDE,,,,,,
106486628,2008-03-29T00:00:00.000,15:17:00,77.0,2008-03-29T00:00:00.000,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1004930.0,183332.0,40.669864789,-73.92545369,"{'latitude': '40.669864789', 'longitude': '-73.92545369'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17615.0,16.0,2.0,49.0,49.0,,,FRONT OF,,,,,,
859668043,2006-04-21T00:00:00.000,17:00:00,32.0,2006-04-21T00:00:00.000,105,ROBBERY,389.0,"ROBBERY,DWELLING",COMPLETED,FELONY,MANHATTAN,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2.0,NA,733,,,,,,PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,M,,,,,,,,INSIDE,UNKNOWN,M,,,,
499632944,2006-04-14T00:00:00.000,17:00:00,120.0,2006-04-15T00:00:00.000,348,VEHICLE AND TRAFFIC LAWS,916.0,LEAVING SCENE-ACCIDENT-PERSONA,ATTEMPTED,MISDEMEANOR,STATEN ISLAND,STREET,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO STATEN ISLAND,45-64,UNKNOWN,F,,,,,,,,,,,,,,
330148303,2007-08-12T00:00:00.000,00:50:00,52.0,2007-08-12T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1019496.0,259454.0,40.878753425,-73.872546635,"{'latitude': '40.878753425', 'longitude': '-73.872546635'}",PATROL BORO BRONX,<18,BLACK,M,11605.0,24.0,5.0,40.0,34.0,,,,UNKNOWN,,,,,
772315573,2006-08-15T00:00:00.000,20:00:00,113.0,2006-08-15T00:00:00.000,109,GRAND LARCENY,419.0,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,QUEENS,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1053029.0,193013.0,40.696193821,-73.751967063,"{'latitude': '40.696193821', 'longitude': '-73.751967063'}",PATROL BORO QUEENS SOUTH,<18,BLACK,F,15312.0,41.0,3.0,6.0,71.0,,,,BLACK,M,,,,
415191250,2009-06-05T00:00:00.000,18:13:00,75.0,2009-06-05T00:00:00.000,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1017226.0,185362.0,40.675399421,-73.881118891,"{'latitude': '40.675399421', 'longitude': '-73.881118891'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17215.0,45.0,2.0,37.0,47.0,,,,,,,,,
306568702,2009-10-08T00:00:00.000,02:11:00,23.0,2010-04-13T00:00:00.000,114,ARSON,264.0,"ARSON, MOTOR VEHICLE 1 2 3 & 4",COMPLETED,FELONY,MANHATTAN,STREET,OTHER,97.0,NA,NA,1001088.0,228949.0,40.795080364,-73.939189266,"{'latitude': '40.795080364', 'longitude': '-73.939189266'}",PATROL BORO MAN NORTH,,UNKNOWN,E,12426.0,7.0,4.0,35.0,14.0,,,,,,,,,
218747981,2006-04-27T00:00:00.000,09:00:00,72.0,2006-04-29T00:00:00.000,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BROOKLYN,OTHER,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BKLYN SOUTH,45-64,WHITE HISPANIC,M,,,,,,,,INSIDE,,,,,,
781664524,2007-04-12T00:00:00.000,02:40:00,13.0,2007-04-12T00:00:00.000,236,DANGEROUS WEAPONS,782.0,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,MANHATTAN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,986090.0,211515.0,40.747244422,-73.99336087,"{'latitude': '40.747244422', 'longitude': '-73.99336087'}",PATROL BORO MAN SOUTH,,UNKNOWN,E,11722.0,11.0,4.0,10.0,6.0,,,,,,,,,
