summons_key,summons_date,offense_description,law_section_number,law_description,summons_category_type,age_group,sex,race,jurisdiction_code,boro,precinct_of_occur,x_coordinate_cd,y_coordinate_cd,latitude,longitude
173135642,2017-12-31T00:00:00.000,"RIFLE, SHOTGUN, AMMO SALE OR PURCHASE",10-306,Administrative Code,AMMO,25-44,F,WHITE HISPANIC,2,BRONX,43,1021543,239271,40.823348717000044,-73.86525665199997
173138632,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,F,BLACK,0,BRONX,44,1006350,243112,40.83394223900007,-73.92013838299994
173193579,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,WHITE HISPANIC,0,QUEENS,113,1042383,189913,40.687761395000045,-73.79038580999998
173135647,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,18-24,M,WHITE HISPANIC,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
173135644,2017-12-31T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,WHITE HISPANIC,2,BRONX,40,1007753,235353,40.81264236700008,-73.91509552299993
173193537,2017-12-31T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK,0,MANHATTAN,23,998890,225928,40.78679244600005,-73.94713415399997
173151584,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BROOKLYN,90,994869,194280,40.69993233400004,-73.96170456199997
173151583,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BROOKLYN,90,994869,194280,40.69993233400004,-73.96170456199997
173151581,2017-12-31T00:00:00.000,OBSTRUCTING TRAFFIC,45,Traffic Regs,TRAFFIC REGS,45-64,M,UNKNOWN,0,BRONX,44,1006303,243645,40.83540528700007,-73.92030647599995
173135604,2017-12-31T00:00:00.000,NOISE (UNREASONABLE),24-218,Administrative Code,NOISE,18-24,M,WHITE HISPANIC,0,BRONX,48,1016402,247804,40.84678953000007,-73.88379087699997
173130348,2017-12-31T00:00:00.000,"FIREWORKS, POSSESS/USE",270,Penal Law,FIREWORKS,18-24,M,WHITE,0,BROOKLYN,72,983625,173363,40.64252619200005,-74.00225353399996
173130430,2017-12-31T00:00:00.000,DISCON: CREATE HAZARDOUS CONDITION,240.20-7,Penal Law,DISORDERLY CONDUCT,25-44,M,,0,BRONX,40,1006985,238153,40.82032959000002,-73.91786047899996
173135563,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK HISPANIC,0,BROOKLYN,68,977504,167133,40.625423614000056,-74.02430338699997
173135602,2017-12-31T00:00:00.000,OTHER PENAL LAW,9999,Penal Law,OTHER PENAL LAW,25-44,M,UNKNOWN,0,BRONX,40,1007168,236692,40.81631908400004,-73.91720429499998
173130436,2017-12-31T00:00:00.000,OTHER ABC,9999,ABC,OTHER ABC,25-44,F,UNKNOWN,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
173135646,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK HISPANIC,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
173138622,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,F,WHITE,0,QUEENS,105,1055005,200297,40.71617102500005,-73.74476461299997
173193695,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,18-24,M,BLACK,0,QUEENS,113,1041715,188851,40.68485081700004,-73.79280352899997
173560024,2017-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,45-64,M,UNKNOWN,0,MANHATTAN,5,985689,201030,40.71846574200004,-73.99481032299997
173361689,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,79,1001139,192775,40.69579171600003,-73.939095905
173130383,2017-12-31T00:00:00.000,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,25-44,M,,0,BROOKLYN,75,1018961,178899,40.657653305000046,-73.87489728499997
173193590,2017-12-31T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,WHITE HISPANIC,0,QUEENS,103,1036584,196296,40.705317396000055,-73.81124614799995
173193626,2017-12-31T00:00:00.000,UNATTENDED VEH. (ENGINE RUNNING),1210,VTL,VTL,25-44,M,,0,BRONX,45,1026676,244181,40.83680208000004,-73.846679393
173193698,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,F,BLACK,0,QUEENS,105,1064048,210710,40.74467506900004,-73.71202023499995
173193628,2017-12-31T00:00:00.000,UNATTENDED VEH. (ENGINE RUNNING),1210,VTL,VTL,45-64,M,,0,BRONX,45,1026676,244181,40.83680208000004,-73.846679393
