summons_key,summons_date,offense_description,law_section_number,law_description,summons_category_type,age_group,jurisdiction_code,boro,precinct_of_occur,x_coordinate_cd,y_coordinate_cd,latitude,longitude,sex,race
203095282,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988307,201048,40.718514334000076,-73.98536600299997,,
203344255,2019-09-30T00:00:00.000,NON PAYMENT OF FARE (OTHER),1050.4(A),,,18-24,1,BRONX,52,1006537,244511,40.83778161800007,-73.91945797099999,M,BLACK
203058121,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,984456,215989,40.75952460900004,-73.99925785699998,,
203058103,2019-09-30T00:00:00.000,OTHER NYS TRANSPORTATION,999,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058099,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058067,2019-09-30T00:00:00.000,OTHER TRAFFIC REG,9999,ABC,OTHER ABC,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058043,2019-09-30T00:00:00.000,NON PAYMENT OF FARE (OTHER),1050.4(A),,,45-64,1,BRONX,40,1007034,236608,40.81608887400005,-73.917688689,M,WHITE HISPANIC
203058033,2019-09-30T00:00:00.000,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,,,45-64,0,BRONX,42,1009516,239520,40.82407474000007,-73.90871090099995,M,WHITE HISPANIC
203190685,2019-09-30T00:00:00.000,PUBLIC URINATION,16-118(6),,,18-24,0,BRONX,44,996051,200907,40.71812038400003,-73.95743012599996,M,WHITE HISPANIC
203063504,2019-09-30T00:00:00.000,ACCEPT ON HAIL,19-507,Administrative Code,TLC,65+,0,QUEENS,113,1041715,188851,40.68485081700004,-73.79280352899997,M,BLACK
203095281,2019-09-30T00:00:00.000,EQUIPMENT,375,VTL,VTL,UNKNOWN,0,NEW YORK,7,989989,213543,40.752809101000025,-73.97928760899998,,
203095278,2019-09-30T00:00:00.000,DEFECTIVE BREAKLIGHT,375-40B,VTL,VTL,UNKNOWN,0,NEW YORK,7,988307,201048,40.718514334000076,-73.98536600299997,,
203058032,2019-09-30T00:00:00.000,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,,,45-64,0,BRONX,42,1009516,239520,40.82407474000007,-73.90871090099995,M,WHITE HISPANIC
203058061,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058062,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058063,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058128,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,996768,219607,40.76944622800004,-73.95480879699994,,
203066244,2019-09-30T00:00:00.000,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,45-64,0,STATEN ISLAND,121,941493,154621,40.59098016600007,-74.15395087099995,M,WHITE
203058129,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,996768,219607,40.76944622800004,-73.95480879699994,,
203098629,2019-09-30T00:00:00.000,DISCON: FIGHTING,240.20-1,Penal Law,DISORDERLY CONDUCT,18-24,0,BROOKLYN,67,998567,172445,40.63999493100005,-73.94841428699993,M,BLACK
203075840,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,45-64,0,NEW YORK,23,1019871,187659,40.68169391300006,-73.87157121199994,M,BLACK
203077712,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,<18,0,BROOKLYN,75,999888,193014,40.69645001400005,-73.94360673699998,M,WHITE HISPANIC
203077952,2019-09-30T00:00:00.000,PERMIT UNLICENSED,19-506(B),,,25-44,0,QUEENS,113,999215,189479,40.68674841800004,-73.94604160299998,M,BLACK
203083294,2019-09-30T00:00:00.000,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,25-44,0,BROOKLYN,79,1025087,267578,40.90102711600008,-73.85227923599997,M,WHITE
203105208,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BROOKLYN,69,961252,166311,40.623140111000055,-74.08284714199993,M,BLACK
203370901,2019-09-30T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,18-24,0,BRONX,43,996967,153279,40.587390656000025,-73.95421551399994,M,BLACK HISPANIC
203268103,2019-09-30T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,65+,0,NEW YORK,25,1000458,232958,40.80608515100005,-73.94145489899995,M,WHITE HISPANIC
203070756,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,23,999989,226965,40.78963684400002,-73.94316306599995,,
203268101,2019-09-30T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,0,NEW YORK,25,1002269,231034,40.80080079100002,-73.93491836899994,M,WHITE HISPANIC
203083299,2019-09-30T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,18-24,0,BROOKLYN,69,1011816,173795,40.64366906500004,-73.90066987499995,M,BLACK
203078065,2019-09-30T00:00:00.000,SMOKING IN TRAIN STATION,1050.7,,,25-44,1,NEW YORK,1,981349,198508,40.71154309400004,-74.01046557799998,M,ASIAN / PACIFIC ISLANDER
203077715,2019-09-30T00:00:00.000,NON PAYMENT OF FARE (OTHER),1050.4(A),,,25-44,1,BROOKLYN,88,989387,190637,40.68993802200004,-73.98147789399997,M,WHITE
203072387,2019-09-30T00:00:00.000,OTHER TAX LAW,9999,ABC,OTHER ABC,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203072368,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058079,2019-09-30T00:00:00.000,FOOD PROTECTION/STORAGE/TRANSP,14-140/3/50,Sanitary Code (NYS),SANITARY CODE,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058081,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058100,2019-09-30T00:00:00.000,HIGHWAY USE TAX (NYS),1815,Tax Law,VTL,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058026,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,0,BROOKLYN,83,1006928,253482,40.86240335700006,-73.91801458599997,M,BLACK
203400737,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,2,BROOKLYN,75,1012448,182122,40.66652285900005,-73.89835770699995,M,BLACK
203058115,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,996768,219607,40.76944622800004,-73.95480879699994,,
203058086,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,983927,215961,40.75944775100004,-74.00116737299999,,
203058052,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,19,988082,200814,40.71787216100006,-73.98617781499998,,
203058042,2019-09-30T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,25-44,0,BRONX,40,1035329,152802,40.58594334500003,-73.81610192299998,F,BLACK
203058039,2019-09-30T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,25-44,0,NEW YORK,34,1006741,237429,40.81834303800008,-73.91874447199997,M,WHITE HISPANIC
203041324,2019-09-30T00:00:00.000,PUBLIC URINATION,16-118(6),,,25-44,0,BROOKLYN,79,1000088,168658,40.62959783100007,-73.94294269299998,M,BLACK
