,prop_id,ampsdistrict,inspection_id,season,round,date,begininspection,endinspection,inspection_year,inspector,overall_condition,cleanliness,inspectiontype,comments,closed,inspector2
0,B045,04,14861,Fall,4,1999-10-14,02:24 PM,02:31 PM,1999,32,A,A,PIP,,,
1,B029-ZN03,08,4024,Fall,4,2002-10-17,10:41 AM,11:22 AM,2002,39,A,A,PIP,,,
2,B094,15,15570,Fall,1,2001-09-10,11:17 AM,11:28 AM,2001,45,A,A,PIP,,,
3,Q427,12,12362,Fall,6,2002-11-18,12:00 PM,12:37 PM,2002,6,A,A,PIP,,,
4,B223IC,02,42919,Spring,2,2006-03-14,11:49 AM,11:49 AM,2006,7,A,A,PIP,,,
5,M194,03,17574,Summer,2,2003-06-19,10:50 AM,11:16 AM,2003,4,A,A,PIP,,,
6,R097,03,38860,Summer,6,2005-08-18,12:05 PM,12:18 PM,2005,7,A,A,PIP,,,
7,Q360N,04,46347,Fall,2,2006-09-18,11:53 AM,12:35 PM,2006,13,U,U,PIP,,,
8,M155,10,54409,Winter,1,2007-12-05,01:01 PM,01:17 PM,2007,11,A,A,PIP,,,
9,BZ96,14,46370,Fall,2,2006-09-19,12:43 PM,12:51 PM,2006,11,A,A,PIP,,,
10,B073-02D,19,1393,Fall,4,2002-10-23,11:22 AM,11:28 AM,2002,44,A,A,PIP,,,
11,X243,03,45716,Summer,6,2006-08-14,01:57 PM,02:10 PM,2006,1,A,A,PIP,,,
12,R090,03,49594,Spring,2,2007-03-13,11:45 AM,12:11 PM,2007,12,A,A,PIP,,,
13,X116,02,45229,Summer,1,1906-07-21,04:33 PM,04:59 PM,1906,3,A,A,WEPIP,,,
14,Q100A,07,12271,Spring,4,2001-04-16,12:46 PM,12:53 PM,2001,41,A,A,PIP,,,
15,M038,02,26193,Fall,6,2003-11-12,01:48 PM,02:04 PM,2003,1,A,A,PIP,,,
16,Q434,02,11077,Fall,6,2000-11-14,11:05 AM,11:43 AM,2000,6,A,A,PIP,,,
17,Q214,07,24408,Fall,2,2003-09-17,09:55 AM,10:27 AM,2003,47,A,A,PIP,,,
18,XZ25,01,26529,Winter,1,2003-12-02,01:17 PM,01:25 PM,2003,4,A,A,PIP,,,
19,X176,09,14125,Winter,6,2002-02-25,12:54 PM,01:10 PM,2001,4,A,A,PIP,,,
20,M125E,02,30925,Summer,3,2004-07-09,11:47 AM,11:55 AM,2004,5,A,A,PIP,,,
21,Q393F,03,52311,Summer,5,2007-07-30,02:35 PM,02:33 PM,2007,6,A,A,PIP,,,
22,M079,08,46093,Fall,1,2006-09-05,02:36 PM,02:39 PM,2006,6,A,A,PIP,,,
23,M001,02,8787,Summer,5,2000-08-01,01:42 PM,01:56 PM,2000,39,A,A,PIP,,,
