,month,borough,community_board,district,cleaning_section,acceptable_streets_feb_2014,same_month_prev_year_1,acceptable_streets_previous_month,filthy_streets_feb_2014,previous_month_2,same_month_prev_year_2,avergage_street_cleanliness_feb_2014,previous_month_3
0,2018 / 10,Staten Island,3,SI03,SI031,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,2018 / 10,Brooklyn,15,BKS15,BKS154,100.0,100.0,95.0,97.5,95.0,100.0,97.56,100.0
2,2018 / 10,Brooklyn,16,BKN16,BKN1611,100.0,92.0,94.23,84.62,87.5,91.67,95.92,88.0
3,2018 / 10,Staten Island,3,SI03,SI038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,2018 / 10,Brooklyn,18,BKS18,BKS183,100.0,95.0,86.96,91.3,95.0,85.0,91.3,100.0
5,2018 / 10,Brooklyn,16,BKN16,BKN1612,100.0,100.0,88.0,90.0,88.0,96.0,85.71,93.88
6,2018 / 10,Queens,14,QE14,QE143,93.33,96.67,90.0,83.33,94.0,96.0,93.33,93.33
7,2018 / 10,Brooklyn,6,BKS06,BKS062,88.89,96.3,84.0,96.0,96.08,87.27,100.0,100.0
8,2018 / 10,Bronx,9,BX09,BX094,96.3,100.0,91.3,100.0,92.0,100.0,96.0,96.0
9,2018 / 10,Queens,11,QE11,QE111,100.0,100.0,95.0,100.0,95.65,97.83,100.0,100.0
10,2018 / 10,Brooklyn,4,BKN04,BKN041,94.0,94.0,91.75,95.88,95.35,93.02,90.32,94.68
11,2018 / 10,Bronx,4,BX04,BX041,88.73,95.77,88.89,86.11,91.67,97.22,88.31,93.51
12,2018 / 10,Brooklyn,8,BKN08,BKN081,97.53,97.5,95.12,97.56,88.46,92.21,100.0,97.44
13,2018 / 10,Bronx,8,BX08,BX081,88.89,98.15,80.0,98.0,82.0,94.0,100.0,100.0
14,2018 / 10,Queens,13,QE13,QE133,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,2018 / 10,Queens,5,QW05,QW053,97.44,100.0,100.0,100.0,89.47,94.74,100.0,100.0
16,2018 / 10,Queens,5,QW05,QW052,100.0,98.57,94.29,94.12,87.88,90.91,94.29,97.14
17,2018 / 10,Brooklyn,6,BKS06,BKS063,100.0,100.0,89.47,78.95,82.05,84.62,95.0,100.0
18,2018 / 10,Staten Island,1,SI01,SI012,100.0,100.0,96.15,100.0,92.0,100.0,100.0,100.0
19,2018 / 10,Brooklyn,2,BKN02,BKN022,100.0,96.0,95.24,95.24,88.89,93.02,88.64,95.35
20,2018 / 10,Brooklyn,10,BKS10,BKS104,100.0,98.0,100.0,97.92,100.0,100.0,98.0,98.0
21,2018 / 10,Manhattan,6,MN06,MN061,95.83,98.59,97.3,97.22,88.89,94.29,100.0,100.0
22,2018 / 10,Brooklyn,17,BKN17,BKN171,95.0,100.0,76.32,94.74,100.0,100.0,90.0,100.0
23,2018 / 10,Brooklyn,13,BKS13,BKS132,97.56,97.56,97.37,94.74,90.0,97.5,92.31,97.44
24,2018 / 10,Bronx,9,BX09,BX092,96.3,100.0,100.0,100.0,96.0,88.0,100.0,92.0
