,domain,indicator,dimension_category,dimension,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,defintion,source,notes
0,Education,Enrolled Full Day Pre-K Students,Citywide,Citywide,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"19,287","52,741","68,647","69,510",Number of four-year-olds enrolled in full day Pre-Kindergarten.,NYC Department of Education,*
1,Education,Enrolled Full Day Pre-K Students,Borough,Bronx,*,*,*,*,*,*,*,*,*,*,*,*,*,*,22.0%,22.7%,21.3%,20.5%,The percentage of students enrolled in Pre-K by Borough,NYC Department of Education,*
2,Education,Enrolled Full Day Pre-K Students,Borough,Brooklyn,*,*,*,*,*,*,*,*,*,*,*,*,*,*,39.7%,32.2%,31.7%,32.3%,The percentage of students enrolled in Pre-K by Borough,NYC Department of Education,*
3,Education,Enrolled Full Day Pre-K Students,Borough,Manhattan,*,*,*,*,*,*,*,*,*,*,*,*,*,*,15.3%,13.8%,12.2%,11.8%,The percentage of students enrolled in Pre-K by Borough,NYC Department of Education,*
4,Education,Enrolled Full Day Pre-K Students,Borough,Queens,*,*,*,*,*,*,*,*,*,*,*,*,*,*,18.9%,25.6%,29.0%,29.6%,The percentage of students enrolled in Pre-K by Borough,NYC Department of Education,*
5,Education,Enrolled Full Day Pre-K Students,Borough,Staten Island,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4.1%,5.7%,5.8%,5.7%,The percentage of students enrolled in Pre-K by Borough,NYC Department of Education,*
6,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity,Asian/Pacific Islander,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12.3%,12.9%,15.6%,17.4%,The percentage of students enrolled in Pre-K by Race,NYC Department of Education,*
7,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity,Black non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,*,33.0%,30.2%,24.7%,23.0%,The percentage of students enrolled in Pre-K by Race,NYC Department of Education,*
8,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity,Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,*,39.7%,37.4%,39.3%,38.2%,The percentage of students enrolled in Pre-K by Race,NYC Department of Education,*
9,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity,White non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12.4%,16.6%,17.7%,18.4%,The percentage of students enrolled in Pre-K by Race,NYC Department of Education,*
10,Education,Enrolled Full Day Pre-K Students,Gender,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,50.5%,50.5%,50.7%,50.6%,The percentage of students enrolled in Pre-K by Gender,NYC Department of Education,*
11,Education,Enrolled Full Day Pre-K Students,Gender,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,49.5%,49.5%,49.3%,49.4%,The percentage of students enrolled in Pre-K by Gender,NYC Department of Education,*
12,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,Asian Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11.8%,12.6%,15.3%,16.9%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
13,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,Asian Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12.8%,13.3%,15.8%,18.0%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
14,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,Black non-Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,33.2%,29.9%,24.8%,23.4%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
15,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,Black non-Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,32.8%,30.5%,24.6%,22.5%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
16,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,40.5%,38.1%,40.0%,38.5%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
17,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,38.9%,36.7%,38.6%,37.9%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
