report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
2018-12-31T00:00:00.000,TQ01,0,2,3,5.0
2018-12-31T00:00:00.000,TQ02,4,2,0,6.0
2018-12-31T00:00:00.000,TQ03,1,2,1,4.0
2018-12-31T00:00:00.000,TQ04,0,3,4,7.0
2018-12-31T00:00:00.000,TQ05,13,46,5,64.0
2018-12-31T00:00:00.000,TQ06,0,0,6,6.0
2018-12-31T00:00:00.000,TQ07,0,1,6,7.0
2018-12-31T00:00:00.000,TQ08,34,0,6,40.0
2018-12-31T00:00:00.000,TQ09,7,3,0,10.0
2018-12-31T00:00:00.000,TQ10,8,14,2,24.0
2018-12-31T00:00:00.000,TQ11,20,0,1,21.0
2018-12-31T00:00:00.000,TQ12,1,0,0,1.0
2018-12-31T00:00:00.000,TQ13,0,8,0,8.0
2018-12-31T00:00:00.000,TQ14,9,83,1,93.0
2018-12-31T00:00:00.000,TQ15,0,0,0,0.0
2018-12-31T00:00:00.000,TQ16,0,1,0,1.0
2018-12-31T00:00:00.000,TQ17,18,42,5,65.0
2018-12-31T00:00:00.000,TQ18,3,51,0,54.0
2018-12-31T00:00:00.000,TQ19,17,8,0,25.0
2018-12-31T00:00:00.000,TQ20,3,7,3,13.0
2018-12-31T00:00:00.000,TQ21,7,19,1,27.0
2018-12-31T00:00:00.000,TQ22,0,3,0,3.0
2018-12-31T00:00:00.000,TQ23,2,0,1,3.0
2018-12-31T00:00:00.000,TQ24,10,1,1,12.0
2018-12-31T00:00:00.000,TQ25,8,8,4,20.0
2018-12-31T00:00:00.000,TQ26,31,49,9,89.0
2018-12-31T00:00:00.000,TQ27,8,18,2,28.0
2018-12-31T00:00:00.000,TQ28,33,110,3,146.0
2018-12-31T00:00:00.000,TQ29,6,9,3,18.0
2018-12-31T00:00:00.000,TQ30,7,4,0,11.0
2018-12-31T00:00:00.000,TQ31,26,14,0,40.0
2018-12-31T00:00:00.000,TQ32,0,2,0,2.0
2018-12-31T00:00:00.000,TQ33,14,23,0,37.0
2018-12-31T00:00:00.000,TQ34,78,38,0,116.0
2018-12-31T00:00:00.000,TQ35,9,3,1,13.0
2018-12-31T00:00:00.000,TQ36,16,57,3,76.0
2018-12-31T00:00:00.000,TQ37,7,3,0,10.0
2018-12-31T00:00:00.000,TQ38,6,8,1,15.0
2018-12-31T00:00:00.000,TQ39,2,3,0,5.0
2018-12-31T00:00:00.000,TQ40,0,0,3,3.0
2018-12-31T00:00:00.000,TQ41,0,5,0,5.0
2018-12-31T00:00:00.000,TQ42,11,11,0,22.0
2018-12-31T00:00:00.000,TQ43,14,109,10,133.0
2018-12-31T00:00:00.000,TQ44,7,49,1,57.0
2018-12-31T00:00:00.000,TQ45,78,11,10,99.0
2018-12-31T00:00:00.000,TQ46,14,28,0,42.0
2018-12-31T00:00:00.000,TQ47,0,4,5,9.0
2018-12-31T00:00:00.000,TQ48,3,14,1,18.0
2018-12-31T00:00:00.000,TQ49,45,102,2,149.0
2018-12-31T00:00:00.000,TQ50,1,0,2,3.0
2018-12-31T00:00:00.000,TQ51,45,8,1,54.0
2018-12-31T00:00:00.000,TQ52,8,9,0,17.0
2018-12-31T00:00:00.000,TQ53,2,11,0,13.0
2018-12-31T00:00:00.000,TQ54,2,45,1,48.0
2018-12-31T00:00:00.000,TQ55,8,9,0,17.0
2018-12-31T00:00:00.000,TQ56,5,30,2,37.0
2018-12-31T00:00:00.000,TQ57,11,3,3,17.0
2018-12-31T00:00:00.000,TQ58,3,43,1,47.0
2018-12-31T00:00:00.000,TQ59,0,0,0,0.0
2018-12-31T00:00:00.000,TQ60,0,9,2,11.0
2018-12-31T00:00:00.000,TQ61,6,2,2,10.0
2018-12-31T00:00:00.000,TQ62,3,10,0,13.0
2018-12-31T00:00:00.000,TQ63,2,13,1,16.0
2018-12-31T00:00:00.000,TQ64,26,1,1,28.0
2018-12-31T00:00:00.000,TQ65,7,11,1,19.0
2018-12-31T00:00:00.000,TQ66,2,14,2,18.0
2018-12-31T00:00:00.000,TQ67,17,3,0,20.0
2018-12-31T00:00:00.000,TQ68,13,0,0,13.0
2018-12-31T00:00:00.000,TQ69,1,0,1,2.0
2018-12-31T00:00:00.000,TQ70,5,46,3,54.0
2018-12-31T00:00:00.000,TQ71,7,93,1,101.0
2018-12-31T00:00:00.000,TQ72,0,12,3,15.0
2018-12-31T00:00:00.000,TQ73,14,4,1,19.0
2018-12-31T00:00:00.000,TQ74,15,23,1,39.0
2018-12-31T00:00:00.000,TQ75,3,11,1,15.0
2018-12-31T00:00:00.000,TQ76,8,0,0,8.0
2018-12-31T00:00:00.000,TQ77,15,0,2,17.0
2018-12-31T00:00:00.000,TQ78,0,13,3,16.0
2018-12-31T00:00:00.000,TQ79,3,7,0,10.0
2018-12-31T00:00:00.000,TQ80,3,48,6,57.0
2018-12-31T00:00:00.000,TQ81,0,0,0,0.0
2018-12-31T00:00:00.000,TQ82,13,154,3,170.0
2018-12-31T00:00:00.000,TQ83,3,62,2,67.0
2018-12-31T00:00:00.000,TQ84,1,18,1,20.0
2018-12-31T00:00:00.000,TQ85,6,2,1,9.0
2018-12-31T00:00:00.000,TQ86,14,22,1,37.0
2018-12-31T00:00:00.000,TQ87,2,6,0,8.0
2018-12-31T00:00:00.000,TQ88,0,30,4,34.0
2018-12-31T00:00:00.000,TQ89,19,32,1,52.0
2018-12-31T00:00:00.000,TQ90,3,66,2,71.0
2018-12-31T00:00:00.000,TQ91,21,92,1,114.0
2018-12-31T00:00:00.000,TQ92,6,33,0,39.0
2018-12-31T00:00:00.000,TQ93,3,36,3,42.0
2018-12-31T00:00:00.000,TQ94,7,4,0,11.0
2018-12-31T00:00:00.000,TQ95,1,10,1,12.0
2018-12-31T00:00:00.000,TQ96,3,7,0,10.0
2018-12-31T00:00:00.000,TQ97,32,33,0,65.0
2018-12-31T00:00:00.000,TQ98,47,44,3,94.0
2018-12-31T00:00:00.000,TQ99,0,0,0,0.0
2018-12-31T00:00:00.000,TQ100,3,8,0,11.0
