,site,date,turbidity_ntu_at_12am,turbidity_ntu_at_4am,turbidity_ntu_at_8am,turbidity_ntu_at_12pm,turbidity_ntu_at_4pm,turbidity_ntu_at_8pm,average_24hrturbidity_ntu,coliform_fecal_fc_100ml
0,DEL18DT,2019-10-31,0.65,0.6,0.65,0.65,0.65,0.65,0.64,E4
1,DEL18DT,2019-10-30,0.65,0.7,0.75,0.6,0.65,0.6,0.66,E4
2,DEL18DT,2019-10-29,0.65,0.7,0.65,0.65,0.6,0.7,0.66,E5
3,DEL18DT,2019-10-28,0.65,0.7,0.7,0.65,0.65,0.6,0.66,E6
4,DEL18DT,2019-10-27,0.7,0.6,0.75,0.65,0.65,0.7,0.68,E2
5,DEL18DT,2019-10-26,0.65,0.65,0.6,0.75,0.75,0.65,0.68,E1
6,DEL18DT,2019-10-25,0.6,0.8,0.7,0.6,0.65,0.65,0.67,<1
7,DEL18DT,2019-10-24,0.65,0.65,0.65,0.65,0.65,0.65,0.65,E1
8,DEL18DT,2019-10-23,0.6,0.6,0.65,0.8,0.6,0.65,0.65,E5
9,DEL18DT,2019-10-22,0.55,0.7,0.75,0.6,0.6,0.65,0.64,E6
10,DEL18DT,2019-10-21,0.65,0.6,0.65,0.8,0.8,0.55,0.68,E5
11,DEL18DT,2019-10-20,0.65,0.65,0.7,0.65,0.65,0.65,0.66,E5
12,DEL18DT,2019-10-19,0.65,0.65,0.65,0.65,0.65,0.7,0.66,E7
13,DEL18DT,2019-10-18,0.6,0.65,0.7,0.6,0.65,0.65,0.64,E4
14,DEL18DT,2019-10-17,0.65,0.7,0.65,0.65,0.65,0.65,0.66,E7
15,DEL18DT,2019-10-16,0.6,0.6,0.6,0.6,0.65,0.65,0.62,E1
16,DEL18DT,2019-10-15,0.7,0.6,0.7,0.55,0.6,0.6,0.63,<1
17,DEL18DT,2019-10-14,0.55,0.55,0.55,0.7,0.7,0.7,0.63,E2
18,DEL18DT,2019-10-13,0.65,0.65,0.6,0.6,0.6,0.65,0.63,E1
19,DEL18DT,2019-10-12,0.6,0.55,0.6,0.6,0.6,0.65,0.6,<1
20,DEL18DT,2019-10-11,0.8,0.85,1.0,0.8,0.85,0.85,0.86,<1
21,DEL18DT,2019-10-10,0.8,0.8,0.8,0.85,0.7,0.75,0.78,E3
22,DEL18DT,2019-10-09,0.8,0.8,0.7,0.8,0.8,0.8,0.78,E1
23,DEL18DT,2019-10-08,0.65,0.65,0.6,0.7,0.75,0.7,0.68,<1
24,DEL18DT,2019-10-07,0.85,0.8,0.8,0.7,0.75,0.6,0.75,E4
25,DEL18DT,2019-10-06,0.75,0.8,0.8,0.8,0.85,0.75,0.79,E3
26,DEL18DT,2019-10-05,0.65,0.7,0.75,0.75,0.75,0.75,0.73,E3
27,DEL18DT,2019-10-04,0.75,0.7,0.75,0.6,0.75,0.75,0.72,<1
28,DEL18DT,2019-10-03,0.8,0.75,0.65,0.7,0.65,0.75,0.72,E2
29,DEL18DT,2019-10-02,0.7,0.8,0.8,0.85,0.7,0.75,0.77,<1
30,DEL18DT,2019-10-01,0.5,0.55,0.6,0.5,0.5,0.7,0.56,E1
31,DEL18DT,2019-09-30,0.5,0.55,0.55,0.45,0.55,0.55,0.53,E1
32,DEL18DT,2019-09-30,0.5,0.55,0.55,0.45,0.55,0.55,0.53,E1
33,DEL18DT,2019-09-29,0.5,0.6,0.55,0.55,0.55,0.55,0.55,<1
34,DEL18DT,2019-09-29,0.5,0.6,0.55,0.55,0.55,0.55,0.55,<1
35,DEL18DT,2019-09-28,0.6,0.55,0.55,0.7,0.65,0.55,0.6,E2
36,DEL18DT,2019-09-28,0.6,0.55,0.55,0.7,0.65,0.55,0.6,E2
37,DEL18DT,2019-09-27,0.6,0.6,0.6,0.55,0.55,0.55,0.58,<1
38,DEL18DT,2019-09-27,0.6,0.6,0.6,0.55,0.55,0.55,0.58,<1
39,DEL18DT,2019-09-26,0.55,0.55,0.6,0.6,0.7,0.6,0.6,<1
40,DEL18DT,2019-09-26,0.55,0.55,0.6,0.6,0.7,0.6,0.6,<1
41,DEL18DT,2019-09-25,0.75,0.7,0.75,0.75,0.8,0.8,0.76,E2
42,DEL18DT,2019-09-25,0.75,0.7,0.75,0.75,0.8,0.8,0.76,E2
43,DEL18DT,2019-09-24,0.9,0.8,0.75,0.75,0.7,0.8,0.78,<1
44,DEL18DT,2019-09-24,0.9,0.8,0.75,0.75,0.7,0.8,0.78,<1
45,DEL18DT,2019-09-23,0.8,0.8,0.8,0.75,0.65,0.7,0.75,E1
46,DEL18DT,2019-09-23,0.8,0.8,0.8,0.75,0.65,0.7,0.75,E1
47,DEL18DT,2019-09-22,0.8,0.75,0.7,0.75,0.7,0.8,0.75,<1
48,DEL18DT,2019-09-22,0.8,0.75,0.7,0.75,0.7,0.8,0.75,<1
49,DEL18DT,2019-09-21,0.65,0.8,0.75,0.85,0.75,0.8,0.77,<1
50,DEL18DT,2019-09-21,0.65,0.8,0.75,0.85,0.75,0.8,0.77,<1
51,DEL18DT,2019-09-20,0.85,0.9,0.8,0.75,0.8,0.75,0.81,E1
52,DEL18DT,2019-09-20,0.85,0.9,0.8,0.75,0.8,0.75,0.81,E1
53,DEL18DT,2019-09-19,0.8,0.8,0.9,0.8,0.85,0.9,0.84,E1
54,DEL18DT,2019-09-19,0.8,0.8,0.9,0.8,0.85,0.9,0.84,E1
55,DEL18DT,2019-09-18,0.85,0.85,0.85,0.85,0.8,0.75,0.83,E1
56,DEL18DT,2019-09-18,0.85,0.85,0.85,0.85,0.8,0.75,0.83,E1
57,DEL18DT,2019-09-17,0.6,0.65,0.65,0.85,0.85,0.7,0.72,E2
58,DEL18DT,2019-09-17,0.6,0.65,0.65,0.85,0.85,0.7,0.72,E2
59,DEL18DT,2019-09-16,0.75,0.75,0.8,0.75,0.7,0.75,0.75,E3
60,DEL18DT,2019-09-16,0.75,0.75,0.8,0.75,0.7,0.75,0.75,E3
61,DEL18DT,2019-09-15,0.85,0.85,0.85,0.75,0.85,0.75,0.82,E1
62,DEL18DT,2019-09-15,0.85,0.85,0.85,0.75,0.85,0.75,0.82,E1
63,DEL18DT,2019-09-14,0.8,0.85,0.9,0.85,0.95,0.9,0.88,E1
64,DEL18DT,2019-09-14,0.8,0.85,0.9,0.85,0.95,0.9,0.88,E1
65,DEL18DT,2019-09-13,0.8,0.8,0.8,0.8,0.8,0.8,0.8,<1
66,DEL18DT,2019-09-13,0.8,0.8,0.8,0.8,0.8,0.8,0.8,<1
67,DEL18DT,2019-09-12,0.75,0.8,0.8,0.85,0.85,0.8,0.81,E3
68,DEL18DT,2019-09-12,0.75,0.8,0.8,0.85,0.85,0.8,0.81,E3
69,DEL18DT,2019-09-11,0.85,0.8,0.9,0.8,0.75,0.75,0.81,<1
70,DEL18DT,2019-09-11,0.85,0.8,0.9,0.8,0.75,0.75,0.81,<1
71,DEL18DT,2019-09-10,0.85,0.9,0.85,0.85,0.75,0.8,0.83,<1
72,DEL18DT,2019-09-10,0.85,0.9,0.85,0.85,0.75,0.8,0.83,<1
73,DEL18DT,2019-09-09,0.75,0.7,0.75,0.65,0.65,0.85,0.73,E2
74,DEL18DT,2019-09-09,0.75,0.7,0.75,0.65,0.65,0.85,0.73,E2
75,DEL18DT,2019-09-08,0.6,0.65,0.6,0.65,0.75,0.7,0.66,<1
76,DEL18DT,2019-09-08,0.6,0.65,0.6,0.65,0.75,0.7,0.66,<1
77,DEL18DT,2019-09-07,0.65,0.65,0.75,0.75,0.65,0.65,0.68,<1
78,DEL18DT,2019-09-07,0.65,0.65,0.75,0.75,0.65,0.65,0.68,<1
79,DEL18DT,2019-09-06,0.85,1.0,0.95,0.85,0.85,1.0,0.92,<1
80,DEL18DT,2019-09-06,0.85,1.0,0.95,0.85,0.85,1.0,0.92,<1
81,DEL18DT,2019-09-05,0.85,0.85,0.85,0.8,0.8,0.85,0.83,E1
82,DEL18DT,2019-09-05,0.85,0.85,0.85,0.8,0.8,0.85,0.83,E1
83,DEL18DT,2019-09-04,0.85,0.8,0.85,0.85,0.85,0.85,0.84,E3
84,DEL18DT,2019-09-04,0.85,0.8,0.85,0.85,0.85,0.85,0.84,E3
85,DEL18DT,2019-09-03,0.8,0.75,0.8,0.7,0.9,0.75,0.78,E2
86,DEL18DT,2019-09-03,0.8,0.75,0.8,0.7,0.9,0.75,0.78,E2
87,DEL18DT,2019-09-02,0.85,0.85,0.85,0.8,0.75,0.95,0.84,E1
88,DEL18DT,2019-09-02,0.85,0.85,0.85,0.8,0.75,0.95,0.84,E1
89,DEL18DT,2019-09-01,0.75,0.8,0.85,0.75,0.75,0.75,0.78,E4
90,DEL18DT,2019-09-01,0.75,0.8,0.85,0.75,0.75,0.75,0.78,E4
91,DEL18DT,2019-08-31,0.9,0.85,0.85,0.75,0.75,0.7,0.8,E1
92,DEL18DT,2019-08-30,0.8,0.8,0.9,0.9,1.0,0.95,0.89,<1
93,DEL18DT,2019-08-29,0.85,0.85,0.85,0.8,0.8,0.85,0.83,E4
94,DEL18DT,2019-08-28,0.95,0.95,0.8,0.85,0.75,0.85,0.86,<1
95,DEL18DT,2019-08-27,0.8,0.95,0.95,0.85,0.8,0.85,0.87,<1
96,DEL18DT,2019-08-26,0.8,0.75,0.75,0.75,0.7,0.8,0.76,E1
97,DEL18DT,2019-08-25,0.75,0.8,0.8,0.8,0.75,0.75,0.78,E1
98,DEL18DT,2019-08-24,0.75,0.7,0.7,0.75,0.75,0.8,0.74,<1
99,DEL18DT,2019-08-23,0.8,0.95,0.85,0.65,0.7,0.7,0.78,E2
100,DEL18DT,2019-08-22,0.8,0.9,0.85,0.85,0.8,0.85,0.84,<1
101,DEL18DT,2019-08-21,0.8,0.75,0.8,0.9,0.95,0.95,0.86,E2
102,DEL18DT,2019-08-20,0.9,0.8,0.85,0.85,0.9,0.8,0.85,<1
103,DEL18DT,2019-08-19,0.8,0.75,0.85,0.8,0.9,0.9,0.83,<1
104,DEL18DT,2019-08-18,0.75,0.75,0.8,0.8,0.85,0.8,0.79,<1
