district,grade_level,category,average_frequency,average_minutes_per,of_students_who_are,of_students_who_are_1,of_students_who_are_2,of_students_who_are_3,of_students_who_have,of_students_who_have_1
1,1,All Students,1.502917,115.7585,73,0.0851808637,784,0.9148191214,s,s
1,1,Asian, - , - ,6,0.035502959,163,0.9644970298,s,s
1,1,Black, - , - ,s,s,s,s,s,s
1,1,Hispanic, - , - ,23,0.0614973269,351,0.9385026693,s,s
1,1,Other, - , - ,s,s,s,s,s,s
1,1,White, - , - ,40,0.2162162215,145,0.7837837934,s,s
1,1,Female, - , - ,37,0.0898058265,375,0.9101941586,s,s
1,1,Male, - , - ,36,0.0808988735,409,0.919101119,s,s
1,1,IEP, - , - ,14,0.0700000003,186,0.9300000072,s,s
1,1,ELL, - , - ,7,0.0564516112,117,0.9435483813,s,s
1,2,All Students,1.530374,120.403,76,0.0887850448,780,0.9112149477,s,s
1,2,Asian, - , - ,s,s,s,s,s,s
1,2,Black, - , - ,9,0.0789473653,105,0.9210526347,s,s
1,2,Hispanic, - , - ,34,0.0874035954,355,0.9125964046,s,s
1,2,Other, - , - ,s,s,s,s,s,s
1,2,White, - , - ,25,0.1470588297,145,0.8529411554,s,s
1,2,Female, - , - ,39,0.0979899466,359,0.9020100236,s,s
1,2,Male, - , - ,37,0.080786027,421,0.9192139506,s,s
1,2,IEP, - , - ,23,0.1022222191,202,0.8977777958,s,s
1,2,ELL, - , - ,s,s,s,s,s,s
1,3,All Students,1.59291,111.6932,74,0.0904645473,744,0.9095354676,s,s
1,3,Asian, - , - ,s,s,s,s,s,s
1,3,Black, - , - ,10,0.0970873758,93,0.9029126167,s,s
1,3,Hispanic, - , - ,28,0.082840234,310,0.9171597362,s,s
1,3,Other, - , - ,s,s,s,s,s,s
1,3,White, - , - ,29,0.1746987998,137,0.82530123,s,s
1,3,Female, - , - ,32,0.0810126588,363,0.9189873338,s,s
1,3,Male, - , - ,42,0.0992907807,381,0.9007092118,s,s
1,3,IEP, - , - ,19,0.0959595963,179,0.9040403962,s,s
1,3,ELL, - , - ,s,s,s,s,s,s
1,4,All Students,1.483292,99.66894,73,0.0903465375,735,0.9096534848,s,s
1,4,Asian, - , - ,s,s,s,s,s,s
1,4,Black, - , - ,11,0.0940170959,106,0.9059829116,s,s
1,4,Hispanic, - , - ,35,0.1032448411,304,0.8967551589,s,s
1,4,Other, - , - ,s,s,s,s,s,s
1,4,White, - , - ,19,0.125,133,0.875,s,s
1,4,Female, - , - ,37,0.0961038992,348,0.9038960934,s,s
1,4,Male, - , - ,36,0.0851063803,387,0.9148936272,s,s
1,4,IEP, - , - ,24,0.1126760542,189,0.887323916,s,s
1,4,ELL, - , - ,6,0.1224489808,43,0.8775510192,s,s
1,5,All Students,1.356172,104.295,54,0.0611551516,829,0.9388448596,s,s
1,5,Asian, - , - ,s,s,s,s,s,s
1,5,Black, - , - ,8,0.0544217676,139,0.9455782175,s,s
1,5,Hispanic, - , - ,34,0.0913978517,338,0.9086021781,s,s
1,5,Other, - , - ,s,s,s,s,s,s
1,5,White, - , - ,7,0.0406976752,165,0.9593023062,s,s
1,5,Female, - , - ,19,0.0447058827,406,0.9552941322,s,s
1,5,Male, - , - ,35,0.0764192119,423,0.9235807657,s,s
1,5,IEP, - , - ,28,0.1003584266,251,0.8996415734,s,s
1,5,ELL, - , - ,s,s,s,s,s,s
1,6,All Students,2.098795,100.9277,519,0.6253011823,311,0.3746987879,s,s
1,6,Asian, - , - ,79,0.459302336,93,0.5406976938,s,s
1,6,Black, - , - ,102,0.6754966974,49,0.3245033026,s,s
