,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
0,K,22,22,22K312,P.S. 312 Bergen Beach,Elementary,K312,P.S. 312 - Brooklyn,7103 Avenue T,DOE Owned,345,676.0,Dance Room,false,Inside,false,False
1,Q,25,25,25Q120,P.S. 120 Queens,Elementary,Q120,P.S. 120 - Queens,58-01 136 Street,DOE Owned,GYM,3850.0,Gymnasium,false,Inside,false,False
2,M,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - Manhattan,121 East 3 Street,DOE Owned,417,1500.0,Gymnasium,true,Inside,true,False
3,M,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - Manhattan,333 East 4 Street,DOE Owned,GYM.,3243.0,Gymnasium,true,Inside,true,False
4,M,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - Manhattan,333 East 4 Street,DOE Owned,Outdoor Yard 1,14953.0,Outdoor Yard,true,Outdoor,true,False
5,M,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,GYM,3942.0,Gymnasium,true,Inside,true,False
6,M,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - Manhattan,185 1 Avenue,DOE Owned,Outdoor Yard 1,28121.0,Outdoor Yard,true,Outdoor,true,False
7,M,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - Manhattan,166 Essex Street,DOE Owned,GYM,4000.0,Gymnasium,false,Inside,false,False
8,M,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - Manhattan,166 Essex Street,DOE Owned,Outdoor Yard 1,3191.0,Outdoor Yard,false,Outdoor,false,False
9,M,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - Manhattan,730 East 12 Street,DOE Owned,124,3450.0,Gymnasium,false,Inside,false,False
10,M,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - Manhattan,730 East 12 Street,DOE Owned,Outdoor Yard 1,27457.0,Outdoor Yard,false,Outdoor,false,False
