school_year,location_name,location_code,borough,geographical_district_code,register,schools,nypd_site_code,nypd_site_name,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,building_name
2016 - 17,PASSAGES ACADEMY AT BELMONT(BN),X695,K,7,618,1,211,PS 077K,Brooklyn College Academy,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.815701', 'longitude': '-73.914526', 'human_address': '{""address"": ""560 BROOK AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",10933.0,49.0,5.0,43.0,23.0,,,,,,,,,,
2016 - 17,P.S. Q086,Q086,Q,28,646,1,746,MS 074Q,P.S. 082 Hammond,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '41.12133', 'longitude': '-72.339742', 'human_address': '{""address"": ""87 41 PARSONS BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",26159.0,,,,,11432.0,40.708898,-73.803938,8.0,24.0,448.0,4438678.0,4097740001.0,Briarwood-Jamaica Hills                                                    ,
2016 - 17,P.S. 001 The Bergen,K001,K,15,1334,1,198,PS 001K,P.S. 001 The Bergen,0,0,1,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '41.574857', 'longitude': '-93.767342', 'human_address': '{""address"": ""309 47 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",22209.0,,,,,,,,,,,,,,
2016 - 17,P.S. 001 Alfred E. Smith,M001,M,2,533,1,1398,Sunset Park HS,P.S. Q256,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '41.398617', 'longitude': '-73.465855', 'human_address': '{""address"": ""8 HENRY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",6632.0,,,,,,,,,,,,,,
2016 - 17,P.S. 035,M035,M,2,833,1,663,JHS 056M,James Weldon Johnson,0,1,3,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '41.799996', 'longitude': '-87.633867', 'human_address': '{""address"": ""317 WEST 52ND STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",14924.0,,,,,10019.0,40.763866,-73.985939,4.0,3.0,133.0,1025241.0,1010430022.0,Clinton                                                                    ,
2016 - 17,The Urban Assembly School for Collaborative Health,K764,K,19,215,5,315,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",22275.0,,,,,11208.0,40.691146,-73.868328,5.0,37.0,1180.0,3090738.0,3040940001.0,park-cemetery-etc-Brooklyn                                                 ,999 JAMAICA AVENUE CONSOLIDATED LOCATION
2016 - 17,Brooklyn High School of the Arts,K656,K,15,522,2,1226,Academy for Health Careers(Dist.13 Office),The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '31.226762', 'longitude': '-84.221511', 'human_address': '{""address"": ""345 DEAN STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",33103.0,,,,,11217.0,40.683559,-73.98027,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,345 DEAN STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 183 Robert L. Stevenson,M183,M,2,704,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.763596', 'longitude': '-73.957856', 'human_address': '{""address"": ""419 EAST 66 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",10090.0,23.0,4.0,1.0,11.0,10065.0,40.763736,-73.95815,8.0,5.0,116.0,1045569.0,1014610007.0,Lenox Hill-Roosevelt Island                                                ,4862 BROADWAY CONSOLIDATED LOCATION
2016 - 17,J.H.S. 162 The Willoughby,K162,K,32,414,2,237,PS 160K,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.70727', 'longitude': '-73.919792', 'human_address': '{""address"": ""1390 WILLOUGHBY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13828.0,42.0,2.0,30.0,53.0,11237.0,40.707229,-73.919805,4.0,34.0,445.0,3073018.0,3032120001.0,Bushwick North                                                             ,330 CROWN STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 236 Mill Basin,K236,K,22,1262,1,168,IS 232K,P.S. 235 Lenox School,1,1,1,1,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '29.464895', 'longitude': '-94.983575', 'human_address': '{""address"": ""6302 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",11350.0,,,,,11234.0,40.615998,-73.912989,18.0,46.0,698.0,3326821.0,3084640001.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,
2016 - 17,Professor Juan Bosch Public School,M178,M,6,423,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.859393', 'longitude': '-73.927875', 'human_address': '{""address"": ""12 18 ELLWOOD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,10040.0,40.859243,-73.927792,12.0,10.0,283.0,1064128.0,1021710036.0,Washington Heights North                                                   ,4862 BROADWAY CONSOLIDATED LOCATION
2016 - 17,High School of  Telecommunication Arts and Technol,K485,K,20,1144,4,152,GEORGE WINGATE HS,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,1,3,42,3,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"{'latitude': '44.048053', 'longitude': '-122.90782', 'human_address': '{""address"": ""350 67 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1720.0,,,,,,,,,,,,,,400 IRVING AVENUE CONSOLIDATED LOCATION
2016 - 17,The High School for Global Citizenship,K528,K,17,420,4,140,THOMAS JEFFERSON HS,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.67009', 'longitude': '-73.961805', 'human_address': '{""address"": ""883 CLASSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,48.0,44.0,11225.0,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        ,883 CLASSON AVENUE CONSOLIDATED LOCATION
2016 - 17,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,K023,K,14,556,2,59,PS 022K,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.694054', 'longitude': '-73.947636', 'human_address': '{""address"": ""545 WILLOUGHBY AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17213.0,69.0,2.0,49.0,51.0,11206.0,40.69407,-73.94756,3.0,36.0,25901.0,3048818.0,3017590013.0,Bedford                                                                    ,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION
2016 - 17,"Urban Assembly School of Design and Construction,",M300,M,2,199,1,670,MURRY BERGTRAUM HS,I.S. 528 Bea Fuller Rodgers School,1,0,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"{'latitude': '25.826427', 'longitude': '-80.127267', 'human_address': '{""address"": ""525 WEST 50TH STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",24833.0,,,,,10019.0,40.765184,-73.992953,4.0,3.0,135.0,1083802.0,1010790029.0,Clinton                                                                    ,
2016 - 17,P.S. M079 - Horan School,M079,M,5,508,1,657,IS 070M,P.S. 076 A. Philip Randolph,0,2,2,2,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'human_address': '{""address"": ""55 EAST 120 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,10035.0,40.802419,-73.942634,11.0,9.0,198.0,1053968.0,1017470001.0,East Harlem North                                                          ,
