dbn,school_name,grade_level,category,average_frequency,average_minutes,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_2,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_2,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_1,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_2
01M015,P.S. 015 Roberto Clemente,1,All Students,5.00,120.00,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,Asian,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,Black,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,Hispanic,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,White,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,Female,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,Male,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,IEP,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,1,ELL,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,All Students,5.00,120.00,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,Asian,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,Black,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,Hispanic,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,Other,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,White,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,Female,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,Male,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,IEP,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,2,ELL,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,All Students,5.00,120.00,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,Asian,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,Black,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,Hispanic,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,Other,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,Female,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,Male,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,IEP,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,3,ELL,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,All Students,3.00,120.00,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,Asian,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,Black,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,Hispanic,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,White,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,Female,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,Male,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,IEP,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,4,ELL,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,All Students,3.00,120.00,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,Black,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,Hispanic,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,Other,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,Female,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,Male,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,5,IEP,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,All Students,5.00,120.00,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,Asian,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,Black,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,Hispanic,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,Female,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,Male,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,IEP,-,-,s,s,s,s,s,s
01M015,P.S. 015 Roberto Clemente,0K,ELL,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,All Students,5.00,169.53,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,Black,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,Hispanic,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,Female,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,Male,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,IEP,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,1,ELL,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,2,All Students,2.45,169.79,17,36.17%,30,63.83%,s,s
01M019,P.S. 019 Asher Levy,2,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,2,Black,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,2,Hispanic,-,-,12,36.36%,21,63.64%,s,s
01M019,P.S. 019 Asher Levy,2,White,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,2,Female,-,-,6,28.57%,15,71.43%,s,s
02M089,P.S. 89,5,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,2,Male,-,-,11,42.31%,15,57.69%,s,s
01M019,P.S. 019 Asher Levy,2,IEP,-,-,11,64.71%,6,35.29%,s,s
01M019,P.S. 019 Asher Levy,2,ELL,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,All Students,4.79,150.00,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,Black,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,Hispanic,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,Other,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,White,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,Female,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,Male,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,IEP,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,3,ELL,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,All Students,3.00,150.00,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,Black,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,Hispanic,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,White,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,Female,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,Male,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,IEP,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,4,ELL,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,All Students,3.00,150.00,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,Black,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,Hispanic,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,White,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,Female,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,Male,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,5,IEP,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,All Students,4.06,169.41,26,76.47%,8,23.53%,s,s
01M019,P.S. 019 Asher Levy,0K,Asian,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,Black,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,Hispanic,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,White,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,Female,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,Male,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,IEP,-,-,s,s,s,s,s,s
01M019,P.S. 019 Asher Levy,0K,ELL,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,All Students,5.00,120.00,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,Asian,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,Black,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,Hispanic,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,Other,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,White,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,Female,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,Male,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,IEP,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,1,ELL,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,All Students,5.00,123.79,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,Asian,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,Black,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,Hispanic,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,Other,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,White,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,Female,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,Male,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,IEP,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,2,ELL,-,-,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,3,All Students,5.00,120.00,s,s,s,s,s,s
01M020,P.S. 020 Anna Silver,3,Asian,-,-,s,s,s,s,s,s
