,borough,geographical_district,admin_district,ats_code,location_name,grade_level,bldg_id,bldg_name,ownership,room_number,square_feet,room_function,shared_with_other_schools,inside_v_outside,space_used_for_any_other_purpose_beside_pe
0,Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,DOE Owned,GYM.,"3,243",GYMNASIUM,Y,Inside,N
1,Manhattan,1,1,01M015,P.S. 015 Roberto Clemente,Elementary,M015,P.S. 15 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"14,953",OUTDOOR YARD,Y,Outside,N
2,Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,DOE Owned,GYM,"3,942",GYMNASIUM,Y,Inside,N
3,Manhattan,1,1,01M019,P.S. 019 Asher Levy,Elementary,M019,P.S. 19 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"28,121",OUTDOOR YARD,Y,Outside,N
4,Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,DOE Owned,122/24S,"1,080",MULTI-PURPOSE CLASSROOM,N,Inside,Y
5,Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,DOE Owned,GYM,"4,000",GYMNASIUM,N,Inside,N
6,Manhattan,1,1,01M020,P.S. 020 Anna Silver,Elementary,M020,P.S. 20 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"3,191",OUTDOOR YARD,N,Outside,N
7,Manhattan,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - MANHATTAN,DOE Owned,124,"3,450",GYMNASIUM,N,Inside,N
8,Manhattan,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - MANHATTAN,DOE Owned,314,676,MULTI-PURPOSE CLASSROOM,N,Inside,Y
9,Manhattan,1,1,01M034,P.S. 034 Franklin D. Roosevelt,K-8,M034,P.S. 34 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"27,457",OUTDOOR YARD,N,Outside,N
10,Manhattan,1,1,01M063,The STAR Academy - P.S.63,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,114,728,DANCE ROOM,Y,Inside,N
