,dbn,school_name,school_type,program,language
0,01M020 ,P.S. 020 Anna Silver ,Elementary ,Dual Language ,Chinese 
1,01M020 ,P.S. 020 Anna Silver ,Elementary ,Dual Language ,Spanish 
2,01M184 ,P.S. 184m Shuang Wen ,K-8 ,Dual Language ,Chinese 
3,01M188 ,P.S. 188 The Island School ,K-8 ,Dual Language ,Spanish 
4,01M378 ,School for Global Leaders ,Junior High-Intermediate-Middle ,Dual Language ,Chinese 
5,01M515 ,Lower East Side Preparatory High School ,High school ,Transitional Bilingual Education ,Chinese 
6,01M515 ,Lower East Side Preparatory High School ,High school ,Transitional Bilingual Education ,Spanish 
7,02M001 ,P.S. 001 Alfred E. Smith ,Elementary ,Dual Language ,Chinese 
8,02M002 ,P.S. 002 Meyer London ,Elementary ,Transitional Bilingual Education ,Chinese 
9,02M042 ,P.S. 042 Benjamin Altman ,Elementary ,Transitional Bilingual Education ,Chinese 
10,02M124 ,P.S. 124 Yung Wing ,Elementary ,Transitional Bilingual Education ,Chinese 
11,02M126 ,P.S. 126 Jacob August Riis ,K-8 ,Transitional Bilingual Education ,Chinese 
12,02M130 ,P.S. 130 Hernando De Soto ,Elementary ,Transitional Bilingual Education ,Chinese 
13,02M131 ,M.S. 131 ,Junior High-Intermediate-Middle ,Dual Language ,Chinese 
14,02M131 ,M.S. 131 ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Chinese 
15,02M427 ,MANHATTAN ACADEMY FOR ARTS & LANGUAGE ,High school ,Transitional Bilingual Education ,Spanish 
16,02M520 ,Murry Bergtraum High School for Business Careers ,High school ,Transitional Bilingual Education ,Chinese 
17,02M520 ,Murry Bergtraum High School for Business Careers ,High school ,Transitional Bilingual Education ,Spanish 
18,02M542 ,Manhattan Bridges High School ,High school ,Dual Language ,Spanish 
19,02M542 ,Manhattan Bridges High School ,High school ,Transitional Bilingual Education ,Spanish 
20,02M545 ,High School for Dual Language and Asian Studies ,High school ,Dual Language ,Chinese 
21,02M545 ,High School for Dual Language and Asian Studies ,High school ,Transitional Bilingual Education ,Chinese 
22,03M075 ,P.S. 075 Emily Dickinson ,Elementary ,Dual Language ,Spanish 
23,03M084 ,P.S. 084 Lillian Weber ,Elementary ,Dual Language ,French 
24,03M084 ,P.S. 084 Lillian Weber ,Elementary ,Dual Language ,Spanish 
25,03M087 ,P.S. 087 William Sherman ,Elementary ,Dual Language ,Spanish 
26,03M145 ,"P.S. 145, The Bloomingdale School ",Elementary ,Dual Language ,Russian 
27,03M145 ,"P.S. 145, The Bloomingdale School ",Elementary ,Dual Language ,Spanish 
28,03M163 ,P.S. 163 Alfred E. Smith ,Elementary ,Dual Language ,Spanish 
29,03M165 ,P.S. 165 Robert E. Simon ,K-8 ,Dual Language ,Spanish 
