,providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,budgetedunits
0,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,250
1,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,24
2,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,24
3,ELDER ABUSE SERVICES CONTRACTS,64701.0,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,Weill Cornell PROTECT,PTRS,PROTECT TRAINING SESSIONS,56
4,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,3480
5,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,160
6,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,20
7,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,48
8,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,100
9,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,3480
