,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
0,6573046,949821,4,QUEENS,177-14,129 AVENUE,11434,12538,156,1FLR,12,2013-11-07T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
1,6684157,843381,4,QUEENS,35-01,101 STREET,11368,1742,1,1FL,3,2014-01-03T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
2,6714273,612583,4,QUEENS,133-14,226 STREET,11413,12964,254,1FL,13,2014-01-11T00:00:00.000,2,CLOSE,2015-04-22T00:00:00.000
3,6718256,674042,4,QUEENS,96-01,LIBERTY AVENUE,11417,9119,43,3FL,10,2014-01-14T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
4,6719783,545149,4,QUEENS,121-11,133 AVENUE,11420,11728,5,BSMT,10,2014-01-15T00:00:00.000,2,CLOSE,2015-04-22T00:00:00.000
5,6754677,381873,3,BROOKLYN,245,TROUTMAN STREET,11237,3174,38,3L,4,2014-01-28T00:00:00.000,2,CLOSE,2015-04-14T00:00:00.000
6,6761135,459818,4,QUEENS,98-01,67 AVENUE,11374,3155,27,6B,6,2014-01-30T00:00:00.000,2,CLOSE,2015-04-10T00:00:00.000
7,6775273,496892,4,QUEENS,85-23,88 STREET,11421,8863,136,ATTIC,9,2014-02-05T00:00:00.000,2,CLOSE,2015-04-17T00:00:00.000
8,6780594,517919,4,QUEENS,145-02,107 AVENUE,11435,10080,10,2FL,12,2014-02-08T00:00:00.000,2,CLOSE,2015-04-21T00:00:00.000
9,6806599,526032,4,QUEENS,95-69,113 STREET,11419,9415,61,2,9,2014-02-21T00:00:00.000,2,CLOSE,2015-04-15T00:00:00.000
10,6819531,425718,4,QUEENS,149-19,38 AVENUE,11354,5017,31,2D,7,2014-03-01T00:00:00.000,2,CLOSE,2015-04-10T00:00:00.000
11,8320154,46208,2,BRONX,2325,ARTHUR AVENUE,10458,3065,70,20,6,2016-12-28T00:00:00.000,2,CLOSE,2017-01-24T00:00:00.000
12,6843568,523727,4,QUEENS,94-31,111 STREET,11419,9397,37,1,9,2014-03-14T00:00:00.000,2,CLOSE,2015-04-28T00:00:00.000
13,6847589,474751,4,QUEENS,41-41,76 STREET,11373,1496,56,BLDG,4,2014-03-18T00:00:00.000,2,CLOSE,2015-04-15T00:00:00.000
14,6855151,348534,3,BROOKLYN,3017,OCEAN PARKWAY,11235,8669,77,7A,13,2014-03-23T00:00:00.000,2,CLOSE,2015-04-25T00:00:00.000
15,6855873,491190,4,QUEENS,85-21,85 STREET,11421,8864,31,1FL,9,2014-03-24T00:00:00.000,2,CLOSE,2015-04-23T00:00:00.000
16,6856158,374252,3,BROOKLYN,972,ST JOHNS PLACE,11213,1256,16,2,8,2014-03-24T00:00:00.000,2,CLOSE,2015-04-20T00:00:00.000
17,6863089,222873,3,BROOKLYN,447,CLINTON AVENUE,11238,1961,8,1R,2,2014-03-28T00:00:00.000,2,CLOSE,2015-04-24T00:00:00.000
18,6867537,445293,4,QUEENS,86-31,57 AVENUE,11373,2869,26,2C,4,2014-04-01T00:00:00.000,2,CLOSE,2015-04-22T00:00:00.000
19,6867696,558908,4,QUEENS,29-01,148 STREET,11354,4807,49,1E,7,2014-04-01T00:00:00.000,2,CLOSE,2015-04-21T00:00:00.000
20,6868004,692492,4,QUEENS,143-51,ROOSEVELT AVENUE,11354,5022,7502,BLDG,7,2014-04-02T00:00:00.000,2,CLOSE,2015-04-21T00:00:00.000
21,6876481,222859,3,BROOKLYN,410,CLINTON AVENUE,11238,1960,45,E1,2,2014-04-07T00:00:00.000,2,CLOSE,2015-04-24T00:00:00.000
22,6881157,288941,3,BROOKLYN,308,ELLERY STREET,11206,1579,21,4R,3,2014-04-11T00:00:00.000,2,CLOSE,2015-04-08T00:00:00.000
23,6881184,246857,3,BROOKLYN,191,EAST 17 STREET,11226,5121,60,5E,14,2014-04-11T00:00:00.000,2,CLOSE,2015-04-15T00:00:00.000
24,6882064,560920,4,QUEENS,2-19,150 STREET,11357,4493,82,BLDG,7,2014-04-12T00:00:00.000,2,CLOSE,2015-04-25T00:00:00.000
25,6891726,530514,4,QUEENS,83-19,116 STREET,11418,3321,63,5J,9,2014-04-22T00:00:00.000,2,CLOSE,2015-04-14T00:00:00.000
26,6899496,513944,4,QUEENS,108-12,103 AVENUE,11419,9513,6,2FL,10,2014-04-25T00:00:00.000,2,CLOSE,2015-04-21T00:00:00.000
27,6901184,119698,2,BRONX,1292,WASHINGTON AVENUE,10456,2373,23,21,3,2014-04-28T00:00:00.000,2,CLOSE,2015-04-28T00:00:00.000
28,6904037,314124,3,BROOKLYN,44,HOWARD AVENUE,11221,1485,40,3R,3,2014-04-30T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
29,6905816,681119,4,QUEENS,213-19,MURDOCK AVENUE,11429,11136,45,1FL,13,2014-05-01T00:00:00.000,2,CLOSE,2015-04-23T00:00:00.000
30,8320155,104592,2,BRONX,910,PROSPECT AVENUE,10459,2690,22,20,2,2016-12-28T00:00:00.000,2,CLOSE,2017-01-02T00:00:00.000
31,6914040,932951,4,QUEENS,31-12,UNION STREET,11354,4414,7506,6A,7,2014-05-12T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
32,6915308,424243,4,QUEENS,136-37,37 AVENUE,11354,4977,90,5E,7,2014-05-13T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
33,6920731,474751,4,QUEENS,41-41,76 STREET,11373,1496,56,BLDG,4,2014-05-15T00:00:00.000,2,CLOSE,2015-04-15T00:00:00.000
