project_id,project_name,project_start_date,house_number,street_name,borough,community_board,council_district,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,building_id,postcode,bbl,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,project_completion_date,building_completion_date,bin
69109,CONFIDENTIAL,2019-09-30T00:00:00.000,----,----,Queens,QN-12,27.0,Preservation,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,
69096,141 METROPOLITAN AVENUE,2019-09-30T00:00:00.000,141,METROPOLITAN AVENUE,Brooklyn,BK-01,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,7,979680.0,11249.0,3023580024.0,555.0,BK73,40.716171,-73.962321,40.7163,-73.962105,,,
69097,3470 FORT INDEPENDENCE STREET,2019-09-30T00:00:00.000,3469,CANNON PLACE,Bronx,BX-08,11.0,New Construction,No,Non Prevailing Wage,0,0,12,0,24,0,8,9,16,3,0,0,0,0,36,0,36,120,989948.0,10463.0,2032580120.0,279.0,BX28,40.881801,-73.897897,40.88174,-73.898385,,,
69124,CONFIDENTIAL,2019-09-30T00:00:00.000,----,----,Queens,QN-13,31.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,
69126,CONFIDENTIAL,2019-09-30T00:00:00.000,----,----,Bronx,BX-09,18.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,
69177,BAY TOWERS,2019-09-26T00:00:00.000,3-19,BEACH 98 STREET,Queens,QN-14,32.0,Preservation,No,Non Prevailing Wage,0,0,94,0,278,0,27,102,187,56,0,0,0,0,372,0,372,374,634041.0,,,,,,,,,,,
69123,CONFIDENTIAL,2019-09-26T00:00:00.000,----,----,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,2019-09-26T00:00:00.000,2019-09-26T00:00:00.000,
69120,CONFIDENTIAL,2019-09-25T00:00:00.000,----,----,Queens,QN-08,24.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-09-25T00:00:00.000,2019-09-25T00:00:00.000,
69113,CONFIDENTIAL,2019-09-23T00:00:00.000,----,----,Bronx,BX-10,13.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,2019-09-23T00:00:00.000,2019-09-23T00:00:00.000,
66137,HP W53 HDFC.HUDMF.FY 19,2019-09-23T00:00:00.000,328,WEST 53 STREET,Manhattan,MN-04,3.0,Preservation,No,Non Prevailing Wage,27,10,2,1,0,1,0,8,21,12,0,0,0,0,41,0,41,41,34007.0,10019.0,1010430046.0,133.0,MN15,40.764583,-73.985733,40.76453,-73.986199,2019-09-23T00:00:00.000,2019-09-23T00:00:00.000,1078897.0
69094,1507 NEW YORK AVENUE,2019-09-19T00:00:00.000,1507,NEW YORK AVENUE,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8,989653.0,11210.0,3050080035.0,784.0,BK91,40.635819,-73.945044,40.63594,-73.944745,,,
69095,1509 NEW YORK AVENUE,2019-09-19T00:00:00.000,1509,NEW YORK AVENUE,Brooklyn,BK-17,45.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8,984059.0,11210.0,3050080034.0,784.0,BK91,40.635783,-73.94504,40.63589,-73.944737,,,
69014,CONFIDENTIAL,2019-09-17T00:00:00.000,----,----,Brooklyn,BK-18,46.0,Preservation,No,Non Prevailing Wage,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,,,,,,,,,,,,
68958,CONFIDENTIAL,2019-09-11T00:00:00.000,----,----,Queens,QN-12,28.0,Preservation,No,Non Prevailing Wage,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,
69093,3613 BARNES AVENUE APARTMENTS,2019-09-09T00:00:00.000,3613,BARNES AVENUE,Bronx,BX-12,12.0,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,2,6,981245.0,10467.0,2046610068.0,380.0,BX44,40.878719,-73.861643,40.87884,-73.861859,,,
69092,219 SOUTH 3RD STREET,2019-09-09T00:00:00.000,219,SOUTH 3 STREET,Brooklyn,BK-01,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,9,372111.0,11211.0,3024200039.0,523.0,BK73,40.711141,-73.958732,40.71134,-73.958576,,,
69091,1424 VYSE AVENUE APARTMENTS,2019-09-06T00:00:00.000,1424,VYSE AVENUE,Bronx,BX-03,17.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,1,2,0,0,0,0,0,0,3,0,3,10,118447.0,10459.0,2029940011.0,123.0,BX75,40.830893,-73.889451,40.83078,-73.889227,,,
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,839,EAST 156 STREET,Bronx,BX-01,17.0,Preservation,No,Non Prevailing Wage,2,3,3,0,0,1,0,0,9,0,0,0,0,0,9,0,9,9,64094.0,10455.0,2026760085.0,79.0,BX34,40.817461,-73.902974,40.81773,-73.903187,,,2005002.0
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,1061,INTERVALE AVENUE,Bronx,BX-02,17.0,Preservation,No,Non Prevailing Wage,9,14,5,1,0,1,2,9,19,0,0,0,0,0,30,0,30,30,88157.0,10459.0,2027000053.0,131.0,BX33,40.824941,-73.896857,40.82505,-73.897175,,,2005409.0
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,590,EAST 138 STREET,Bronx,BX-01,8.0,Preservation,No,Non Prevailing Wage,0,6,9,0,0,1,2,0,14,0,0,0,0,0,16,0,16,16,62841.0,10454.0,2025500017.0,2701.0,BX39,40.806419,-73.916547,40.80619,-73.916713,,,2003608.0
69122,CONFIDENTIAL,2019-09-06T00:00:00.000,----,----,Queens,QN-14,31.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,,,,,,,,,2019-09-06T00:00:00.000,2019-09-06T00:00:00.000,
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,570,EAST 138 STREET,Bronx,BX-01,8.0,Preservation,No,Non Prevailing Wage,0,6,6,0,0,0,0,0,12,0,0,0,0,0,12,0,12,12,62835.0,10454.0,2025500007.0,2701.0,BX39,40.806661,-73.917143,40.80652,-73.917479,,,2003604.0
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,946,LEGGETT AVENUE,Bronx,BX-02,17.0,Preservation,No,Non Prevailing Wage,0,5,11,0,0,0,0,5,11,0,0,0,0,0,16,0,16,16,91417.0,10455.0,2026850050.0,83.0,BX33,40.815636,-73.900401,40.81554,-73.900715,,,2005109.0
69089,3 WEST 128TH STREET,2019-09-06T00:00:00.000,3,WEST 128 STREET,Manhattan,MN-10,9.0,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,5,0,1,0,0,0,0,6,0,6,20,39938.0,10027.0,1017260132.0,208.0,MN03,40.808558,-73.941368,40.80871,-73.941169,,,
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,590,EAST 169 STREET,Bronx,BX-03,16.0,Preservation,No,Non Prevailing Wage,0,2,5,0,0,0,0,4,3,0,0,0,0,0,7,0,7,7,65186.0,10456.0,2026120035.0,149.0,BX35,40.831928,-73.902581,40.83176,-73.90269,,,2004252.0
