,school_dbn,community_school_district,city_council_district,school_level,full_time_health_teachers,f_status_health_teachers,itinerant_health_teachers,sum_of_f_status_and_itinerant,total_part_time_and_full_time_health_teachers
0,01M015,1,2,Elementary,0,0,0,0,0
1,01M019,1,2,Elementary,0,0,0,0,0
2,01M020,1,1,Elementary,0,0,0,0,0
3,01M034,1,2,K-8,0,0,0,0,0
4,01M063,1,2,Elementary,0,0,0,0,0
5,01M064,1,2,Elementary,0,0,0,0,0
6,01M110,1,1,Elementary,0,0,0,0,0
7,01M134,1,1,Elementary,0,0,0,0,0
8,01M137,1,1,Elementary,0,0,0,0,0
9,01M140,1,1,K-8,0,0,0,0,0
10,01M142,1,1,Elementary,0,0,0,0,0
11,01M184,1,1,K-8,0,0,0,0,0
12,01M188,1,2,K-8,0,0,0,0,0
13,01M292,1,1,Secondary School,0,0,0,0,0
14,01M301,1,2,Junior High-Intermediate-Middle,0,0,0,0,0
15,01M315,1,2,Elementary,0,0,0,0,0
16,01M332,1,1,Junior High-Intermediate-Middle,0,0,0,0,0
17,01M345,1,1,Junior High-Intermediate-Middle,0,0,0,0,0
18,01M361,1,2,Elementary,0,0,0,0,0
19,01M363,1,2,Elementary,0,0,0,0,0
20,01M364,1,2,Elementary,0,0,0,0,0
21,01M378,1,1,Junior High-Intermediate-Middle,0,0,0,0,0
22,01M448,1,1,High School,0,0,0,0,0
23,01M450,1,2,Secondary School,0,0,0,0,0
24,01M458,1,1,High School,0,0,0,0,0
25,01M509,1,1,High School,0,0,0,0,0
26,01M515,1,1,High School,0,0,0,0,0
27,01M539,1,2,K-12 All Grades,1,0,0,0,1
28,01M650,1,1,High School,0,0,0,0,0
29,01M696,1,2,High School,0,0,0,0,0
30,01M839,1,2,Junior High-Intermediate-Middle,0,0,0,0,0
31,02M001,2,1,Elementary,0,0,0,0,0
32,02M002,2,1,Elementary,0,0,0,0,0
33,02M003,2,3,Elementary,0,0,0,0,0
34,02M006,2,4,Elementary,0,0,0,0,0
35,02M011,2,3,Elementary,0,0,0,0,0
36,02M033,2,3,Elementary,0,0,0,0,0
37,02M040,2,2,Elementary,0,0,0,0,0
38,02M041,2,3,Elementary,0,0,0,0,0
39,02M042,2,1,Elementary,0,0,0,0,0
40,02M047,2,2,High School,0,0,0,0,0
41,02M051,2,3,Elementary,0,0,0,0,0
42,02M059,2,4,Elementary,0,0,0,0,0
43,02M077,2,5,Elementary,1,0,0,0,1
44,02M089,2,1,Elementary,0,0,0,0,0
45,02M104,2,2,Junior High-Intermediate-Middle,0,0,0,0,0
46,02M111,2,3,K-8,0,0,0,0,0
47,02M114,2,5,Junior High-Intermediate-Middle,0,0,0,0,0
48,02M116,2,2,Elementary,0,0,0,0,0
49,02M124,2,1,Elementary,0,0,0,0,0
50,02M126,2,1,K-8,0,0,0,0,0
51,02M130,2,1,Elementary,0,0,0,0,0
52,02M131,2,1,Junior High-Intermediate-Middle,0,0,0,0,0
53,02M135,2,1,High School,0,0,0,0,0
54,02M139,2,3,High School,0,0,0,0,0
55,02M150,2,1,Elementary,0,0,0,0,0
56,02M151,2,5,Early Childhood,0,0,0,0,0
57,02M158,2,5,Elementary,0,0,0,0,0
58,02M167,2,4,Junior High-Intermediate-Middle,0,0,0,0,0
59,02M177,2,5,Junior High-Intermediate-Middle,0,0,0,0,0
60,02M183,2,5,Elementary,0,0,0,0,0
61,02M198,2,5,Elementary,0,0,0,0,0
62,02M212,2,3,Elementary,0,0,0,0,0
63,02M217,2,5,K-8,0,0,0,0,0
64,02M225,2,5,K-8,0,0,0,0,0
65,02M234,2,1,Elementary,0,0,0,0,0
66,02M255,2,2,Junior High-Intermediate-Middle,0,0,0,0,0
67,02M260,2,2,Secondary School,0,0,0,0,0
68,02M267,2,4,Elementary,0,0,0,0,0
69,02M276,2,1,K-8,0,0,0,0,0
70,02M280,2,1,High School,0,0,0,0,0
71,02M281,2,4,Elementary,0,0,0,0,0
72,02M282,2,1,High School,0,0,0,0,0
73,02M288,2,3,High School,0,0,0,0,0
74,02M289,2,1,Junior High-Intermediate-Middle,0,0,0,0,0
75,02M290,2,5,Elementary,0,0,0,0,0
76,02M294,2,1,High School,0,0,0,0,0
77,02M296,2,3,High School,0,0,0,0,0
78,02M298,2,1,High School,0,0,0,0,0
79,02M300,2,3,High School,0,0,0,0,0
80,02M303,2,3,High School,0,0,0,0,0
81,02M305,2,1,High School,0,0,0,0,0
82,02M308,2,1,High School,0,0,0,0,0
83,02M312,2,3,Junior High-Intermediate-Middle,0,0,0,0,0
84,02M313,2,3,High School,0,0,0,0,0
85,02M316,2,1,High School,0,0,0,0,0
86,02M340,2,3,Elementary,0,0,0,0,0
87,02M343,2,1,Elementary,0,0,0,0,0
88,02M347,2,2,K-8,0,0,0,0,0
89,02M374,2,2,High School,0,0,0,0,0
90,02M376,2,3,High School,0,0,0,0,0
91,02M392,2,3,High School,0,0,0,0,0
92,02M393,2,3,High School,0,0,0,0,0
93,02M394,2,1,High School,0,0,0,0,0
94,02M397,2,1,Early Childhood,0,0,0,0,0
95,02M399,2,2,High School,0,0,0,0,0
96,02M400,2,3,High School,1,0,0,0,1
97,02M407,2,2,Secondary School,0,0,0,0,0
98,02M408,2,3,Secondary School,0,0,0,0,0
99,02M411,2,2,High School,0,0,0,0,0
100,02M412,2,3,High School,0,0,0,0,0
101,02M413,2,2,Secondary School,0,0,0,0,0
102,02M414,2,3,High School,0,0,0,0,0
103,02M416,2,5,High School,0,0,0,0,0
104,02M418,2,1,High School,1,0,0,0,1
105,02M419,2,3,High School,0,0,0,0,0
106,02M420,2,2,High School,1,0,0,0,1
107,02M422,2,3,Secondary School,1,0,0,0,1
108,02M425,2,1,High School,0,0,0,0,0
109,02M427,2,2,High School,0,0,0,0,0
110,02M432,2,2,High School,0,0,0,0,0
111,02M437,2,3,High School,0,0,0,0,0
112,02M438,2,2,High School,0,0,0,0,0
113,02M439,2,3,High School,0,0,0,0,0
114,02M442,2,2,K-12 All Grades,0,0,0,0,0
115,02M449,2,5,High School,0,0,0,0,0
116,02M459,2,5,High School,0,0,0,0,0
117,02M475,2,1,High School,3,0,0,0,3
118,02M489,2,1,High School,0,0,0,0,0
119,02M500,2,2,High School,0,0,0,0,0
120,02M507,2,3,High School,0,0,0,0,0
121,02M519,2,5,High School,0,0,0,0,0
122,02M520,2,1,High School,1,0,0,0,1
123,02M527,2,5,Elementary,0,0,0,0,0
124,02M529,2,4,High School,0,0,0,0,0
125,02M531,2,4,High School,0,0,0,0,0
126,02M533,2,2,High School,0,0,0,0,0
127,02M534,2,3,High School,0,0,0,0,0
128,02M542,2,3,High School,0,0,0,0,0
129,02M543,2,1,High School,0,0,0,0,0
130,02M544,2,3,High School,0,0,0,0,0
131,02M545,2,1,High School,0,0,0,0,0
132,02M546,2,2,High School,0,0,0,0,0
133,02M550,2,3,High School,0,0,0,0,0
134,02M551,2,1,High School,0,0,0,0,0
135,02M560,2,3,High School,0,0,0,0,0
136,02M565,2,5,High School,0,0,0,0,0
137,02M570,2,3,High School,0,0,0,0,0
138,02M575,2,2,High School,0,0,0,0,0
139,02M580,2,1,High School,0,0,0,0,0
140,02M586,2,2,High School,0,0,0,0,0
141,02M600,2,3,High School,1,0,0,0,1
142,02M605,2,3,High School,0,0,0,0,0
143,02M615,2,3,High School,0,0,0,0,0
144,02M625,2,3,High School,0,0,0,0,0
145,02M630,2,4,High School,1,0,0,0,1
