,prevelance,year,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10
0,Prevalence,2016,10.9,10.5,16.8,22.7,13.1,17.0,23.6,68.5,78.0,65.4
1,Lower 95% C,2016,10.0,9.7,15.7,21.5,12.2,15.9,22.5,66.5,76.8,62.4
2,Upper 95% CI,2016,11.8,11.5,17.9,23.9,14.1,18.1,24.9,70.4,79.1,68.3
3,Prevalence,2015,12.6,9.9,16.3,23.7,14.3,17.2,24.1,69.9,77.4,65.5
4,Lower 95% C,2015,11.7,9.1,15.2,22.5,13.3,16.1,23.0,68.1,76.3,62.7
5,Upper 95% CI,2015,13.6,10.8,17.4,24.9,15.3,18.3,25.3,71.6,78.4,68.1
6,Prevalence,2014,13.8,9.6,15.6,22.5,13.9,16.5,24.7,69.9,77.8,64.2
7,Lower 95% C,2014,12.8,8.7,14.5,21.2,12.8,15.4,23.4,67.8,76.6,60.7
8,Upper 95% CI,2014,14.8,10.5,16.7,23.8,14.9,17.7,26.0,72.0,78.9,67.6
9,Prevalence,2013,20.9,11.2,19.1,23.3,16.1,18.2,23.4,69.0,76.9,66.8
10,Lower 95% C,2013,19.7,10.3,18.0,22.1,15.0,17.0,22.2,67.0,75.7,63.7
11,Upper 95% CI,2013,22.2,12.2,20.3,24.6,17.2,19.4,24.7,71.0,78.0,69.8
12,Prevalence,2012,19.8,11.1,18.3,28.2,15.5,19.6,24.2,68.5,78.7,61.8
13,Lower 95% C,2012,18.5,10.1,17.0,26.7,14.4,18.2,22.8,66.3,77.5,58.5
14,Upper 95% CI,2012,21.3,12.2,19.7,29.6,16.8,20.9,25.5,70.5,79.9,64.9
15,Prevalence,2011,18.6,10.7,16.9,29.9,14.8,17.9,23.7,68.6,78.2,67.4
16,Lower 95% C,2011,17.0,9.6,15.5,28.2,13.5,16.4,22.2,66.2,76.7,63.9
17,Upper 95% CI,2011,20.3,12.0,18.5,31.7,16.3,19.6,25.3,70.8,79.6,70.7
18,Prevalence,2010,16.7,10.3,,30.3,14.0,,23.4,67.5,79.1,62.3
19,Lower 95% C,2010,15.4,9.4,,28.8,12.9,,22.1,65.4,77.8,59.4
20,Upper 95% CI,2010,18.0,11.4,,31.8,15.3,,24.8,69.4,80.3,65.1
