,service_area,service_description
0,Work Readiness,"Work Readiness consists of services to provide clients with the skills and interpersonal competencies that are essential to successful job search, securing employment, and workplace performance. Examples include Career Advisement, Individual Job Search Preparation, Interview Preparation, Resume Preparation, Skills Assessment and Workplace Literacy."
1,Transportation,"Transportation consists of vehicular services to carry individuals from one place to another. Transportation services may include facilitation of reservations, dispatch, vehicular routing, private transportation, and passenger pick-up for individuals or groups in a secure or non-secure setting. Transportation services are targeted towards persons who require such service because their destination is beyond their walking (or driving) ability and they have no alternative means of transportation, or because public transportation is beyond the individual's abilities. Transportation may also be provided to staff traveling to clients in need of community-based services. Examples include Group Transportation, Individual Transportation, and Secure Transportation."
2,Translation,"Translation consists of the written rendering from one language to another to facilitate communication and reduce language barriers in the delivery of services. Translation services may also include synchronous translation, which is the immediate transmission into another language through IT enablement. Translation services providers may translate into one or more languages forms, publications and other materials used to support program activities. Examples include Translation of Legal Documents and Translation of Program Materials."
3,Telecommunications,"Telecommunications consists of services to facilitate communication via the telephone. Telecommunications services may include the operation of a counseling call center or an emergency hotline. Telecommunications providers may also offer services to provide phone-based services to individuals who are deaf or hearing impaired. Examples include Hotline, Call Center, Telecommunications Device for the Deaf (TDD), and Tele Typewriter (TTY)."
4,Substance Abuse Services,"Substance Abuse Services consist of health services to support the diagnosis, treatment, and prevention of drug and alcohol abuse and compulsive gambling. Substance Abuse Services may also include services to reduce harms from drug and alcohol use and to improve the health of people who use drugs. Examples include Medically Supervised/Monitored Withdrawal, Medically Managed Detoxification, Inpatient Rehabilitation, Community Residential Treatment, Post Treatment Housing, Recovery Community Centers, Recovery Community Organizing Initiative, Residential Rehabilitation, Intensive Residential Services, Opioid Treatment, Methadone Maintenance, Methadone to Abstinence, Managed Addiction Treatment Services, Medically Supervised Outpatient Services, Outpatient Rehabilitation, Compulsive Gambling Treatment, Overdose Prevention, and Naloxone Treatment."
5,Shelter,"Shelter consists of temporary housing provided to clients in need of emergency transitional shelter having been displaced from their homes. Shelter services are provided to homeless persons in general and also to specific populations depending on special service needs. Examples include Runaway Youth Shelters, Domestic Violence Shelters, Emergency Housing and Respite, Safe Haven, and Stabilization Beds."
6,Secure Detention,Secure Detention consists of services to provide the detainment of individuals who have been sentenced to serve time in facilities that have been designed and staffed to restrict the physical movements and activities of detainees. Examples include Secure Juvenile Detention Facilities and Supportive Programming.
7,Restitution Collections,"Restitution Collections consist of services to secure financial compensation for victims. Restitution Collections providers may be responsible for contacting victims to determine loss amounts, investigating the offender's assets, helping the victim present a restitution request to the appropriate authorities, reporting findings to the court, monitoring payments of restitution and/or employing a variety of legally sanctioned methods (such as tax liens and judgment orders) to recover losses for victims in situations where the offender fails to make payments as agreed. Examples include Restitution Oversight and Restitution Database Management."
8,Respite Care,"Respite Care consists of short-term, temporary care provided by a trained respite worker or nurse for the purpose of supporting parents and other caregivers who may otherwise be overwhelmed by the intensity and constancy of caregiving responsibilities. Respite Care services are often provided for parents of children with special needs and are not intended to substitute for day care while a parent/caregiver is working or attending school, or to replace ongoing nursing or homemaking services. Examples include Group Respite Care, such as a weekend or summer camp program and Individual Respite Care, such as home-based temporary care."
9,Rehabilitation/Therapy,"Rehabilitation/Therapy consists of therapeutic services to provide various treatments aimed to increase functional independence, prevent further loss of function, and maintain or improve quality of life and to enhance independence in as many aspects of life as possible. There are different types of rehabilitation, including occupational, physical, and speech as well as rehabilitation of particular behaviors or disorders. Examples include Occupational Therapy, Physical Therapy, Speech Therapy, and Behavioral Rehabilitation."
10,Recreational Services,"Recreational Services are services to promote physical health, mental stimulation and socialization skills. Recreational Services are often provided as part of an after-school or senior center program. Examples include Arts and Culture Activities and Physical Recreation, including Athletic Leagues and both Structured and Unstructured programming."
11,Primary Care,"Primary Care consists of services provided at a patient's first point of entry into the health care system, access to a physician and as the continuing focal point for all needed health care services. Examples include Clinic Services, Medical Assessment and Physicals."
12,Preventive Services,"Preventive Services consist of support and intervention provided to promote behaviors, activities, treatment and services in order to prevent harmful outcomes. Preventive Services provide support necessary to avoid the displacement of a child or family, involvement in the criminal and juvenile justice systems, domestic abuse, child abuse and neglect, substance abuse,health issues and disease, untreated mental illness. Preventive Services may include crisis intervention, family mediation, community-based wrap-around and other services aimed at preventing negative outcomes. Examples include Substance Abuse Prevention, Child Abuse Prevention, Disease Prevention, PINS Diversion, Harm Reduction Counseling, Criminal Justice Prevention and Services for those at risk."
13,Pregnancy Services,Pregnancy Services consist of services for pregnant women and women with newborns to promote healthy pregnancies and families. Examples include Neo-Natal and Pre-Natal Care.
