,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_6_8,of_students_in_grades_6_8_1,_,of_8th_graders,of_8th_graders_who_have,__1
0,2015-16,01M034,1.0,2.0,P.S. 034 Franklin D. Roosevelt,177,177,100.00%,50,50,100.00%
1,2015-16,01M140,1.0,1.0,P.S. 140 Nathan Straus,189,s,s,68,s,s
2,2015-16,01M184,1.0,1.0,P.S. 184m Shuang Wen,221,54,24.40%,52,s,s
3,2015-16,01M188,1.0,2.0,P.S. 188 The Island School,177,s,s,61,s,s
4,2015-16,01M292,1.0,1.0,Orchard Collegiate Academy,25,11,44.00%,s,s,s
5,2015-16,01M301,1.0,2.0,"Technology, Arts, and Sciences Studio",158,48,30.40%,54,48,88.90%
6,2015-16,01M332,1.0,1.0,University Neighborhood Middle School,115,s,s,36,s,s
7,2015-16,01M345,1.0,1.0,"Collaborative Academy of Science, Technology, & Language-Arts Education",105,25,23.80%,32,s,s
8,2015-16,01M378,1.0,1.0,School for Global Leaders,261,171,65.50%,80,79,98.80%
9,2015-16,01M450,1.0,2.0,East Side Community School,291,55,18.90%,92,19,20.60%
10,2015-16,01M539,1.0,2.0,"New Explorations into Science, Technology and Math High School",403,137,34.00%,137,137,100.00%
11,2015-16,01M839,1.0,2.0,Tompkins Square Middle School,367,s,s,120,s,s
12,2015-16,02M104,2.0,2.0,J.H.S. 104 Simon Baruch,"1,118",863,77.20%,351,348,99.20%
13,2015-16,02M111,2.0,3.0,P.S. 111 Adolph S. Ochs,52,48,92.30%,52,48,92.30%
14,2015-16,02M114,2.0,5.0,East Side Middle School,442,s,s,152,s,s
15,2015-16,02M126,2.0,1.0,P.S. 126 Jacob August Riis,337,248,73.60%,107,105,98.10%
16,2015-16,02M131,2.0,1.0,M.S. 131,421,209,49.60%,141,14,9.90%
17,2015-16,02M167,2.0,4.0,J.H.S. 167 Robert F. Wagner,"1,350",s,s,483,s,s
18,2015-16,02M177,2.0,5.0,Yorkville East Middle School,136,s,s,s,s,s
19,2015-16,02M217,2.0,5.0,P.S./I.S. 217 Roosevelt Island,63,s,s,s,s,s
20,2015-16,02M225,2.0,5.0,Ella Baker School,74,s,s,27,s,s
21,2015-16,02M255,2.0,2.0,M.S. 255 Salk School of Science,377,s,s,126,s,s
22,2015-16,02M260,2.0,2.0,M.S. 260 Clinton School Writers & Artists,280,279,99.60%,96,95,99.00%
23,2015-16,02M276,2.0,1.0,Battery Park City School,250,250,100.00%,66,66,100.00%
24,2015-16,02M289,2.0,1.0,I.S. 289,287,s,s,90,s,s
25,2015-16,02M312,2.0,3.0,New York City Lab Middle School for Collaborative Studies,550,183,33.30%,183,183,100.00%
26,2015-16,02M347,2.0,2.0,The 47 American Sign Language & English Lower School,29,s,s,11,s,s
27,2015-16,02M397,2.0,1.0,Spruce Street School,61,s,s,s,s,s
28,2015-16,02M407,2.0,2.0,Institute for Collaborative Education,205,s,s,73,s,s
29,2015-16,02M408,2.0,3.0,Professional Performing Arts High School,92,s,s,32,s,s
30,2015-16,02M413,2.0,2.0,School of the Future High School,299,289,96.70%,99,95,96.00%
31,2015-16,02M422,2.0,3.0,Quest to Learn,312,312,100.00%,119,119,100.00%
32,2015-16,02M442,2.0,2.0,"Ballet Tech, NYC Public School for Dance",68,23,33.80%,23,23,100.00%
33,2015-16,02M655,2.0,5.0,Life Sciences Secondary School,85,s,s,43,s,s
34,2015-16,02M896,2.0,1.0,Lower Manhattan Community Middle School,392,s,s,127,s,s
35,2015-16,02M933,2.0,3.0,City Knoll Middle School,161,85,52.80%,s,s,s
36,2015-16,03M054,3.0,7.0,J.H.S. 054 Booker T. Washington,840,s,s,280,s,s
37,2015-16,03M076,3.0,9.0,P.S. 076 A. Philip Randolph,166,105,63.20%,59,55,93.20%
38,2015-16,03M149,3.0,9.0,P.S. 149 Sojourner Truth,81,48,59.30%,30,27,90.00%
39,2015-16,03M165,3.0,7.0,P.S. 165 Robert E. Simon,199,195,98.00%,84,84,100.00%
40,2015-16,03M180,3.0,9.0,P.S. 180 Hugo Newman,173,s,s,56,s,s
41,2015-16,03M191,3.0,6.0,P.S. 191 Amsterdam,137,s,s,55,s,s
42,2015-16,03M243,3.0,6.0,M.S. 243 Center School,169,s,s,52,s,s
43,2015-16,03M245,3.0,6.0,M.S. M245 The Computer School,399,130,32.60%,131,130,99.20%
44,2015-16,03M247,3.0,6.0,M.S. M247 Dual Language Middle School,200,s,s,66,s,s
45,2015-16,03M250,3.0,6.0,M.S. 250 West Side Collaborative Middle School,178,s,s,61,s,s
46,2015-16,03M256,3.0,6.0,M.S. 256 Academic & Athletic Excellence,145,31,21.40%,47,s,s
47,2015-16,03M258,3.0,6.0,Community Action School - MS 258,236,228,96.60%,92,88,95.60%
48,2015-16,03M291,3.0,6.0,West End Secondary School,138,s,s,s,s,s
49,2015-16,03M333,3.0,6.0,P.S. 333 Manhattan School for Children,169,s,s,57,s,s
50,2015-16,03M334,3.0,6.0,The Anderson School,225,135,60.00%,62,61,98.40%
51,2015-16,03M415,3.0,9.0,Wadleigh Secondary School for the Performing & Visual Arts,s,s,s,s,s,s
52,2015-16,03M421,3.0,7.0,West Prep Academy,192,133,69.30%,59,s,s
53,2015-16,03M859,3.0,6.0,Special Music School,46,s,s,s,s,s
54,2015-16,03M860,3.0,9.0,Frederick Douglass Academy II Secondary School,68,27,39.70%,34,23,67.70%
55,2015-16,03M862,3.0,7.0,Mott Hall II,345,s,s,114,s,s
56,2015-16,04M007,4.0,8.0,P.S. 007 Samuel Stern,137,s,s,39,s,s
57,2015-16,04M012,4.0,8.0,Tag Young Scholars,169,163,96.50%,52,48,92.30%
58,2015-16,04M050,4.0,8.0,P.S. 050 Vito Marcantonio,88,88,100.00%,s,s,s
59,2015-16,04M057,4.0,8.0,James Weldon Johnson,290,287,99.00%,99,98,99.00%
60,2015-16,04M072,4.0,8.0,The Lexington Academy,171,s,s,s,s,s
61,2015-16,04M096,4.0,8.0,P.S. 096 Joseph Lanzetta,171,s,s,58,s,s
62,2015-16,04M108,4.0,8.0,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,283,167,59.00%,96,84,87.50%
63,2015-16,04M171,4.0,8.0,P.S. 171 Patrick Henry,291,s,s,100,s,s
64,2015-16,04M206,4.0,8.0,P.S. 206 Jose Celso Barbosa,195,135,69.20%,68,68,100.00%
65,2015-16,04M224,4.0,8.0,M.S. 224 Manhattan East School for Arts & Academics,164,s,s,69,s,s
66,2015-16,04M372,4.0,8.0,Esperanza Preparatory Academy,259,14,5.40%,101,s,s
67,2015-16,04M377,4.0,8.0,Renaissance School of the Arts,161,55,34.20%,57,31,54.40%
68,2015-16,04M381,4.0,8.0,Global Neighborhood Secondary School,107,87,81.30%,52,52,100.00%
69,2015-16,04M406,4.0,8.0,Global Technology Preparatory,157,61,38.90%,60,59,98.30%
70,2015-16,04M610,4.0,8.0,Young Women's Leadership School,158,s,s,54,s,s
71,2015-16,04M825,4.0,8.0,Isaac Newton Middle School for Math & Science,226,s,s,91,s,s
72,2015-16,04M964,4.0,8.0,Central Park East II,s,s,s,s,s,s
73,2015-16,05M046,5.0,9.0,P.S. 046 Arthur Tappan,204,195,95.60%,71,71,100.00%
74,2015-16,05M123,5.0,9.0,P.S. 123 Mahalia Jackson,174,s,s,62,s,s
75,2015-16,05M129,5.0,9.0,P.S. 129 John H. Finley,151,75,49.70%,63,13,20.60%
76,2015-16,05M148,5.0,9.0,Eagle Academy for Young Men of Harlem,193,115,59.60%,74,65,87.80%
77,2015-16,05M161,5.0,9.0,P.S. 161 Pedro Albizu Campos,359,354,98.60%,122,121,99.20%
78,2015-16,05M286,5.0,7.0,Urban Assembly Academy for Future Leaders,150,s,s,s,s,s
79,2015-16,05M302,5.0,9.0,KAPPA IV,155,155,100.00%,61,61,100.00%
80,2015-16,05M362,5.0,7.0,Columbia Secondary School,289,s,s,98,s,s
81,2015-16,05M410,5.0,7.0,The Urban Assembly Institute for New Technologies,113,s,s,48,s,s
82,2015-16,05M499,5.0,9.0,Frederick Douglass Academy,274,106,38.70%,103,101,98.10%
83,2015-16,05M514,5.0,7.0,New Design Middle School,219,s,s,99,s,s
84,2015-16,05M670,5.0,9.0,Thurgood Marshall Academy for Learning and Social Change,171,s,s,58,s,s
85,2015-16,06M018,6.0,10.0,P.S. 018 Park Terrace,141,42,29.80%,s,s,s
86,2015-16,06M052,6.0,10.0,J.H.S. 052 Inwood,431,408,94.70%,174,151,86.80%
87,2015-16,06M143,6.0,10.0,J.H.S. 143 Eleanor Roosevelt,356,149,41.90%,140,140,100.00%
88,2015-16,06M187,6.0,10.0,P.S./I.S. 187 Hudson Cliffs,283,171,60.40%,83,78,94.00%
89,2015-16,06M209,6.0,7.0,Hamilton Grange Middle School,163,s,s,s,s,s
90,2015-16,06M210,6.0,7.0,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,151,s,s,47,s,s
91,2015-16,06M218,6.0,10.0,I.S. 218 Salome Urena,235,228,97.00%,99,99,100.00%
92,2015-16,06M223,6.0,9.0,The Mott Hall School,270,s,s,90,s,s
93,2015-16,06M278,6.0,10.0,Paula Hedbavny School,196,128,65.30%,60,60,100.00%
94,2015-16,06M293,6.0,10.0,City College Academy of the Arts,261,s,s,87,s,s
95,2015-16,06M311,6.0,10.0,Amistad Dual Language School,133,133,100.00%,47,47,100.00%
96,2015-16,06M319,6.0,10.0,M.S. 319 - Maria Teresa,528,11,2.10%,186,s,s
97,2015-16,06M322,6.0,10.0,Middle School 322,323,200,61.90%,115,115,100.00%
98,2015-16,06M324,6.0,10.0,M.S. 324 - Patria Mirabal,464,68,14.70%,167,35,21.00%
99,2015-16,06M326,6.0,10.0,M.S. 326 - Writers Today & Leaders Tomorrow,193,30,15.50%,98,s,s
100,2015-16,06M328,6.0,10.0,M.S. 328 - Manhattan Middle School for Scientific Inquiry,162,148,91.40%,71,62,87.30%
101,2015-16,06M346,6.0,7.0,Community Health Academy of the Heights,277,s,s,99,s,s
102,2015-16,06M348,6.0,10.0,Washington Heights Expeditionary Learning School,255,255,100.00%,89,89,100.00%
103,2015-16,06M349,6.0,10.0,Harbor Heights,155,s,s,66,s,s
104,2015-16,06M366,6.0,10.0,Washington Heights Academy,112,s,s,s,s,s
105,2015-16,06M528,6.0,10.0,I.S. 528 Bea Fuller Rodgers School,199,s,s,68,s,s
106,2015-16,07X005,7.0,8.0,P.S. 5 Port Morris,260,s,s,93,s,s
107,2015-16,07X029,7.0,17.0,P.S./M.S. 029 Melrose School,275,263,95.60%,96,95,99.00%
108,2015-16,07X031,7.0,17.0,P.S./M.S. 031 The William Lloyd Garrison,261,s,s,95,s,s
109,2015-16,07X151,7.0,17.0,J.H.S. 151 Lou Gehrig,258,95,36.80%,100,89,89.00%
110,2015-16,07X162,7.0,17.0,J.H.S. 162 Lola Rodriguez De Tio,369,16,4.30%,128,14,10.90%
111,2015-16,07X221,7.0,8.0,South Bronx Preparatory: A College Board School,293,s,s,103,s,s
112,2015-16,07X223,7.0,8.0,M.S. 223 The Laboratory School of Finance and Technology,289,226,78.20%,99,95,96.00%
113,2015-16,07X224,7.0,8.0,P.S./I.S. 224,379,13,3.40%,129,s,s
114,2015-16,07X296,7.0,17.0,South Bronx Academy for Applied Media,336,289,86.00%,125,93,74.40%
115,2015-16,07X298,7.0,17.0,Academy of Public Relations,305,305,100.00%,127,127,100.00%
116,2015-16,07X343,7.0,8.0,Academy of Applied Mathematics and Technology,298,s,s,98,s,s
117,2015-16,07X500,7.0,17.0,Hostos-Lincoln Academy of Science,185,87,47.00%,67,63,94.00%
118,2015-16,07X551,7.0,8.0,The Urban Assembly Bronx Academy of Letters,260,171,65.80%,93,93,100.00%
119,2015-16,08X071,8.0,13.0,P.S. 071 Rose E. Scala,562,374,66.50%,174,174,100.00%
120,2015-16,08X101,8.0,13.0,M.S. X101 Edward R. Byrne,486,s,s,160,s,s
121,2015-16,08X123,8.0,18.0,J.H.S. 123 James M. Kieran,352,215,61.10%,138,109,79.00%
122,2015-16,08X125,8.0,18.0,J.H.S. 125 Henry Hudson,379,378,99.70%,161,160,99.40%
123,2015-16,08X131,8.0,18.0,J.H.S. 131 Albert Einstein,530,144,27.20%,212,14,6.60%
124,2015-16,08X269,8.0,17.0,Bronx Studio School for Writers and Artists,260,32,12.30%,85,11,12.90%
125,2015-16,08X301,8.0,16.0,M.S. 301 Paul L. Dunbar,221,74,33.50%,79,70,88.60%
126,2015-16,08X302,8.0,17.0,M.S. 302 Luisa Dessus Cruz,485,15,3.10%,170,10,5.90%
127,2015-16,08X337,8.0,18.0,The School for Inquiry and Social Justice,471,302,64.10%,116,115,99.10%
128,2015-16,08X366,8.0,13.0,Urban Assembly Academy of Civic Engagement,90,79,87.80%,48,42,87.50%
129,2015-16,08X367,8.0,18.0,"Archimedes Academy for Math, Science and Technology Applications",280,165,58.90%,98,88,89.80%
130,2015-16,08X371,8.0,13.0,Urban Institute of Mathematics,292,s,s,90,s,s
131,2015-16,08X375,8.0,18.0,The Bronx Mathematics Preparatory School,257,201,78.20%,105,87,82.90%
132,2015-16,08X376,8.0,18.0,Antonia Pantoja Preparatory Academy: A College Board School,189,70,37.00%,73,68,93.20%
133,2015-16,08X424,8.0,17.0,The Hunts Point School,312,265,84.90%,103,83,80.60%
134,2015-16,08X448,8.0,18.0,Soundview Academy for Culture and Scholarship,366,366,100.00%,125,125,100.00%
135,2015-16,08X467,8.0,13.0,Mott Hall Community School,258,13,5.00%,81,s,s
136,2015-16,08X562,8.0,18.0,Blueprint Middle School,308,305,99.00%,108,107,99.10%
137,2015-16,09X004,9.0,15.0,P.S./M.S. 004 Crotona Park West,173,41,23.70%,64,s,s
138,2015-16,09X022,9.0,16.0,J.H.S. 022 Jordan L. Mott,424,s,s,150,s,s
139,2015-16,09X117,9.0,14.0,I.S. 117 Joseph H. Wade,580,125,21.50%,208,18,8.60%
