,school_dbn,community_school_district,city_council_district,school_name,of_teachers_assigned_to_teach_health
0,01M015,1,2,P.S. 015 Roberto Clemente,1
1,01M019,1,2,P.S. 019 Asher Levy,28
2,01M020,1,1,P.S. 020 Anna Silver,1
3,01M034,1,2,P.S. 034 Franklin D. Roosevelt,18
4,01M063,1,2,The STAR Academy - P.S.63,1
5,01M064,1,2,P.S. 064 Robert Simon,0
6,01M110,1,1,P.S. 110 Florence Nightingale,0
7,01M134,1,1,P.S. 134 Henrietta Szold,3
8,01M137,1,1,P.S. 137 John L. Bernstein,10
9,01M140,1,1,P.S. 140 Nathan Straus,11
10,01M142,1,1,P.S. 142 Amalia Castro,0
11,01M184,1,1,P.S. 184m Shuang Wen,2
12,01M188,1,2,P.S. 188 The Island School,0
13,01M292,1,1,Orchard Collegiate Academy,1
14,01M301,1,2,"Technology, Arts, and Sciences Studio",1
15,01M315,1,2,The East Village Community School,20
16,01M332,1,1,University Neighborhood Middle School,0
17,01M345,1,1,"Collaborative Academy of Science, Technology, & Language-Arts Education",1
18,01M361,1,2,The Children's Workshop School,12
19,01M363,1,2,Neighborhood School,0
20,01M364,1,2,Earth School,1
21,01M378,1,1,School for Global Leaders,1
22,01M448,1,1,University Neighborhood High School,2
23,01M450,1,2,East Side Community School,16
24,01M458,1,1,Forsyth Satellite Academy,1
25,01M509,1,1,Marta Valle High School,4
26,01M515,1,1,Lower East Side Preparatory High School,3
27,01M539,1,2,"New Explorations into Science, Technology and Math High School",3
28,01M650,1,1,Cascades High School,2
29,01M696,1,2,Bard High School Early College,2
30,01M839,1,2,Tompkins Square Middle School,0
31,02M001,2,1,P.S. 001 Alfred E. Smith,26
32,02M002,2,1,P.S. 002 Meyer London,38
33,02M003,2,3,P.S. 003 Charrette School,39
34,02M006,2,4,P.S. 006 Lillie D. Blake,30
35,02M011,2,3,P.S. 011 William T. Harris,43
36,02M033,2,3,P.S. 033 Chelsea Prep,27
37,02M040,2,2,P.S. 040 Augustus Saint-Gaudens,27
38,02M041,2,3,P.S. 041 Greenwich Village,35
39,02M042,2,1,P.S. 042 Benjamin Altman,39
40,02M047,2,2,47 The American Sign Language and English Secondary School,1
41,02M051,2,3,P.S. 051 Elias Howe,19
42,02M059,2,4,P.S. 059 Beekman Hill International,28
43,02M077,2,5,P.S. 77 Lower Lab School,13
44,02M089,2,1,P.S. 89,22
45,02M104,2,2,J.H.S. 104 Simon Baruch,2
46,02M111,2,3,P.S. 111 Adolph S. Ochs,0
47,02M114,2,5,East Side Middle School,1
48,02M116,2,2,P.S. 116 Mary Lindley Murray,31
49,02M124,2,1,P.S. 124 Yung Wing,35
50,02M126,2,1,P.S. 126 Jacob August Riis,3
51,02M130,2,1,P.S. 130 Hernando De Soto,37
52,02M131,2,1,M.S. 131,1
53,02M135,2,1,The Urban Assembly School for Emergency Management,2
54,02M139,2,3,Stephen T. Mather Building Arts & Craftsmanship High School,0
55,02M150,2,1,P.S. 150,6
56,02M151,2,5,Yorkville Community School,31
57,02M158,2,5,P.S. 158 Bayard Taylor,32
58,02M167,2,4,J.H.S. 167 Robert F. Wagner,1
59,02M177,2,5,Yorkville East Middle School,0
60,02M183,2,5,P.S. 183 Robert L. Stevenson,24
61,02M198,2,5,P.S. 198 Isador E. Ida Straus,26
62,02M212,2,3,P.S. 212 Midtown West,3
63,02M217,2,5,P.S./I.S. 217 Roosevelt Island,21
64,02M225,2,5,Ella Baker School,1
65,02M234,2,1,P.S. 234 Independence School,38
66,02M255,2,2,M.S. 255 Salk School of Science,0
67,02M260,2,2,M.S. 260 Clinton School Writers & Artists,2
68,02M267,2,4,"East Side Elementary School, PS 267",22
69,02M276,2,1,Battery Park City School,1
70,02M280,2,1,Manhattan Early College School for Advertising,1
71,02M281,2,4,The River School,10
72,02M282,2,1,Urban Assembly Maker Academy,2
73,02M288,2,3,Food and Finance High School,3
74,02M289,2,1,I.S. 289,0
75,02M290,2,5,P.S. 290 Manhattan New School,1
76,02M294,2,1,Essex Street Academy,8
77,02M296,2,3,High School of Hospitality Management,7
78,02M298,2,1,Pace High School,3
79,02M300,2,3,"Urban Assembly School of Design and Construction, The",1
80,02M303,2,3,"Facing History School, The",9
81,02M305,2,1,"Urban Assembly Academy of Government and Law, The",2
82,02M308,2,1,Lower Manhattan Arts Academy,3
83,02M312,2,3,New York City Lab Middle School for Collaborative Studies,1
84,02M313,2,3,"James Baldwin School, The: A School for Expeditionary Learning",3
85,02M316,2,1,"Urban Assembly School of Business for Young Women, the",5
86,02M340,2,3,Sixth Avenue Elementary School,5
87,02M343,2,1,The Peck Slip School,18
88,02M347,2,2,The 47 American Sign Language & English Lower School,12
89,02M374,2,2,Gramercy Arts High School,4
90,02M376,2,3,NYC iSchool,1
91,02M392,2,3,MANHATTAN BUSINESS ACADEMY,12
92,02M393,2,3,Business Of Sports School,1
93,02M394,2,1,Emma Lazarus High School,2
94,02M397,2,1,Spruce Street School,0
95,02M399,2,2,The High School For Language And Diplomacy,2
96,02M400,2,3,High School for Environmental Studies,4
97,02M407,2,2,Institute for Collaborative Education,6
98,02M408,2,3,Professional Performing Arts High School,6
99,02M411,2,2,Baruch College Campus High School,4
100,02M412,2,3,N.Y.C. Lab School for Collaborative Studies,2
101,02M413,2,2,School of the Future High School,2
102,02M414,2,3,N.Y.C. Museum School,2
103,02M416,2,5,Eleanor Roosevelt High School,1
104,02M418,2,1,Millennium High School,1
105,02M419,2,3,Landmark High School,9
106,02M420,2,2,High School for Health Professions and Human Services,5
107,02M422,2,3,Quest to Learn,4
108,02M425,2,1,Leadership and Public Service High School,13
109,02M427,2,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,2
110,02M432,2,2,Murray Hill Academy,2
111,02M437,2,3,Hudson High School of Learning Technologies,3
112,02M438,2,2,International High School at Union Square,2
113,02M439,2,3,Manhattan Village Academy,1
114,02M442,2,2,"Ballet Tech, NYC Public School for Dance",3
115,02M449,2,5,Vanguard High School,4
116,02M459,2,5,Manhattan International High School,2
117,02M475,2,1,Stuyvesant High School,6
118,02M489,2,1,High School of Economics and Finance,2
119,02M500,2,2,Unity Center for Urban Technologies,2
120,02M507,2,3,Urban Assembly Gateway School for Technology,2
121,02M519,2,5,Talent Unlimited High School,4
122,02M520,2,1,Murry Bergtraum High School for Business Careers,1
123,02M527,2,5,P.S. 527 - East Side School for Social Action,1
124,02M529,2,4,Jacqueline Kennedy Onassis High School,3
125,02M531,2,4,Repertory Company High School for Theatre Arts,1
126,02M533,2,2,Union Square Academy for Health Sciences,1
127,02M534,2,3,Harvest Collegiate High School,15
128,02M542,2,3,Manhattan Bridges High School,4
129,02M543,2,1,New Design High School,4
130,02M544,2,3,Independence High School,3
131,02M545,2,1,High School for Dual Language and Asian Studies,2
132,02M546,2,2,Academy for Software Engineering,1
133,02M550,2,3,Liberty High School Academy for Newcomers,1
134,02M551,2,1,Urban Assembly New York Harbor School,2
135,02M560,2,3,High School M560 - City As School,34
136,02M565,2,5,Urban Academy Laboratory High School,1
137,02M570,2,3,Satellite Academy High School,14
138,02M575,2,2,Manhattan Comprehensive Night and Day High School,7
139,02M580,2,1,Richard R. Green High School of Teaching,4
140,02M586,2,2,Harvey Milk High School,1
141,02M600,2,3,The High School of Fashion Industries,7
142,02M605,2,3,Humanities Preparatory Academy,10
143,02M615,2,3,Chelsea Career and Technical Education High School,2
144,02M625,2,3,High School of Graphic Communication Arts,5
145,02M630,2,4,Art and Design High School,2
146,02M655,2,5,Life Sciences Secondary School,3
147,02M896,2,1,Lower Manhattan Community Middle School,0
148,02M933,2,3,City Knoll Middle School,1
149,03M009,3,6,P.S. 009 Sarah Anderson,34
150,03M054,3,7,J.H.S. 054 Booker T. Washington,8
151,03M075,3,6,P.S. 075 Emily Dickinson,43
152,03M076,3,9,P.S. 076 A. Philip Randolph,16
153,03M084,3,6,P.S. 084 Lillian Weber,29
154,03M087,3,6,P.S. 087 William Sherman,48
155,03M145,3,7,"P.S. 145, The Bloomingdale School",1
156,03M149,3,9,P.S. 149 Sojourner Truth,7
157,03M163,3,7,P.S. 163 Alfred E. Smith,32
158,03M165,3,7,P.S. 165 Robert E. Simon,37
159,03M166,3,6,P.S. 166 The Richard Rodgers School of The Arts and Technology,0
160,03M180,3,9,P.S. 180 Hugo Newman,1
161,03M185,3,9,P.S. 185 - The Early Childhood Discovery and Design Magnet School,11
162,03M191,3,6,P.S. 191 Amsterdam,21
