,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_16_17_june_and_august,of_16_17_june_and_august_1,__1
0,02M394,2,1,Emma Lazarus High School,306,218,71.2%,33,33,100.0%
1,02M551,2,1,Urban Assembly New York Harbor School,433,419,96.8%,70,70,100.0%
2,02M294,2,1,Essex Street Academy,328,239,72.9%,69,69,100.0%
3,01M458,1,1,Forsyth Satellite Academy,161,144,89.4%,s,s,s
4,02M280,2,1,Manhattan Early College School for Advertising,267,103,38.6%,s,s,s
5,02M425,2,1,Leadership and Public Service High School,557,511,91.7%,111,111,100.0%
6,02M545,2,1,High School for Dual Language and Asian Studies,398,187,47.0%,97,97,100.0%
7,02M316,2,1,"Urban Assembly School of Business for Young Women, the",261,128,49.0%,44,44,100.0%
8,02M135,2,1,The Urban Assembly School for Emergency Management,299,259,86.6%,68,68,100.0%
9,02M520,2,1,Murry Bergtraum High School for Business Careers,360,277,76.9%,100,100,100.0%
10,02M543,2,1,New Design High School,398,268,67.3%,71,71,100.0%
11,02M308,2,1,Lower Manhattan Arts Academy,332,s,s,70,70,100.0%
12,02M282,2,1,Urban Assembly Maker Academy,282,277,98.2%,s,s,s
13,02M305,2,1,"Urban Assembly Academy of Government and Law, The",296,276,93.2%,57,57,100.0%
14,02M580,2,1,Richard R. Green High School of Teaching,509,428,84.1%,80,80,100.0%
15,02M489,2,1,High School of Economics and Finance,732,721,98.5%,153,153,100.0%
16,01M515,1,1,Lower East Side Preparatory High School,529,325,61.4%,94,94,100.0%
17,75M094,75,1,P.S. M094,43,s,s,s,s,s
18,02M298,2,1,Pace High School,498,409,82.1%,84,84,100.0%
19,02M418,2,1,Millennium High School,654,646,98.8%,142,142,100.0%
20,01M650,1,1,Cascades High School,212,193,91.0%,52,52,100.0%
21,01M509,1,1,Marta Valle High School,181,139,76.8%,51,51,100.0%
22,01M448,1,1,University Neighborhood High School,385,245,63.6%,60,60,100.0%
23,01M292,1,1,Orchard Collegiate Academy,134,85,63.4%,s,s,s
24,02M475,2,1,Stuyvesant High School,3350,"1,645",49.1%,824,824,100.0%
25,06M293,6,10,City College Academy of the Arts,336,78,23.2%,77,77,100.0%
26,06M348,6,10,Washington Heights Expeditionary Learning School,389,281,72.2%,80,79,98.8%
27,06M468,6,10,High School for Health Careers and Sciences,436,404,92.7%,72,72,100.0%
28,06M211,6,10,Inwood Early College for Health and Information Technologies,276,91,33.0%,s,s,s
29,06M467,6,10,High School for Law and Public Service,562,176,31.3%,101,101,100.0%
30,06M463,6,10,High School for Media and Communications,382,192,50.3%,s,s,s
31,06M423,6,10,High School for Excellence and Innovation,196,161,82.1%,s,s,s
32,06M462,6,10,The College Academy,419,310,74.0%,65,65,100.0%
33,06M552,6,10,Gregorio Luperon High School for Science and Mathematics,491,134,27.3%,103,103,100.0%
34,10X368,10,11,In-Tech Academy (M.S. / High School 368),479,118,24.6%,101,101,100.0%
35,10X433,10,11,High School for Teaching and the Professions,433,304,70.2%,96,96,100.0%
36,10X445,10,11,Bronx High School of Science,2974,"2,413",81.1%,727,727,100.0%
37,10X141,10,11,Riverdale / Kingsbridge Academy (Middle School / High School 141),688,484,70.3%,149,149,100.0%
38,10X442,10,11,"Celia Cruz Bronx High School of Music, The",416,183,44.0%,82,82,100.0%
39,10X351,10,11,Bronx Collaborative High School,456,90,19.7%,54,s,s
40,10X353,10,11,World View High School,436,226,51.8%,60,60,100.0%
41,10X284,10,11,Bronx School of Law and Finance,382,241,63.1%,81,81,100.0%
42,10X696,10,11,High School of American Studies at Lehman College,375,367,97.9%,74,74,100.0%
43,10X213,10,11,Bronx Engineering and Technology Academy,393,80,20.4%,66,66,100.0%
44,10X342,10,11,International School for Liberal Arts,367,166,45.2%,75,75,100.0%
45,10X440,10,11,DeWitt Clinton High School,1262,589,46.7%,220,220,100.0%
46,10X546,10,11,Bronx Theatre High School,368,331,89.9%,52,52,100.0%
47,10X477,10,11,Marble Hill High School for International Studies,434,287,66.1%,95,95,100.0%
48,10X549,10,11,Discovery High School,442,149,33.7%,89,88,98.9%
49,10X268,10,11,Kingsbridge International High School,431,192,44.5%,70,70,100.0%
50,10X397,10,11,English Language Learners and International Support Preparatory Academy (ELLIS),363,280,77.1%,46,s,s
51,11X455,11,12,Harry S Truman High School,1944,679,34.9%,404,404,100.0%
52,11X545,11,12,Bronx Aerospace High School,348,241,69.3%,64,64,100.0%
53,11X544,11,12,High School for Contemporary Arts,454,332,73.1%,94,94,100.0%
54,11X514,11,12,The Bronxwood Preparatory Academy,398,329,82.7%,71,71,100.0%
55,75X723,75,12,P.S. 723,63,s,s,s,s,s
56,11X270,11,12,Academy for Scholarship and Entrepreneurship: A College Board School,360,306,85.0%,62,62,100.0%
57,11X265,11,12,Bronx Lab School,381,359,94.2%,s,s,s
58,75X176,75,12,P.S. X176,275,s,s,s,s,s
59,11X513,11,12,New World High School,377,252,66.8%,73,73,100.0%
60,11X275,11,12,High School of Computers and Technology,525,509,97.0%,73,73,100.0%
61,11X249,11,12,Bronx Health Sciences High School,312,130,41.7%,s,s,s
62,11X253,11,12,Bronx High School for Writing and Communication Arts,338,212,62.7%,74,74,100.0%
63,11X290,11,12,Bronx Academy of Health Careers,405,375,92.6%,85,85,100.0%
64,11X508,11,13,Bronxdale High School,419,410,97.9%,72,72,100.0%
65,11X299,11,13,Astor Collegiate Academy,465,423,91.0%,107,107,100.0%
66,75X721,75,13,P.S. X721 - Stephen McSweeney School,535,35,6.5%,s,s,s
67,11X509,11,13,High School of Language and Innovation,327,156,47.7%,64,64,100.0%
68,11X288,11,13,Collegiate Institute for Math and Science,600,268,44.7%,146,146,100.0%
69,08X348,8,13,Schuylerville Preparatory High School,376,204,54.3%,s,s,s
70,08X405,8,13,Herbert H. Lehman High School,757,260,34.3%,171,171,100.0%
71,11X542,11,13,Pelham Preparatory Academy,481,383,79.6%,104,104,100.0%
72,08X293,8,13,Renaissance High School for Musical Theater & Technology,431,261,60.6%,65,65,100.0%
73,08X558,8,13,Westchester Square Academy,586,389,66.4%,112,112,100.0%
74,11X418,11,13,Bronx High School for the Visual Arts,450,133,29.6%,83,83,100.0%
75,08X320,8,13,Pelham Lab High School,447,320,71.6%,79,79,100.0%
76,08X349,8,13,Bronx River High School,396,384,97.0%,69,69,100.0%
77,09X568,9,14,Young Women's Leadership School of the Bronx,139,139,100.0%,s,s,s
78,09X365,9,14,Academy for Language and Technology,307,150,48.9%,s,s,s
79,10X237,10,14,"The Marie Curie School for Medicine, Nursing, and Health Professions",525,356,67.8%,79,79,100.0%
80,09X327,9,14,Comprehensive Model School Project M.S. 327,419,231,55.1%,98,98,100.0%
81,10X438,10,15,Fordham Leadership Academy for Business and Technology,309,173,56.0%,52,52,100.0%
82,09X276,9,15,Leadership Institute,139,s,s,s,s,s
83,12X684,12,15,Wings Academy,445,419,94.2%,64,64,100.0%
84,10X437,10,15,Fordham High School for the Arts,359,359,100.0%,94,94,100.0%
85,09X525,9,15,Bronx Leadership Academy High School,581,254,43.7%,87,87,100.0%
86,10X565,10,15,High School for Energy and Technology,400,180,45.0%,58,58,100.0%
87,10X319,10,15,Providing Urban Learners Success In Education High School,207,187,90.3%,s,s,s
88,10X434,10,15,Belmont Preparatory High School,402,236,58.7%,95,95,100.0%
89,75X188,75,15,P.S. X188,89,s,s,s,s,s
90,10X524,10,15,Crotona International High School,316,162,51.3%,72,72,100.0%
91,10X225,10,15,Theatre Arts Production Company School,392,333,84.9%,58,58,100.0%
92,10X243,10,15,West Bronx Academy for the Future,312,288,92.3%,54,54,100.0%
93,09X231,9,15,Eagle Academy for Young Men,311,277,89.1%,58,58,100.0%
94,10X264,10,15,Bronx Academy for Software Engineering (BASE),422,415,98.3%,76,76,100.0%
95,10X439,10,15,Bronx High School for Law and Community Service,331,290,87.6%,s,s,s
96,10X374,10,15,Knowledge and Power Preparatory Academy International High School (Kappa),450,181,40.2%,91,91,100.0%
97,09X324,9,16,Bronx Early College Academy for Teaching & Learning,257,251,97.7%,48,48,100.0%
98,09X517,9,16,Frederick Douglass Academy III Secondary School,411,253,61.6%,80,80,100.0%
99,09X350,9,16,New Directions Secondary School,99,s,s,s,s,s
100,09X329,9,16,DreamYard Preparatory School,272,123,45.2%,52,52,100.0%
101,09X252,9,16,Mott Hall Bronx High School,371,169,45.6%,84,84,100.0%
102,09X505,9,16,"Bronx School for Law, Government and Justice",486,337,69.3%,102,102,100.0%
103,09X403,9,16,Bronx International High School,405,345,85.2%,68,67,98.5%
104,09X412,9,16,Bronx High School of Business,263,89,33.8%,s,s,s
105,09X227,9,16,Bronx Collegiate Academy,385,335,87.0%,69,69,100.0%
106,09X241,9,16,"Urban Assembly School for Applied Math and Science, The",362,356,98.3%,83,83,100.0%
107,12X267,12,16,Bronx Latin,321,149,46.4%,68,68,100.0%
108,09X250,9,16,Eximius College Preparatory Academy: A College Board School,430,414,96.3%,95,95,100.0%
109,09X260,9,16,Bronx Center for Science and Mathematics,444,304,68.5%,105,105,100.0%
110,09X263,9,16,Validus Preparatory Academy,375,285,76.0%,70,70,100.0%
111,09X404,9,16,School for Excellence,367,284,77.4%,57,57,100.0%
112,75X186,75,16,P186X Walter J. Damrosch School,12,s,s,s,s,s
113,09X297,9,16,Morris Academy for Collaborative Studies,363,265,73.0%,73,73,100.0%
114,09X413,9,16,Bronx High School for Medical Science,264,137,51.9%,52,52,100.0%
115,09X543,9,16,High School for Violin and Dance,272,88,32.4%,55,55,100.0%
116,09X564,9,16,Claremont International HS,371,252,67.9%,58,58,100.0%
117,12X479,12,16,Bronx Career and College Preparatory High School,274,229,83.6%,45,45,100.0%
118,12X372,12,17,Urban Assembly School for Wildlife Conservation,347,171,49.3%,72,72,100.0%
119,07X473,7,17,Mott Haven Village Preparatory High School,382,220,57.6%,58,58,100.0%
120,07X548,7,17,Careers in Sports High School,525,486,92.6%,101,101,100.0%
