,centername,legalname,building,street,borough,zipcode,phone,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,violationratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,criticalviolationrate,inspectiondate,regulationsummary,violationcategory,healthcodesubsection,violationstatus,inspectionsummaryresult,permitnumber,datepermitted,actual,url,violationavgratepercent,averagepublichealthhazardiolationrate,avgcriticalviolationrate
0,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2019-01-31T00:00:00.000,Written safety plan describes provisions for health care maintenance and compliance; provisions for emergency medical care first aid and CPR,GENERAL,43.07(b)(4),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
1,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2018-05-30T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected,,,,,,,
2,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2019-01-31T00:00:00.000,Children enrolled in school-based child care program have not received appropriate medical examination.,CRITICAL,43.17(a)(1),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
3,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2019-04-16T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected,,,,,,,
4,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2018-04-17T00:00:00.000,"Sufficient handwash sinks with hot and cold running water, liquid soap, drying devices not provided in comercial buildings.",CRITICAL,131.09(d)(2),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
5,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2018-04-17T00:00:00.000,"Sufficient handwash sinks with hot and cold running water, liquid soap, drying devices not provided in comercial buildings.",CRITICAL,131.09(d)(2),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
6,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2018-04-17T00:00:00.000,School operator arranges for fingerprinting,PUBLIC HEALTH HAZARD,43.13(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
7,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2018-04-17T00:00:00.000,School operator arranges for fingerprinting,PUBLIC HEALTH HAZARD,43.13(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
8,YESHIVAT OHR HAIIM,YESHIVAT OHR HAIIM,86-06,135TH STREET,QUEENS,11418,718-658-7066,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC20398,PRESCHOOL,SBCC,School Based Child Care,4206444,100.0,0,0.0,50.0,100.0,2019-01-31T00:00:00.000,All staff who will have unsupervised contact with children has undergone child abuse and criminal justice screening and reference checks,GENERAL,43.13(a),CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
9,SBCC,WILLIAMSBURG NORTHSIDE PRESCHOOL,299,NORTH 7 STREET,BROOKLYN,11211,718-599-7300,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32499,PRESCHOOL,SBCC,School Based Child Care,3425159,33.3333,0,0.0,0.0,33.3333,2019-10-17T00:00:00.000,Refrigeration units provided with thermometers; thermometers calibrated to (+)(-) 2 degree F accuracy; properly placed in warmest spot of unit,GENERAL,81.18(a)(3),OPEN,Initial Annual Inspection - Reinspection Not Required,,,,,,,
10,SBCC,WILLIAMSBURG NORTHSIDE PRESCHOOL,299,NORTH 7 STREET,BROOKLYN,11211,718-599-7300,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32499,PRESCHOOL,SBCC,School Based Child Care,3425159,33.3333,0,0.0,0.0,33.3333,2017-03-01T00:00:00.000,School-based child care program determined to maintain a lead based hazard. Safe work practices not employed during activity that may disturb lead paint or paint of unknown lead content. School-based child care program failed to test soil for lead content. School-based child care program failed to conduct annual lead paint survey.,CRITICAL,43.23,CORRECTED,Initial Annual Inspection - Reinspection Required,,,,,,,
11,SBCC,WILLIAMSBURG NORTHSIDE PRESCHOOL,299,NORTH 7 STREET,BROOKLYN,11211,718-599-7300,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32499,PRESCHOOL,SBCC,School Based Child Care,3425159,33.3333,0,0.0,0.0,33.3333,2019-10-17T00:00:00.000,All staff who will have unsupervised contact with children has undergone child abuse and criminal justice screening and reference checks,GENERAL,43.13(a),OPEN,Initial Annual Inspection - Reinspection Not Required,,,,,,,
12,SBCC,WILLIAMSBURG NORTHSIDE PRESCHOOL,299,NORTH 7 STREET,BROOKLYN,11211,718-599-7300,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32499,PRESCHOOL,SBCC,School Based Child Care,3425159,33.3333,0,0.0,0.0,33.3333,2018-02-06T00:00:00.000,All staff do not have required immunizations certified by a health care provider; record not available for inspection,GENERAL,43.11 (c),CORRECTED,Compliance Inspection of Open Violations - Reinspection Not Required,,,,,,,
13,SBCC,WILLIAMSBURG NORTHSIDE PRESCHOOL,299,NORTH 7 STREET,BROOKLYN,11211,718-599-7300,2115-01-23T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC32499,PRESCHOOL,SBCC,School Based Child Care,3425159,33.3333,0,0.0,0.0,33.3333,2018-09-06T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations,,,,,,,
