,program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
0,Family Support,HIV/AIDS Support Services,"AIDS Center of Queens County, Inc.",Queens,"AIDS Center of Queens County, Inc.",718 896-2500,,,,,,,,,,,,,,,,
1,Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,,,,,,,,,,,,,,,
2,Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,Adults,,,,,,,,,,,,,,,
3,Family Support,Older Adult Program,Pelham Parkway Senior Center,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,,,,,,,,,,,,,,,
4,Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8300,Adults,"{'latitude': '40.847051676059', 'longitude': '-73.937044724943', 'human_address': '{""address"": ""76 Wadsworth Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.847012,-73.93704,12.0,10.0,263.0,1063574.0,1021450051.0,Washington Heights South                                                   ,13091.0,47.0,4.0,39.0,21.0
5,Family Support,Young Parent Education & Family Support,Dr. White Community Center ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.722.6023,MS/HS,"{'latitude': '40.698288822006', 'longitude': '-73.983097400318', 'human_address': '{""address"": ""200 Gold Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11201""}'}",11201.0,40.698184,-73.983079,2.0,33.0,15.0,3000197.0,3001090001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,16865.0,68.0,2.0,38.0,54.0
6,Family Support,Fatherhood Initiative,Oberia Dempsey Center ,New York ,The Northern Manhattan Perinatal Partnership Inc.,212.665.2600,16 to 24,"{'latitude': '40.809438819236', 'longitude': '-73.945341926389', 'human_address': '{""address"": ""127 127th"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",,,,,,,,,,12424.0,18.0,4.0,36.0,20.0
7,Family Support,Fatherhood Initiative,The New York Society for the Prevention of Cruelty to Children,New York ,The New York Society for the Prevention of Cruelty to Children,212.233.5500,16 to 24,"{'latitude': '40.709999539835', 'longitude': '-74.006016649884', 'human_address': '{""address"": ""161 William Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10038""}'}",10038.0,40.710059,-74.005955,1.0,1.0,1501.0,1001269.0,1000920005.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0
8,Family Support,Older Adult Program,Greater Chinatown Community Association,New York,Greater Chinatown Community Association,212.374.1311,Seniors,"{'latitude': '40.714478163541', 'longitude': '-73.999235761783', 'human_address': '{""address"": ""105 Mosco Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10013""}'}",10013.0,40.714459,-73.999347,3.0,1.0,29.0,1001820.0,1001640044.0,Chinatown                                                                  ,12076.0,70.0,4.0,32.0,2.0
9,Family Support,Economic Development,Northfield Community LDC,Staten Island,Northfield Community LDC,718.442.7351,,"{'latitude': '40.636120658508', 'longitude': '-74.131878378944', 'human_address': '{""address"": ""160 Heberton Avenue Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10302""}'}",10302.0,40.636179,-74.131816,1.0,49.0,207.0,5110130.0,5010200020.0,Port Richmond                                                              ,10370.0,4.0,1.0,13.0,75.0
10,Family Support,Older Adult Program,Mercy Manor ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.893603864286', 'longitude': '-73.860614532487', 'human_address': '{""address"": ""4170 Carpenter Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",10466.0,40.893523,-73.860689,12.0,12.0,420.0,2063271.0,2048340052.0,Williamsbridge-Olinville                                                   ,11275.0,29.0,5.0,2.0,30.0
11,Family Support,Older Adult Program,St. Lukes,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.885144265016', 'longitude': '-73.858606154195', 'human_address': '{""address"": ""3911 Barnes Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",10466.0,40.885201,-73.858541,12.0,12.0,396.0,2063301.0,2048360001.0,Williamsbridge-Olinville                                                   ,11275.0,29.0,5.0,2.0,30.0
12,Family Support,Older Adult Program,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,Seniors,"{'latitude': '40.575793969704', 'longitude': '-73.959507450797', 'human_address': '{""address"": ""3300 Coney Island Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11235""}'}",11235.0,40.575607,-73.959463,13.0,48.0,36002.0,3326880.0,3086930001.0,Brighton Beach                                                             ,13826.0,21.0,2.0,15.0,35.0
13,Family Support,Domestic Violence Program,I.S. 281,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,718.236.5266,MS/HS,"{'latitude': '40.604011809897', 'longitude': '-74.000969000119', 'human_address': '{""address"": ""87 87 24th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11214""}'}",,,,,,,,,,17616.0,1.0,2.0,45.0,37.0
14,Family Support,Fatherhood Initiative,Neighborhood Defender Service of Harlem,New York ,Neighborhood Defender Service of Harlem,212.876.5500,16 to 24,"{'latitude': '40.808477178137', 'longitude': '-73.945100354507', 'human_address': '{""address"": ""317 Lenox Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",10027.0,40.808291,-73.945122,10.0,9.0,222.0,1085673.0,1019107501.0,Central Harlem South                                                       ,12424.0,18.0,4.0,36.0,18.0
15,Family Support,Parent Education and Family Support,Village Care of New York,Brooklyn,Village Care of New York,718.852.5748,HS,"{'latitude': '40.676267274662', 'longitude': '-74.000995078395', 'human_address': '{""address"": ""6033 Clinton Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11231""}'}",,,,,,,,,,13514.0,14.0,2.0,27.0,48.0
16,Family Support,Older Adult Program,"United Jewish Council of the East Side, Inc.",New York,"United Jewish Council of the East Side, Inc.",212.233.6037,Seniors,"{'latitude': '40.714361251677', 'longitude': '-73.986465388967', 'human_address': '{""address"": ""235 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10279.0,40.712362,-74.007817,1.0,1.0,21.0,1087167.0,1001237501.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,11723.0,70.0,4.0,32.0,4.0
17,Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"{'latitude': '40.64322700852', 'longitude': '-73.976448622106', 'human_address': '{""address"": ""415 Albermarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
18,Family Support,Older Adult Program,"Homecrest Community Services, Inc",Brooklyn,"Homecrest Community Services, Inc",718.376.4036,Seniors,"{'latitude': '40.601233507321', 'longitude': '-73.944368541175', 'human_address': '{""address"": ""1413 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11229""}'}",,,,,,,,,,13512.0,32.0,2.0,8.0,36.0
19,Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"{'latitude': '40.64322700852', 'longitude': '-73.976448622106', 'human_address': '{""address"": ""415 Albermarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
20,Family Support,Parent Education and Family Support,Crown Heights Jewish Community Council,Brooklyn,Crown Heights Jewish Community Council,718.778.8808,,"{'latitude': '40.665762628592', 'longitude': '-73.942503354999', 'human_address': '{""address"": ""387 Kingston Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",11225.0,40.665708,-73.942532,9.0,35.0,333.0,3034315.0,3013000010.0,Crown Heights South                                                        ,17615.0,17.0,2.0,48.0,44.0
21,Family Support,Housing Assistance & Advocacy,Neighborhood Association for Inter-Cultural Affairs,Bronx,Neighborhood Association for Inter-Cultural Affairs,718.538.3344,Adults,"{'latitude': '40.837724263364', 'longitude': '-73.923332211412', 'human_address': '{""address"": ""1075 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",,,,,,,,,,10930.0,50.0,5.0,42.0,27.0
22,Family Support,Housing Assistance & Advocacy,AAFE Queens ,Queens,Asian Americans for Equality,212.680.1374,Adults,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04 39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",11354.0,40.75909,-73.834194,7.0,20.0,871.0,4112274.0,4049730006.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0
23,Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Queens,Asian Americans for Equality                                ,718.961.0888,Adults,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04-39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",,,,,,,,,,13832.0,22.0,3.0,3.0,67.0
24,Family Support,Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04 39th Ave"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",11354.0,40.75909,-73.834194,7.0,20.0,871.0,4112274.0,4049730006.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0
