,agency,epin,procurement_title,procurement_description,service_name
0,Small Business Services,80114I0002,Hunts Point Workforce1 Career Center,"The Hunts Point Workforce1 Career Center provides employment and training services to the City’s adult jobseekers and connects employers to a skilled workforce. Hunts Point is one of seventeen Workforce1 Career Centers which are located throughout the five boroughs and operate in coordination with the New York State Department of Labor and the City University of New York to provide a seamless network of services and resources. Through this procurement, SBS is seeking a Provider to operate the Hunts Points Workforce1 Career Center. Specific jobseeker services provided at the Workforce1 Career Centers include, but are not limited to, workforce preparation, professional development, job search, jobseeker assessment and screening, matching, career advancement services, placement services, jobseeker retention services, referrals to other complementary services, and other workforce development activities. All activities would align with the needs of New York City businesses and the Agency’s overall workforce development strategy. Selected contractor will be required to follow federal Workforce Investment Act, state and local policies.",Work Readiness
1,Small Business Services,80114I0002,Hunts Point Workforce1 Career Center,"The Hunts Point Workforce1 Career Center provides employment and training services to the City’s adult jobseekers and connects employers to a skilled workforce. Hunts Point is one of seventeen Workforce1 Career Centers which are located throughout the five boroughs and operate in coordination with the New York State Department of Labor and the City University of New York to provide a seamless network of services and resources. Through this procurement, SBS is seeking a Provider to operate the Hunts Points Workforce1 Career Center. Specific jobseeker services provided at the Workforce1 Career Centers include, but are not limited to, workforce preparation, professional development, job search, jobseeker assessment and screening, matching, career advancement services, placement services, jobseeker retention services, referrals to other complementary services, and other workforce development activities. All activities would align with the needs of New York City businesses and the Agency’s overall workforce development strategy. Selected contractor will be required to follow federal Workforce Investment Act, state and local policies.",Job Placement Services
2,Small Business Services,80114I0002,Hunts Point Workforce1 Career Center,"The Hunts Point Workforce1 Career Center provides employment and training services to the City’s adult jobseekers and connects employers to a skilled workforce. Hunts Point is one of seventeen Workforce1 Career Centers which are located throughout the five boroughs and operate in coordination with the New York State Department of Labor and the City University of New York to provide a seamless network of services and resources. Through this procurement, SBS is seeking a Provider to operate the Hunts Points Workforce1 Career Center. Specific jobseeker services provided at the Workforce1 Career Centers include, but are not limited to, workforce preparation, professional development, job search, jobseeker assessment and screening, matching, career advancement services, placement services, jobseeker retention services, referrals to other complementary services, and other workforce development activities. All activities would align with the needs of New York City businesses and the Agency’s overall workforce development strategy. Selected contractor will be required to follow federal Workforce Investment Act, state and local policies.",Job/Vocational Training
3,Small Business Services,80114I0003,Workforce1 Industrial and Transportation Career Center,"Workforce1 Industrial and Transportation Career Center (Sector Center) provides employment and training services to the City’s adult jobseekers and connects employers to a skilled workforce in the areas of Manufacturing; Wholesale Trade; Transportation & Warehousing; Administrative and Support Services, Waste Management/Remediation Services; Construction; and Automotive Repair and Maintenance. The Sector Center is one of seventeen Workforce1 Career Centers which are located throughout the five boroughs and operate in coordination with the New York State Department of Labor and the City University of New York to provide a seamless network of services and resources. Through this procurement, SBS is seeking a Provider to directly provide Sector Center recruitment, placement, and training services to businesses and jobseekers. The Sector Center works with the other Workforce1 Career Centers and their respective vendors to serve jobseekers and low-income workers city-wide. Specific jobseeker services provided at Workforce1 locations include, but are not limited to, assessment and development of an individual employment plan, resume and interview preparation, career advisement, occupational training, job search support, job screening and matching, and referrals to employers with whom the system has a direct relationship and have committed to hire through NYC Business Solutions. All activities would align with the needs of New York City businesses and the Agency’s overall workforce development strategy. Selected contractor will be required to follow federal Workforce Investment Act, state and local policies. ",Job/Vocational Training
4,Small Business Services,80114I0003,Workforce1 Industrial and Transportation Career Center,"Workforce1 Industrial and Transportation Career Center (Sector Center) provides employment and training services to the City’s adult jobseekers and connects employers to a skilled workforce in the areas of Manufacturing; Wholesale Trade; Transportation & Warehousing; Administrative and Support Services, Waste Management/Remediation Services; Construction; and Automotive Repair and Maintenance. The Sector Center is one of seventeen Workforce1 Career Centers which are located throughout the five boroughs and operate in coordination with the New York State Department of Labor and the City University of New York to provide a seamless network of services and resources. Through this procurement, SBS is seeking a Provider to directly provide Sector Center recruitment, placement, and training services to businesses and jobseekers. The Sector Center works with the other Workforce1 Career Centers and their respective vendors to serve jobseekers and low-income workers city-wide. Specific jobseeker services provided at Workforce1 locations include, but are not limited to, assessment and development of an individual employment plan, resume and interview preparation, career advisement, occupational training, job search support, job screening and matching, and referrals to employers with whom the system has a direct relationship and have committed to hire through NYC Business Solutions. All activities would align with the needs of New York City businesses and the Agency’s overall workforce development strategy. Selected contractor will be required to follow federal Workforce Investment Act, state and local policies. ",Work Readiness
5,Small Business Services,80114I0003,Workforce1 Industrial and Transportation Career Center,"Workforce1 Industrial and Transportation Career Center (Sector Center) provides employment and training services to the City’s adult jobseekers and connects employers to a skilled workforce in the areas of Manufacturing; Wholesale Trade; Transportation & Warehousing; Administrative and Support Services, Waste Management/Remediation Services; Construction; and Automotive Repair and Maintenance. The Sector Center is one of seventeen Workforce1 Career Centers which are located throughout the five boroughs and operate in coordination with the New York State Department of Labor and the City University of New York to provide a seamless network of services and resources. Through this procurement, SBS is seeking a Provider to directly provide Sector Center recruitment, placement, and training services to businesses and jobseekers. The Sector Center works with the other Workforce1 Career Centers and their respective vendors to serve jobseekers and low-income workers city-wide. Specific jobseeker services provided at Workforce1 locations include, but are not limited to, assessment and development of an individual employment plan, resume and interview preparation, career advisement, occupational training, job search support, job screening and matching, and referrals to employers with whom the system has a direct relationship and have committed to hire through NYC Business Solutions. All activities would align with the needs of New York City businesses and the Agency’s overall workforce development strategy. Selected contractor will be required to follow federal Workforce Investment Act, state and local policies. ",Job Placement Services
6,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Case Management
7,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Job Placement Services
8,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Job/Vocational Training
9,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Life Skills
