,rownumber,animalname,animalgender,animalbirth,breedname,zipcode,licenseissueddate,licenseexpireddate,extract_year
0,1,PAIGE,F,2014,American Pit Bull Mix / Pit Bull Mix,10035,2014-09-12T00:00:00.000,2017-09-12T00:00:00.000,2016
1,2,YOGI,M,2010,Boxer,10465,2014-09-12T00:00:00.000,2017-10-02T00:00:00.000,2016
2,3,ALI,M,2014,Basenji,10013,2014-09-12T00:00:00.000,2019-09-12T00:00:00.000,2016
3,4,QUEEN,F,2013,Akita Crossbreed,10013,2014-09-12T00:00:00.000,2017-09-12T00:00:00.000,2016
4,5,LOLA,F,2009,Maltese,10028,2014-09-12T00:00:00.000,2017-10-09T00:00:00.000,2016
5,6,IAN,M,2006,Unknown,10013,2014-09-12T00:00:00.000,2019-10-30T00:00:00.000,2016
6,7,BUDDY,M,2008,Unknown,10025,2014-09-12T00:00:00.000,2017-10-20T00:00:00.000,2016
7,8,CHEWBACCA,F,2012,Labrador Retriever Crossbreed,10013,2014-09-12T00:00:00.000,2019-10-01T00:00:00.000,2016
8,9,HEIDI-BO,F,2007,Dachshund Smooth Coat,11215,2014-09-13T00:00:00.000,2017-04-16T00:00:00.000,2016
9,10,MASSIMO,M,2009,"Bull Dog, French",11201,2014-09-13T00:00:00.000,2017-09-17T00:00:00.000,2016
10,11,LOLA,F,2006,Miniature Pinscher,10022,2014-09-13T00:00:00.000,2019-10-03T00:00:00.000,2016
11,12,LEMMY,F,2005,Yorkshire Terrier,10003,2014-09-13T00:00:00.000,2017-10-26T00:00:00.000,2016
12,13,LUCY,F,2014,Dachshund Smooth Coat Miniature,11215,2014-09-13T00:00:00.000,2019-09-13T00:00:00.000,2016
13,14,RICKY,M,2014,German Shepherd Dog,11220,2014-09-13T00:00:00.000,2017-09-13T00:00:00.000,2016
14,15,SARAH,F,2012,Unknown,10040,2014-09-13T00:00:00.000,2017-09-13T00:00:00.000,2016
15,16,MURPHY,M,2012,American Pit Bull Mix / Pit Bull Mix,10463,2014-09-13T00:00:00.000,2017-09-28T00:00:00.000,2016
16,17,JUNE,F,2010,Cavalier King Charles Spaniel,11238,2014-09-13T00:00:00.000,2019-10-28T00:00:00.000,2016
17,18,ELIZABETH,F,2013,Cavalier King Charles Spaniel,10022,2014-09-13T00:00:00.000,2019-09-13T00:00:00.000,2016
18,19,AVERY,F,2014,American Pit Bull Terrier/Pit Bull,10002,2014-09-13T00:00:00.000,2019-09-13T00:00:00.000,2016
19,20,SOPHIE,F,2011,Boxer,10308,2014-09-13T00:00:00.000,2019-10-23T00:00:00.000,2016
20,21,OTIS,F,2001,Unknown,10011,2014-09-13T00:00:00.000,2017-09-29T00:00:00.000,2016
21,22,BENSON,M,2010,Boxer,11209,2014-09-13T00:00:00.000,2019-10-29T00:00:00.000,2016
22,23,BIGS,M,2004,American Pit Bull Terrier/Pit Bull,11208,2014-09-13T00:00:00.000,2019-10-27T00:00:00.000,2016
23,24,LOGAN,M,2003,Unknown,10011,2014-09-13T00:00:00.000,2017-10-30T00:00:00.000,2016
24,25,BESS,F,2010,Beagle,11218,2014-09-13T00:00:00.000,2016-09-13T00:00:00.000,2016
25,26,APPLE,M,2013,Havanese,10025,2014-09-13T00:00:00.000,2019-10-16T00:00:00.000,2016
26,27,MUNECA,F,2013,Beagle,11232,2014-09-13T00:00:00.000,2019-09-13T00:00:00.000,2016
27,28,DOTTIE,F,2013,"Poodle, Standard",10025,2014-09-13T00:00:00.000,2017-09-13T00:00:00.000,2016
28,29,OSCAR,M,2008,German Shorthaired Pointer,10025,2014-09-13T00:00:00.000,2019-09-13T00:00:00.000,2016
29,30,BUDDY,M,2012,Bull Terrier,10312,2014-09-13T00:00:00.000,2019-10-05T00:00:00.000,2016
30,31,JOEY,F,2010,Labrador Retriever Crossbreed,10023,2014-09-14T00:00:00.000,2017-07-30T00:00:00.000,2016
31,32,MAX,M,2005,"Dachshund, Long Haired",10023,2014-09-14T00:00:00.000,2019-09-14T00:00:00.000,2016
32,33,JASMINE,F,2008,Unknown,11209,2014-09-14T00:00:00.000,2017-10-28T00:00:00.000,2016
33,34,SAMMY,M,2007,Beagle,11231,2014-09-14T00:00:00.000,2017-10-15T00:00:00.000,2016
34,35,NINA,F,2010,"Schnauzer, Miniature",10461,2014-09-14T00:00:00.000,2017-10-27T00:00:00.000,2016
35,36,ROSIE,F,2010,Unknown,10028,2014-09-14T00:00:00.000,2017-10-01T00:00:00.000,2016
36,37,SHERRIE,M,2008,Yorkshire Terrier,11224,2014-09-14T00:00:00.000,2017-10-06T00:00:00.000,2016
37,38,ELAINE,F,2005,Labrador Retriever,10471,2014-09-14T00:00:00.000,2019-09-14T00:00:00.000,2016
38,39,DEDE,M,2013,Boston Terrier,11236,2014-09-14T00:00:00.000,2019-09-14T00:00:00.000,2016
39,40,LILAH,F,2008,Norfolk Terrier,11209,2014-09-14T00:00:00.000,2017-09-14T00:00:00.000,2016
40,41,COOBY,M,2013,Bichon Frise,10002,2014-09-14T00:00:00.000,2017-09-14T00:00:00.000,2016
41,42,RANGER,M,2007,German Shorthaired Pointer,11229,2014-09-14T00:00:00.000,2017-09-14T00:00:00.000,2016
42,43,SANDEE,F,2009,"Schnauzer, Miniature",11361,2014-09-14T00:00:00.000,2017-10-04T00:00:00.000,2016
43,44,TIBERIUS,M,2006,Golden Retriever,10021,2014-09-14T00:00:00.000,2017-10-10T00:00:00.000,2016
44,45,COCO,F,2009,Bichon Frise,10309,2014-09-15T00:00:00.000,2017-10-22T00:00:00.000,2016
45,46,LOUIE,M,2008,Unknown,10024,2014-09-15T00:00:00.000,2017-09-03T00:00:00.000,2016
46,47,PIRULO,M,2008,Unknown,10038,2014-09-15T00:00:00.000,2017-02-23T00:00:00.000,2016
47,48,PEPI,M,2004,Unknown,10467,2014-09-15T00:00:00.000,2019-10-31T00:00:00.000,2016
48,49,DEXTER,M,2010,Cavalier King Charles Spaniel,11201,2014-09-15T00:00:00.000,2017-10-24T00:00:00.000,2016
49,50,LUNA,F,2009,"Schnauzer, Miniature",11215,2014-09-15T00:00:00.000,2017-10-20T00:00:00.000,2016
50,51,MIA,F,2013,Rottweiler,33185,2014-09-15T00:00:00.000,2017-09-15T00:00:00.000,2016
51,52,DUKE,M,2012,Boxer,10012,2014-09-15T00:00:00.000,2017-09-16T00:00:00.000,2016
52,53,PAOLA,F,2013,Unknown,10038,2014-09-15T00:00:00.000,2017-10-05T00:00:00.000,2016
53,54,ROCCO,M,2010,Chihuahua,10012,2014-09-15T00:00:00.000,2019-10-04T00:00:00.000,2016
54,55,JUNO,F,2010,Maltese,10473,2014-09-15T00:00:00.000,2017-09-14T00:00:00.000,2016
55,56,TRUMAN,M,2007,"Bull Dog, French",11104,2014-09-15T00:00:00.000,2017-10-30T00:00:00.000,2016
56,57,BLUE,M,2008,"Collie, Border",10034,2014-09-15T00:00:00.000,2019-09-24T00:00:00.000,2016
57,58,JOSH,F,2010,Chihuahua,11379,2014-09-15T00:00:00.000,2017-10-09T00:00:00.000,2016
58,59,BUCKLEY,F,2006,Labrador Retriever Crossbreed,10022,2014-09-15T00:00:00.000,2017-10-28T00:00:00.000,2016
59,60,CHLOE,F,2005,American Pit Bull Mix / Pit Bull Mix,10029,2014-09-15T00:00:00.000,2017-10-14T00:00:00.000,2016
60,61,TWIGGY,F,2004,American Pit Bull Mix / Pit Bull Mix,10029,2014-09-15T00:00:00.000,2017-10-30T00:00:00.000,2016
61,62,MAX,M,2008,American Pit Bull Mix / Pit Bull Mix,10029,2014-09-15T00:00:00.000,2017-10-24T00:00:00.000,2016
62,63,NAHLA,F,2011,Labrador Retriever,10023,2014-09-15T00:00:00.000,2017-09-15T00:00:00.000,2016
63,64,CHEWY,M,2012,Chihuahua,11224,2014-09-15T00:00:00.000,2017-09-15T00:00:00.000,2016
64,65,ZOEY,F,2011,"Poodle, Miniature",11215,2014-09-15T00:00:00.000,2017-10-20T00:00:00.000,2016
65,66,ROCKY,M,2012,Yorkshire Terrier,10451,2014-09-15T00:00:00.000,2017-10-09T00:00:00.000,2016
66,67,BAXTER,M,2013,Beagle,11374,2014-09-15T00:00:00.000,2019-11-21T00:00:00.000,2016
67,68,ANGEL,M,2000,Bichon Frise,10467,2014-09-15T00:00:00.000,2017-10-31T00:00:00.000,2016
68,69,BAILEY,M,2005,Shih Tzu,10021,2014-09-15T00:00:00.000,2017-10-14T00:00:00.000,2016
69,70,SABRINA,F,2002,Unknown,11106,2014-09-16T00:00:00.000,2017-09-30T00:00:00.000,2016
70,71,DAKOTA,F,2011,Kooikerhondje,10016,2014-09-16T00:00:00.000,2017-09-16T00:00:00.000,2016
71,72,LUCY,F,2011,Unknown,10011,2014-09-16T00:00:00.000,2017-10-18T00:00:00.000,2016
72,73,CHARLIE,M,2007,Labrador Retriever,11435,2014-09-16T00:00:00.000,2019-09-03T00:00:00.000,2016
73,74,KONA,M,2008,Shih Tzu,10022,2014-09-16T00:00:00.000,2019-10-15T00:00:00.000,2016
74,75,GEORGE,M,2013,"Bull Dog, English",10011,2014-09-16T00:00:00.000,2017-09-16T00:00:00.000,2016
75,76,ZOEY,F,2010,American Eskimo dog,10016,2014-09-16T00:00:00.000,2016-09-16T00:00:00.000,2016
76,77,NALA,F,2013,Unknown,10023,2014-09-16T00:00:00.000,2017-10-31T00:00:00.000,2016
