,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
0,Women's Desk,N,N,Y,N,N,2127277668.0,2126336700.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,112 West 27th Street,New York,,,,,,,,,,,,,,,,,,,,,,
1,Queens Pride House,N,N,N,Y,N,7184295013.0,7184295309.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,76-11 37th Ave. Suite 206,Jackson Heights,http://www.queenspridehouse.org/,,,,,,,,,,,,,,,,,,,,,
2,"Hospital Audiences, Inc.",Y,Y,Y,Y,Y,2125757669.0,2125757676.0,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Published,548 Broadway,New York,http://www.hainyc.org/,N,"Provides a variety of services to disenfranchised and underserved communities including the disabled, frail elderly, homeless, people living with HIV/AIDS, at-risk youth, and others.",N,"{'latitude': '40.723624', 'longitude': '-73.99829'}",MANHATTAN,40.723624,-73.99829,2.0,1.0,43.0,1007564.0,1004970009.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,3rd Floor,10012.0,12075.0,57.0,4.0,32.0,2.0,
3,New Life Community Development Corp.,N,N,N,Y,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Elmhurst,,N,,,,,,,,,,,,,,,,,,,,
4,"Project Reach Youth, Inc.",Y,N,N,N,N,,7187680778.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"199 14th Street, 3rd Fl.",Brooklyn,,N,,N,"{'latitude': '40.666966', 'longitude': '-73.990448'}",BROOKLYN ,40.666966,-73.990448,6.0,39.0,141.0,3023430.0,3010340068.0,Park Slope-Gowanus                                                         ,,11215.0,17617.0,14.0,2.0,27.0,50.0,
5,Lilith Magazine,N,N,Y,N,N,,2127570818.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"250 West 57th Street, Suite 2432",New York,http://www.lilithmag.com,N,"LILITH is your link between feminism and Jewish life. Publishing since 1976 (!) the magazine brings you information about stuff you've probably had tickling the edges of your consciousness but never read about in a magazine before: New rituals and celebrations for a wedding ceremony, for childbirth, for turning 12, or 20, or 60. Feminist additions to your Passover seder and a new prayerbook for everyday. Role models you've never met before. Foremothers. Jewish hair (YES!). What's different about Jewish women's attitudes to food. Reviews of books, plays, films, music and videos. The best new poetry and fiction. Pages of resource listings in every issue - where to go for what if you're Jewish and female.",,"{'latitude': '40.766391', 'longitude': '-73.982119'}",MANHATTAN,40.766391,-73.982119,5.0,3.0,137.0,1024899.0,1010280056.0,Midtown-Midtown South                                                      ,,10107.0,12081.0,11.0,4.0,10.0,10.0,
6,American Foundation for Suicide Prevention - New York City Metro Chapter,N,N,N,Y,N,,5168694215.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,25 Pepperidge Road,East Rockaway,http://www.afsp.org,N,"The American Foundation for Suicide Prevention (AFSP) is the leading national not-for-profit organization exclusively dedicated to understanding and preventing suicide through research, education and advocacy, and to reaching out to people with mental disorders and those impacted by suicide.",N,,,,,,,,,,,,11518.0,,,,,,
7,"Bronx Community Pride Center, Inc.",N,Y,N,N,N,,7182924368.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"448 East 149th Street, 3rd Fl.",Bronx,http://bronxpride.org/,N,"The Bronx Community Pride Center is committed to nurturing and empowering members of our community to enjoy and realize their full potential. We provide direct social services, cultural sensitivity trainings, community education and a home to promote the health, education, social growth and well-being of the Bronx LGBT community.",N,"{'latitude': '40.815377', 'longitude': '-73.916026'}",BRONX    ,40.815377,-73.916026,1.0,8.0,43.0,2000538.0,2022930053.0,Mott Haven-Port Morris                                                     ,,10455.0,10933.0,49.0,5.0,35.0,23.0,
8,Gamblers Anonymous,N,N,Y,N,N,,8776642469.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,New York Intergroup : P.O. Box 7,New York,http://www.gamblersanonymous.org/mtgdirNY.html,,,,,,,,,,,,,,,,,,,,,
9,Community Solutions,N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,9 East 7th Street,New York,,N,,N,"{'latitude': '40.728816', 'longitude': '-73.990067'}",MANHATTAN,40.728816,-73.990067,3.0,2.0,38.0,1006656.0,1004630001.0,East Village                                                               ,,10009.0,11724.0,70.0,4.0,50.0,5.0,
10,New York Women in Film and Television,Y,N,Y,N,N,2126790899.0,2126790870.0,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,6 East 39th Street,Brooklyn,http://www.nywift.org/,N,"New York Women in Film & Television (NYWIFT) is a nonprofit membership organization for professional women in film, television and new media. A champion of women's rights, achievements and points of view in the film and television industry, NYWIFT is an educational forum for media professionals, and a network for the exchange of information and resources.",N,"{'latitude': '40.751374', 'longitude': '-73.981817'}",MANHATTAN,40.751374,-73.981817,5.0,4.0,82.0,1017227.0,1008680008.0,Murray Hill-Kips Bay                                                       ,Suite 1200,10016.0,12078.0,11.0,4.0,51.0,8.0,
11,Connecting to Advantages,N,N,Y,N,N,6466022260.0,6462263259.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,61 East 4th Street,New York,,Y,"We train volunteers to refer low-income people to government benefits for which they are eligible.  We work in the places low-income people congregate - food pantries, Unemployment Insurance offices, supported housing developments.",N,"{'latitude': '40.726755', 'longitude': '-73.990735'}",MANHATTAN,40.726755,-73.990735,3.0,2.0,38.0,1082642.0,1004600056.0,East Village                                                               ,,10003.0,11724.0,70.0,4.0,50.0,5.0,
12,Maidstone Foundation [Family Support Service for Russians],N,N,Y,N,N,6462850538.0,2128895760.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"12225 Broadway, 9th Floor",New York,http://www.maidstonefoundation.org,N,"Provides information, referrals, case management and advocacy for Russians with adult or child family members with mental retardation, autism,cerebral palsy, epilepsy, learning disabilitites, neurological impairment and head injuries.  Speakers and support groups are offered.",N,,,,,,,,,,,,10001.0,,,,,,
