,borough_code,development,address,status,sponsor,type,zip_code,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
0,Manhattan,Baruch,595- 605 FDR Drive,Occupied,"Henry Street Settlement, Inc.",Other - Battered Women shelter,,,,,,,,,
1,Staten Island,Berry Houses,44 Dongan Hills,Occupied,"Staten Island Mental Health Society, Inc.",Child Care ,10306.0,,,,,,,,
2,Brooklyn,Farragut,228 York Street,Occupied,Spanish Speaking Elderly Council - RAICES,Senior Center,,,,,,,,,
3,Manhattan,Harborview Terrace,536 West 56th Street,Occupied,NYCHA,Performing Arts - Art Center,10019.0,,,,,,,,
4,Brooklyn,Howard,1620 E N Y Avenue,NYCHA HOLD,NYCHA,Vacant- health clinic,11212.0,,,,,,,,
5,Manhattan,Lexington,115 East 98th Steet,Occupied,Lexington Children's Center,Child Care - Early Learn,10029.0,,,,,,,,
6,Brooklyn,Marcus Garvey,1440 E N Y Avenue,Occupied,Fort Greene Senior Citizens Council,Senior Center,11212.0,,,,,,,,
7,Bronx,Monroe,1802 Story Avenue,Vacant ,NYCHA,Vacant,,,,,,,,,
8,Bronx,Pelham Parkway,975 Waring Avenue,Occupied,Jewish Association Services For the Aged,Senior Center,,,,,,,,,
9,Brooklyn,Pink,2702 Linden Boulevard,Occupied,United Community Centers,Other - Urban Farm,,,,,,,,,
10,Queens,Ravenswood,34-35A 12th Street,Occupied,"HANAC, Inc.",Senior Center ,11106.0,,,,,,,,
11,Queens,Ravenswood,34-35A 12th Street,Occupied,"HANAC, Inc.",NORC,,,,,,,,,
12,Brooklyn,Red Hook East,110 West 9th Street,Occupied,Spanish Speaking Elderly Council - RAICES,Senior Center,,,,,,,,,
13,Brooklyn,Saratoga Square,930 Halsey Street,Occupied,"Ridgewood-Bushwick Sr Citizens Council, Inc.",Senior Center,,,,,,,,,
14,Manhattan,Washington Hts Rehab (Groups I and II),500 West 164th Street,Vacant ,NYCHA,Vacant,,,,,,,,,
15,Manhattan,Washington Hts Rehab (Groups I and II),503 West 177th Street,Occupied,Provider Name Unknown,Other - Battered Women center,,,,,,,,,
16,Manhattan,Wilson,405 East 105th Steet,Occupied,NYCHA,Management Office,10029.0,,,,,,,,
17,Manhattan,Wise Towers/WSURA,136 West 91st Steet,Vacant ,NYCHA,Vacant,10024.0,,,,,,,,
18,Brooklyn,Wyckoff Gardens,266 Wyckoff Street,Vacant ,NYCHA,Vacant,,,,,,,,,
