,clientid,resp,qrep,qkey,qcell,sc1,sc2,sc3,sc4,sc4b,sc4d,sc4d1,sc6,sc6a,sc7,mp1,ph1,bc1a,bc1,bc2,bc3,pph1,el1,el3,el4,el7,el8,el9,el10,el11,el12_1,el12mns,el13a,el13b,el13c,el13d,el13e,el14,el15,el17a,el17b,el17c,el17d,el17e,el17f,cp1,ih1,ih2,ih3,ih5,bf1_1,bf1wks,bf1a_1,bf2,mh1,mh2,mh4,cc1,sd2,d1,d1yob,d2,fixd2,d3,d4_1,d5,d6,d7,st1,st2,st3,st4,st5,es1a,es1b,es2,es3,es4,fulladra,qc1,lang,samp_weight,pop_weight,stratum,odate,fdate,el12wks,cp2,cp3,cp4,cp5,cp6a,cp6b,cp6c,cp7,cp8,cp9,cp10_1,cp10wks,bf1mns,d4_2,de1,de2_1,de3,bf1amns,el16,sd1_1,sd1mns,pph2a,pph2b,pph2c,ih5a_1,bf1awks,mh3,sd1wks,cp10mns,ih4_1,mh3a,de2_2,sc4b1,sc4b2,selchild,de2_3,ih4_2,ih4_3,ih5a_2
0,3,953,16,200003,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,7,1,1,3,1,1,2.0,1.0,2.0,1.0,1.0,25.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2,2,1,1,2,3,2.0,1.0,1.0,5,2,2,2.0,3.0,1,1983.0,1,11235.0,2,1,67,3.0,5,4,4,4,4,4,4,4,2,77,2,1.0,1,1,0.710955213454301,72.47061440174436,1,18-Mar-16,18-Mar-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,15,1,200009,1,1,1.0,2.0,1,1,1,2,1,2,1,1,2,2,1,2,3,1,1,2.0,1.0,2.0,1.0,1.0,50.0,3.0,2.0,,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,2,1,1,2,4,,1.0,7.0,5,2,3,1.0,1.0,99,,1,10013.0,2,3,1,,6,4,4,4,4,4,4,4,2,12,4,,1,1,1.3530603116901234,137.92305092520698,1,24-Feb-16,26-Feb-16,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,50.0,3.0,2.0,2.0,6.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,10,246,6,200010,1,1,1.0,2.0,1,1,1,1,1,2,1,2,3,9,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,5,,3.0,,3,2,2,,,1,1995.0,99,10454.0,1,8,56,2.0,3,4,4,4,4,4,4,4,2,1,3,,2,2,1.7581890552032065,179.21950448315957,2,26-Feb-16,26-Feb-16,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,32.0,4.0,,,,,1.0,8.0,56.0,7.0,,,,,,,,,,,,,,,,,,,,,
3,16,659,11,200016,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,10,1,2,4,1,1,1.0,1.0,2.0,1.0,1.0,25.0,1.0,2.0,,0.0,0.0,1.0,0.0,0.0,2.0,2.0,,,,,,,2,1,1,1,2,4,,3.0,5.0,5,2,1,,,1,1992.0,1,11203.0,2,2,1,,4,1,1,2,4,4,2,2,2,1,3,1.0,2,1,2.4057503488948324,245.2281136452008,2,9-Mar-16,13-Mar-16,1.0,,,,,,,,,,,,,2.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,
4,28,861,17,200028,1,1,1.0,2.0,1,1,1,1,1,2,1,1,4,7,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,2,4,,3.0,1.0,4,2,3,,,1,1985.0,1,11368.0,1,1,28,3.0,2,4,4,4,4,4,2,4,1,77,2,1.0,2,2,1.0839257210141282,110.48904555616828,2,16-Mar-16,16-Mar-16,,,,,,,,,,,,,,18.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
5,31,916,9,200031,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,6,1,1,4,1,1,2.0,1.0,1.0,77.0,2.0,25.0,1.0,3.0,1.0,3.0,77.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1,1,1,2,4,,3.0,2.0,5,2,3,1.0,1.0,1,1990.0,1,11211.0,2,1,1,,4,4,4,4,4,4,4,4,2,2,2,1.0,2,1,0.5313322294183933,54.16089844859776,1,17-Mar-16,17-Mar-16,,,,,,,,,,,,,,12.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
6,32,391,9,200032,1,1,1.0,2.0,1,1,2,1,1,2,1,2,1,6,1,1,2,1,1,3.0,1.0,1.0,77.0,2.0,50.0,2.0,3.0,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2,1,1,2,4,,3.0,5.0,5,2,1,5.0,1.0,1,1977.0,1,10025.0,2,1,1,,6,4,4,4,2,2,4,4,2,99,5,1.0,1,1,0.7934138949575522,80.87596989842007,1,1-Mar-16,1-Mar-16,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,60.0,4.0,,,10.0,,2.0,1.0,67.0,10.0,,,,,,,,,,,,,,,,,,,,,
7,34,582,12,200034,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,3,1,2,3,1,1,2.0,1.0,1.0,77.0,1.0,40.0,1.0,2.0,,1.0,8.0,8.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,3.0,4.0,5,2,1,2.0,1.0,1,1980.0,1,11358.0,2,3,21,3.0,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,1.167245406416207,118.9821667522432,1,8-Mar-16,8-Mar-16,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,40.0,1.0,2.0,4.0,1.0,,2.0,3.0,21.0,5.0,,,,,,,,,,,,,,,,,,,,,
8,39,1015,19,200039,1,1,1.0,2.0,1,1,1,2,1,2,1,0,3,2,1,2,3,1,1,1.0,1.0,1.0,3.0,1.0,50.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2,2,1,1,2,4,,3.0,5.0,5,2,3,2.0,1.0,1,1983.0,1,10032.0,1,3,1,,6,4,4,4,4,1,4,4,2,9,4,1.0,2,1,0.45522605641859215,46.403080497923774,1,18-Mar-16,18-Mar-16,11.0,,,,,,,,,,,,,5.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,
9,46,497,6,200046,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,11,1,1,2,1,1,2.0,1.0,2.0,2.0,2.0,40.0,4.0,,,,,,,,,2.0,,,,,,,1,3,1,1,2,4,,3.0,1.0,5,2,3,,,1,1981.0,1,11421.0,1,1,1,,6,4,99,4,1,3,3,4,1,1,3,1.0,2,2,1.6958503851293476,172.86506522208427,2,5-Mar-16,5-Mar-16,,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,,,,2.0,,1.0,1.0,28.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,
10,61,140,8,200061,0,1,,,1,1,2,2,1,1,1,2,3,6,1,1,2,1,1,1.0,1.0,1.0,8.0,1.0,40.0,3.0,3.0,7.0,0.0,6.0,77.0,77.0,77.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1,3,1,1,2,4,,3.0,3.0,5,2,3,6.0,1.0,1,1976.0,1,10025.0,2,1,67,3.0,6,4,4,4,4,4,4,4,2,12,5,1.0,2,1,0.9396575253447523,95.78318985536781,1,25-Feb-16,25-Feb-16,,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,50.0,4.0,,,12.0,,2.0,1.0,1.0,5.0,,2.0,7.0,,,,,,,,,,,,,,,,,,
11,62,1299,22,200062,1,1,1.0,2.0,1,1,2,1,1,2,1,1,3,5,1,1,2,1,1,2.0,1.0,2.0,9.0,1.0,40.0,1.0,2.0,,4.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,1,1,2,1,,,,4,2,3,2.0,1.0,1,1980.0,1,11418.0,2,2,76,3.0,4,4,4,4,4,4,4,4,2,12,4,1.0,2,1,1.4922009356739243,152.10623197166865,1,23-Mar-16,23-Mar-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,35.0,1.0,2.0,1.0,,,2.0,2.0,76.0,,,,,,,,,,,,,,,,,,,,,,
