,cusip_number,sedol_number,local_currency_code,trade_country_name,security_name,security_description,maturity_date,interest_rate,original_face,shares_par_value,base_market_value,base_total_cost,base_unrealized_gain_loss,base_accrued_interest,local_market_value,local_total_cost_amount,local_unrealized_gain_loss,local_accrued_interest,period_end_date,asset_class,investment_type_name,major_industry_name,minor_industry_name,direct_group_trust_holding,moody_s_quality_rating,s_and_p_quality_rating
0,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,16357775.64,16357775.64,16357775.64,0.0,0.0,16357775.64,16357775.64,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
1,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,5185238.35,5185238.35,5185238.35,0.0,0.0,5185238.35,5185238.35,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
2,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,1466.62,1466.62,1466.62,0.0,0.0,1466.62,1466.62,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
3,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,105.58,105.58,105.58,0.0,0.0,105.58,105.58,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
4,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,254612.59,254612.59,254612.59,0.0,0.0,254612.59,254612.59,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
5,'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0.0,0.0,-4.23,-4.23,-4.23,0.0,0.0,-4.23,-4.23,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
6,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,54.39,54.39,54.39,0.0,0.0,54.39,54.39,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
7,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,12571685.7,12571685.7,12571685.7,0.0,0.0,12571685.7,12571685.7,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
8,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,9267.36,9267.36,9267.36,0.0,0.0,9267.36,9267.36,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
9,'CAD,',CAD,CANADA,CANADIAN DOLLAR,,,0.0,0.0,318.75,245.44,231.91,13.53,0.0,318.75,318.75,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
