,brth_yr,gndr,ethcty,nm,cnt,rnk
0,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,172,1
1,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,112,2
2,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,104,3
3,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,99,4
4,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,99,4
5,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,79,5
6,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,59,6
7,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,57,7
8,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,56,8
9,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,56,8
10,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Grace,54,9
11,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Angela,54,9
12,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ava,53,10
13,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Joanna,49,11
14,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Amelia,44,12
15,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ella,42,13
16,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Evelyn,42,13
17,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Arya,42,13
18,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ariana,40,14
19,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Maya,39,15
20,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Alina,39,15
21,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Fiona,35,16
22,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ashley,34,17
23,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Fatima,34,17
24,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Anaya,34,17
25,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Anna,34,17
26,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Aria,33,18
27,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Abigail,32,19
28,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Victoria,32,19
29,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Abby,31,20
30,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Zoe,31,20
31,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Ayesha,30,21
32,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Claire,30,21
33,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Vivian,30,21
34,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Jessica,29,22
35,2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Zoey,29,22
