,borough,health_center,street_address,zip_code,latitude,longitude,days_of_operation,hours_of_operation,telephone_number,accept_walk_ins,languages_other_than_english,translation_services_available,services_provided,ada_accessible,website,community_board,council_district,census_tract,bin,bbl,nta,location_point,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,other_information
0,Manhattan,Riverside  Health Center,"160 West 100th Street,     1st Floor",10025,40.7964,-73.967932,"Monday, Wednesday, Friday",9:00 a.m - 5:00 p.m.,(646) 364-0711,Walk-ins accepted. Appointment  preferred.,English only,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,7.0,7.0,185.0,1055906.0,1018520049.0,Upper West Side,"{'latitude': '40.7964', 'longitude': '-73.967932'}",12422,20,4,23,15,
1,Queens,Jamaica  Health Center,"90-37 Parsons  Blvd.,       4th Floor",11432,40.703818,-73.800483,Monday - Friday,8:30 a.m. - 4:30 p.m.,(718) 553-3846                             (718) 553-3845,Walk-ins accepted. Appointment  preferred.,Spanish,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,,,,,,,"{'latitude': '40.703818', 'longitude': '-73.800483'}",24340,41,3,24,61,
2,Brooklyn,Bushwick  Health Center,"335 Central Avenue,         1st Floor",11221,40.694666,-73.919153,Monday - Friday,8:30 a.m. - 4:30 p.m.,(718) 571-7719                        (718) 571-7717                         (718) 571-7718  ,Walk-ins accepted. Appointment  preferred.,Spanish,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,4.0,37.0,417.0,3076115.0,3033240001.0,Bushwick South,"{'latitude': '40.694666', 'longitude': '-73.919153'}",18181,42,2,37,53,"Services began November 2, 2018 "
3,Bronx,Morrisania  Health Center,"1309 Fulton Avenue,         3rd Floor",10456,40.832847,-73.903027,Monday - Friday,8:30 a.m. - 4:30 p.m.,(347) 854-1984,Walk-ins accepted. Appointment  preferred,Spanish,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,3.0,16.0,14701.0,2009620.0,2029250080.0,Claremont-Bathgate,"{'latitude': '40.832847', 'longitude': '-73.903027'}",10934,34,5,42,25,
4,Manhattan,Washington Heights  Health Center,"600 West 168th Street,     2nd Floor",10032,40.841257,-73.940222,Monday - Friday,8:30 a.m. - 4:30 p.m.,(212) 368-5475                                     (212) 694-2399                                 (212) 491-5288,Walk-ins accepted. Appointment  preferred.,Spanish,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,12.0,10.0,251.0,1063379.0,1021380024.0,Washington Heights South,"{'latitude': '40.841257', 'longitude': '-73.940222'}",13090,47,4,39,21,
5,Brooklyn,Homecrest  Health Center,"1601 Avenue S,                      1st Floor",11229,40.603598,-73.956209,Monday - Friday,8:30 a.m. - 4:30 p.m.,"(718) 336-2553  x129, 144, 150, 153",Walk-ins accepted. Appointment  preferred.,"Russian, Spanish",True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,15.0,48.0,558.0,3184035.0,3068210142.0,Madison,"{'latitude': '40.603598', 'longitude': '-73.956209'}",13512,32,2,15,36,
6,Brooklyn,Crown Heights  Health Center,"1218 Prospect Place,         1st Floor ",11213,40.673523,-73.935845,Monday - Friday,8:30 a.m. - 4:30 p.m.,(718) 953-8234                     (718) 953-8233,Walk-ins accepted. Appointment  preferred.,Haitian Creole,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,8.0,36.0,345.0,3036147.0,3013650009.0,Crown Heights North,"{'latitude': '40.673523', 'longitude': '-73.935845'}",17615,16,2,49,49,
7,Queens,Corona Health Center,"34-33 Junction Blvd.,     1st Floor",11372,40.754171,-73.872231,Monday - Friday,8:30 a.m. - 4:30 p.m.,(718) 396-5122                               (718) 396-5123                                (718) 396-5125,Walk-ins accepted. Appointment  preferred.,"French, Haitian Creole, Italian,  Bengali, Hindi, Urdu, Spanish, Twi and Ga",True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,3.0,21.0,375.0,4042887.0,4017290027.0,North Corona,"{'latitude': '40.754171', 'longitude': '-73.872231'}",14783,65,3,21,73,
8,Staten Island,125 Canal Street,"125 Canal Street,                 2nd Floor",10301,40.626541,-74.077194,By appointment ,By appointment only,(917) 217-3324,By appointment only.,English only,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,1.0,49.0,21.0,,,Stapleton-Rosebank,"{'latitude': '40.626541', 'longitude': '-74.077194'}",10691,4,1,13,74,
9,Brooklyn,Fort Greene  Health Center,"295 Flatbush Avenue Extension, 5th Floor",11201,40.691979,-73.982496,Monday - Friday,8:30 a.m. - 4:30 p.m.,(718) 249-1435                               (718) 249-1436                               (718) 249-1437,Walk-ins accepted. Appointment  preferred.,"Cantonese, Mandarin, Haitian Creole, Spanish",True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,2.0,35.0,15.0,3058406.0,3020790021.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"{'latitude': '40.691979', 'longitude': '-73.982496'}",16865,68,2,48,55,
10,Manhattan,Chelsea  Health Center,"309 9th Avenue,                     1st Floor",10001,40.749313,-73.999282,"Tuesday, Thursday",10:00 a.m - 5:00 p.m.,(212) 771-0153,Walk-ins accepted. Appointment  preferred.,English only,True,"health insurance application  assistance, food benefits (SNAP registration assistance) ",True,nyc.gov/health and search insurance,4.0,3.0,97.0,,,Hudson Yards-Chelsea-Flatiron-Union Square,"{'latitude': '40.749313', 'longitude': '-73.999282'}",11722,12,4,10,6,"Health center re-opened in March 2018.  Services began  April 3, 2018"
