,survey,question,year,prevalence,lower95_ci,upper95_ci
0,YRBS,Smoked at least once past 30 days,2011,8.5,7.5,9.6
1,YRBS,Smoked at least once past 30 days,2011,8.5,7.5,9.6
2,YRBS,Drank five or more alcoholic drinks in a row in past 30 days,2011,12.7,11.7,13.9
3,YRBS,Drank five or more alcoholic drinks in a row in past 30 days,2011,12.7,11.7,13.9
4,YRBS,Got help from a counselor in past 12 months,2011,n/a,n/a,n/a
5,YRBS,Got help from a counselor in past 12 months,2011,n/a,n/a,n/a
6,YRBS,Drinks 1 or more sodas per day in past 7 days,2011,20.9,19.0,23.1
7,YRBS,Drinks 1 or more sodas per day in past 7 days,2011,20.9,19.0,23.1
8,YRBS,Adolescent obesity,2011,11.6,10.6,12.8
9,YRBS,Adolescent obesity,2011,11.6,10.6,12.8
10,YRBS,Physically active 60 minutes per day,2011,20.3,19.1,21.6
11,YRBS,Physically active 60 minutes per day,2011,20.3,19.1,21.6
12,YRBS,Smoked at least once past 30 days,2013,8.2,6.9,9.7
13,YRBS,Smoked at least once past 30 days,2013,8.2,6.9,9.7
14,YRBS,Drank five or more alcoholic drinks in a row in past 30 days,2013,10.8,9.8,11.8
15,YRBS,Drank five or more alcoholic drinks in a row in past 30 days,2013,10.8,9.8,11.8
16,YRBS,Got help from a counselor in past 12 months,2013,17.9,16.5,19.4
17,YRBS,Got help from a counselor in past 12 months,2013,17.9,16.5,19.4
18,YRBS,Drinks 1 or more sodas per day in past 7 days,2013,15.7,14.6,16.9
19,YRBS,Drinks 1 or more sodas per day in past 7 days,2013,15.7,14.6,16.9
20,YRBS,Adolescent obesity,2013,11.8,10.6,13.2
21,YRBS,Adolescent obesity,2013,11.8,10.6,13.2
22,YRBS,Physically active 60 minutes per day,2013,18.7,17.1,20.5
23,YRBS,Physically active 60 minutes per day,2013,18.7,17.1,20.5
