,dbn,district,school,school_support_organization_network,progress_report_type,school_level_,peer_index_,grade,overall_score,environment_category_score,performance_category_score,progress_category_score,additional_credit,quality_review_score
0,01M015,1,PS 015 ROBERTO CLEMENTE,ICI15,ESMS,Elementary School,75.6,B,52.31,0.278,0.231,0.694,3.0,Undeveloped
1,01M019,1,PS 019 ASHER LEVY,ESO1,ESMS,Elementary School,59.25,B,51.24,0.51,0.466,0.511,1.5,Proficient
2,01M020,1,PS 020 ANNA SILVER,ICI15,ESMS,Elementary School,69.78,B,52.59,0.568,0.682,0.402,1.5,Well-Developed
3,01M034,1,PS 034 FRANKLIN D ROOSEVELT,ICI15,ESMS,K-8 School,71.9,C,47.02,0.409,0.366,0.53,0.75,Proficient
4,01M063,1,PS 063 WILLIAM MCKINLEY,ICI15,ESMS,Elementary School,62.17,C,44.66,0.199,0.511,0.479,0.0,Proficient
5,01M064,1,PS 064 ROBERT SIMON,ESO1,ESMS,Elementary School,71.9,C,48.43,0.561,0.586,0.408,0.0,Well-Developed
6,01M110,1,PS 110 FLORENCE NIGHTINGALE,ESO1,ESMS,Elementary School,54.96,B,51.17,0.818,0.644,0.315,2.25,Proficient
7,01M134,1,PS 134 HENRIETTA SZOLD,ICI15,ESMS,Elementary School,66.49,B,54.21,0.338,0.55,0.566,1.5,Well-Developed
8,01M137,1,PS 137 JOHN L BERNSTEIN,ICI5,ESMS,Elementary School,70.85,B,59.35,0.398,0.361,0.76,0.75,Undeveloped
9,01M140,1,PS 140 NATHAN STRAUS,ESO19,ESMS,K-8 School,73.18,B,56.14,0.588,0.441,0.593,1.5,Proficient
10,01M142,1,PS 142 AMALIA CASTRO,ICI5,ESMS,Elementary School,73.49,C,47.91,0.659,0.321,0.516,0.0,Proficient
11,01M184,1,PS 184M Shuang Wen,New Visions1,ESMS,K-8 School,34.83,B,63.05,0.823,0.932,0.413,0.0,Proficient
12,01M188,1,PS 188 THE ISLAND SCHOOL,ESO1,ESMS,K-8 School,79.05,A,81.07,0.439,0.477,0.944,8.25,Proficient
13,01M292,1,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,ESO5,ESMS,Middle School,3.012,B,53.81,0.506,0.491,0.545,1.5,Proficient
14,01M301,1,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",ESO11,ESMS,Middle School,3.112,B,59.35,0.469,0.642,0.519,4.5,Proficient
15,01M315,1,THE EAST VILLAGE COMMUNITY SCHOOL,ESO3,ESMS,Elementary School,38.65,A,66.0,0.517,0.285,0.876,1.5,Undeveloped
