,school_year,community_school_district,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_15_16_june_and_august,of_15_16_june_and_august_1,__1
0,2015-16,1,3254,2578,0.792,766,765,0.999
1,2015-16,2,34521,24742,0.717,7374,7324,0.993
2,2015-16,3,8651,4380,0.506,1874,1874,1.0
3,2015-16,4,3632,2116,0.583,790,789,0.999
4,2015-16,5,3621,1907,0.527,712,707,0.993
5,2015-16,6,5205,2732,0.525,938,936,0.998
6,2015-16,7,6818,4737,0.695,1152,1147,0.996
7,2015-16,8,7060,4793,0.679,1143,1138,0.996
8,2015-16,9,8210,5337,0.65,1543,1543,1.0
9,2015-16,10,15196,9198,0.605,3134,3133,1.0
10,2015-16,11,8946,5420,0.606,1728,1728,1.0
11,2015-16,12,6107,4324,0.708,1044,1042,0.998
12,2015-16,13,11103,7171,0.646,2627,2621,0.998
13,2015-16,14,6590,4763,0.723,1414,1412,0.999
14,2015-16,15,5802,3527,0.608,1099,1082,0.985
15,2015-16,16,1743,1006,0.577,282,281,0.996
16,2015-16,17,7677,4920,0.641,1568,1567,0.999
17,2015-16,18,4344,3041,0.7,808,808,1.0
18,2015-16,19,4919,3423,0.696,928,928,1.0
19,2015-16,20,12575,6332,0.504,2327,2326,1.0
20,2015-16,21,11314,7639,0.675,2115,2114,1.0
21,2015-16,22,9348,6456,0.691,2111,2107,0.998
22,2015-16,23,1674,1359,0.812,376,375,0.997
23,2015-16,24,13212,7930,0.6,2651,2650,1.0
24,2015-16,25,9675,5777,0.597,1880,1880,1.0
25,2015-16,26,13622,9119,0.669,3031,3028,0.999
26,2015-16,27,9528,5240,0.55,1995,1994,0.999
27,2015-16,28,14832,10051,0.678,3177,3146,0.99
28,2015-16,29,4353,2917,0.67,809,808,0.999
29,2015-16,30,9365,4628,0.494,1806,1806,1.0
30,2015-16,31,17324,10421,0.602,3705,3687,0.995
31,2015-16,32,2351,1579,0.672,499,499,1.0
32,2015-16,75,8358,1204,0.144,112,110,0.982
33,,Total:,290930,180767,0.621,57518,57355,0.997
