,year,leading_cause,sex,race_ethnicity,deaths,death_rate,age_adjusted_death_rate
0,Source: Bureau of Vital Statistics,New York City Department of Health and Mental Hygiene,,,,,
1,Rates based on small numbers (RSE > 30) as well as aggregate counts less than 5 have been suppressed in downloaded data,,,,,,
2,Data downloaded: 15MAY17:16:08,,,,,,
3,2014,All Other Causes,Male,Hispanic,1195,100.1,143.3
4,2014,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,657,114.5,129.5
5,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,554,96.5,118.5
6,2014,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,105,18.3,25
7,2014,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,95,16.6,22.9
8,2014,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,91,15.9,19.3
9,2014,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,71,12.4,14.2
10,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,68,11.9,13.3
11,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Asian and Pacific Islander,50,8.7,8.7
12,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Asian and Pacific Islander,31,5.4,5.3
13,2014,"Nephritis, Nephrotic Syndrome and Nephrosis (N00-N07, N17-N19, N25-N27)",Male,Asian and Pacific Islander,28,4.9,5.8
14,2014,All Other Causes,Male,Asian and Pacific Islander,424,73.9,90.4
15,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,White Non-Hispanic,3990,297.1,238.4
16,2014,Malignant Neoplasms (Cancer: C00-C97),Male,White Non-Hispanic,3142,234,195.1
17,2014,Influenza (Flu) and Pneumonia (J09-J18),Male,White Non-Hispanic,502,37.4,29.7
18,2014,Chronic Lower Respiratory Diseases (J40-J47),Male,White Non-Hispanic,399,29.7,24
19,2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,White Non-Hispanic,314,23.4,21.4
20,2014,Diabetes Mellitus (E10-E14),Male,White Non-Hispanic,292,21.7,18.1
21,2014,Cerebrovascular Disease (Stroke: I60-I69),Male,White Non-Hispanic,277,20.6,16.8
22,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,White Non-Hispanic,258,19.2,16.4
23,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,White Non-Hispanic,204,15.2,13.4
24,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Male,White Non-Hispanic,175,13,10.5
25,2014,All Other Causes,Male,White Non-Hispanic,2275,169.4,141.3
26,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Black Non-Hispanic,1958,226.8,264.7
27,2014,Malignant Neoplasms (Cancer: C00-C97),Male,Black Non-Hispanic,1532,177.5,199.6
28,2014,Diabetes Mellitus (E10-E14),Male,Black Non-Hispanic,318,36.8,42.2
29,2014,Influenza (Flu) and Pneumonia (J09-J18),Male,Black Non-Hispanic,242,28,33.9
30,2014,Cerebrovascular Disease (Stroke: I60-I69),Male,Black Non-Hispanic,197,22.8,26.4
31,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Black Non-Hispanic,196,22.7,21.7
32,2014,Chronic Lower Respiratory Diseases (J40-J47),Male,Black Non-Hispanic,186,21.5,25.4
33,2014,"Assault (Homicide: Y87.1, X85-Y09)",Male,Black Non-Hispanic,186,21.5,21.5
34,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Black Non-Hispanic,155,18,21.6
35,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Black Non-Hispanic,148,17.1,17.7
36,2014,All Other Causes,Male,Black Non-Hispanic,1375,159.3,177.8
37,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,63,.,.
38,2014,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,50,.,.
39,2014,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,18,.,.
40,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,12,.,.
41,2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,12,.,.
42,2014,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,11,.,.
